Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
7GUsePxO5mfYZPJxjgMCIT,Tightrope,WALK THE MOON,Tightrope EP,0.468,0.787,1,-6.169,0,0.0337,8.72e-05,0.00238,0.099,0.526,162.407
1UqhkbzB1kuFwt2iy4h29Q,Cough Syrup,Young the Giant,Young The Giant (Special Edition),0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978
5JtPGzRgrWxkXX9LoROq3d,1901,Phoenix,Wolfgang Amadeus Phoenix,0.604,0.825,0,-5.373,1,0.0429,0.0564,5.8e-05,0.192,0.707,144.085
3XNXnjEct81xIRjtGPP3NJ,Girlfriend,Phoenix,Wolfgang Amadeus Phoenix,0.713,0.65,11,-7.938,1,0.0282,0.365,0.0149,0.0906,0.526,136.042
2JGSZk5y65ZF79mtDz0o9r,Polish Girl,Neon Indian,Era Extraña,0.633,0.884,9,-4.158,0,0.0369,0.00501,1.93e-05,0.134,0.448,111.98
1eyzqe2QqGZUmfcPZtrIyt,Midnight City,M83,"Hurry Up, We're Dreaming",0.526,0.712,11,-6.525,0,0.0356,0.0161,0.0,0.179,0.32,105.009
1aGvLFHJ2shKqO9uycaUcW,Something Good Can Work,Two Door Cinema Club,Tourist History,0.65,0.833,0,-5.079,1,0.0355,0.00559,0.000727,0.186,0.68,119.939
0AcZL4zY29jBlVp2lVA23O,True Affection,The Blow,Paper Television,0.823,0.354,1,-8.809,1,0.0474,0.632,0.0196,0.129,0.21,152.062
5mEyCUtI36Jmu2KNQQ4jaw,Girls Like You,The Naked And Famous,"Passive Me, Aggressive You",0.491,0.481,4,-5.762,1,0.039,0.0657,0.000167,0.105,0.0546,124.858
283LAlCpfArRZOXPfkOQj0,Crave You - Adventure Club Remix,Flight Facilities,Crave You (Remixes),0.643,0.693,1,-5.645,0,0.0946,0.00595,0.000118,0.0726,0.083,140.0
