Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
00Y89Ir6nXEQdKQb3GLjet,Sh Boom (Life Could Be A Dream),Kenny Vance and the Planotones,Soundtrack To The Doo Wop Era: A Kenny Vance Collection,0.715,0.439,5,-8.904,1,0.037,0.588,0.0,0.0826,0.886,130.481
00fyMzz6xVK3Atx476wiVE,Limehouse Blues,The Pied Pipers,What is This Thing Called Love?,0.67,0.428,0,-9.881,1,0.112,0.868,1.21e-05,0.581,0.789,107.951
05quYx9JXaDX7CGLpZA62V,"Moon Love (Adapted From Tchaikovsky's 5th Symphony, 2nd Movement)","Harry James, Frank Sinatra",The Complete Harry James And His Orchestra featuring Frank Sinatra (feat. Frank Sinatra),0.315,0.361,8,-12.534,1,0.039,0.986,0.238,0.64,0.458,123.144
0AtVA7axXKVFnjQsN4xBIy,Dream,The Pied Pipers,What is This Thing Called Love?,0.198,0.276,7,-10.588,1,0.0289,0.919,0.00261,0.21,0.0692,88.422
0AykdQHQQv8GFTcWCRa9q9,Old Devil Moon - Remastered 1998,Frank Sinatra,Songs For Swingin' Lovers! (Remastered),0.476,0.227,10,-12.879,1,0.0288,0.479,0.0,0.179,0.422,100.985
0Juciz8gOjrO89qw5KwQV5,Call Me Irresponsible - 2001 Remaster,Bobby Darin,From Hello Dolly To Goodbye Charlie,0.607,0.347,7,-12.241,1,0.0369,0.695,0.0,0.121,0.644,125.485
0NI42v4l2AxIbgoIrWKiBU,Just A Gigolo / I Ain't Got Nobody - Medley / Remastered 2002,"Louis Prima, Keely Smith, Sam Butera & The Witnesses",The Wildest! (Expanded Edition),0.519,0.638,8,-5.226,1,0.0942,0.683,0.0,0.0561,0.67,124.878
0NhQTMDVgspRfwgJ59kmc6,Effendi - Live,Ahmad Jamal,Live in Paris (1971),0.4,0.356,9,-18.512,0,0.0382,0.65,0.918,0.789,0.382,137.831
0OFzGWNvMR7qvRsD14dxIT,'Tis Autumn,Nat King Cole Trio,The Complete Capitol Recordings Of The Nat King Cole Trio,0.403,0.0728,7,-20.622,0,0.0603,0.966,7.04e-05,0.106,0.152,178.645
0aAdPAlrBJqqqkkhttZIKU,When You're Smiling (The Whole World Smiles With You) - Without Intro,Louis Armstrong,Highlights From His Decca Years,0.443,0.182,8,-10.395,1,0.0462,0.84,0.000403,0.114,0.325,80.417
0bz0PznD8eRojueEdAIPta,Aren't You Glad You're You,The Pied Pipers,What is This Thing Called Love?,0.717,0.178,1,-8.524,1,0.0397,0.915,0.0,0.164,0.64,135.32
0eRHaqF1lJDIJ0GTy5SGC6,Choo Choo Ch'Boogie,Louis Jordan & His Tympany Five,At The Swing Cat's Ball,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0gojjDOqNz2233UWGCYkqo,Was There a Call for Me,Bobby Darin,That's All,0.251,0.139,10,-19.396,1,0.0355,0.864,3.33e-06,0.412,0.242,137.044
0m7jSL1UmvJR3So3gtqgZr,All Or Nothing At All,"Harry James, Frank Sinatra",Ultimate Big Band Collection: Harry James,0.314,0.105,2,-16.065,0,0.0333,0.985,0.00639,0.242,0.253,130.771
0vrS4oA5PHHsVEjVa1pqo8,No If's - No And's,Lloyd Price,Lloyd Price Greatest Hits: The Original ABC-Paramount Recordings,0.506,0.54,8,-5.963,1,0.0385,0.747,0.0,0.209,0.771,119.999
