Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
06CzXflJ84YoTcsyVlgdmy,My Dissonant Mother,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
07Cb2WCN1TlFWQGkOjGzFs,Jamaica Moon,Peter Ivers,Becoming Peter Ivers,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0ST304iNpugmBnPeAwU4tp,Saigon Rainstorm,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0pUVeEgZuNyFzIMKp67RbS,Eyes Without A Face,Billy Idol,Rebel Yell,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1m5Qi6Bzx3JoglRDQCGO8U,Even Stephen Foster,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20qHNy4v8KwNjlxfewV08O,Take Your Chances With Me,Peter Ivers,Becoming Peter Ivers,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28qfj544k6pDavkWkyzvWz,Bizarre Love Triangle - 2024 Digital Master,New Order,Brotherhood,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2E28iu3PR5s8VNWip1VmJR,Love Is a Jungle,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2EEinN4Zk8MUv4OQuLsTBj,Age of Consent - 2015 Remaster,New Order,Power Corruption and Lies,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2Fz9vX7cqy9TRgsgGo5r9l,Eighteen and Dreaming,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2dX9cTn90GmGsGodXEi3l3,Heaven Can Wait - 2006 Remaster,Judie Tzuke,Shoot the Moon (2006 Remaster),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2zwq3ku0ZyjKkfWBReI0sx,I've Got a Sex Crush,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3EUYI292ePO4YTpnpupwAA,Happy on the Grill,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3dribCIwKvylW39RvlPFfp,Eighteen and Dreaming,Peter Ivers,Becoming Peter Ivers,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5JzjcUEDpVtK6fnsoX2Pxu,Ain't That A Kick,Peter Ivers,Becoming Peter Ivers,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5Up7kKnSg7Z1YHRToUbZ1p,Miraculous Weekend,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5qRVnHyV3hwAVaLnUrLjcv,Peter and the Wolfe's,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
64bWAl2OJFilKBf8bl5rXx,Video Life,Chris Spedding,Guitar Graffiti (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
65iVktkEreogEqvfWU0uZ7,Alpha Centauri,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7DgEOZvUVoe2jPOYEdotBu,In Heaven,Peter Ivers,Becoming Peter Ivers,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7GPMem7BuXgBssK51ZrYIV,Conference Call at Four,Peter Ivers,Becoming Peter Ivers,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7JQaj3BZ3zEwIHEB8Dc62J,Free the Funk,Peter Ivers,Nirvana Peter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
