Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
4jbmgIyjGoXjY01XxatOx6,Dark Horse,"Katy Perry, Juicy J",PRISM,0.647,0.585,6,-6.123,1,0.0512,0.00314,0.0,0.165,0.353,131.934
2ZI18qoTqFdSftkjP1olVY,Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream,0.652,0.81,3,-3.789,0,0.0406,0.00129,2.91e-05,0.667,0.732,126.022
3yCzLH2lQ8KknpvsqNCo35,California Gurls,"Katy Perry, Snoop Dogg",Teenage Dream,0.789,0.753,0,-3.71,1,0.0537,0.0038,0.0,0.18,0.403,125.007
29192Seg7hQqLi5gW5eOBt,Firework,Katy Perry,Teenage Dream,0.638,0.831,8,-5.039,1,0.049,0.142,0.0,0.113,0.649,124.071
4pHiSrrtHFlXH3DYACegi0,Hot N Cold,Katy Perry,One Of The Boys,0.706,0.842,7,-3.956,1,0.0417,7.73e-05,0.0,0.0688,0.861,132.032
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams",B.o.B Presents: The Adventures of Bobby Ray,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033
59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),"B.o.B, Bruno Mars",B.o.B Presents: The Adventures of Bobby Ray,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993
5uHYcK0nbEYgRaFTY5BqnP,Magic (feat. Rivers Cuomo),"B.o.B, Rivers Cuomo",B.o.B Presents: The Adventures of Bobby Ray,0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439
28GUjBGqZVcAV4PHSYzkj2,So Good,B.o.B,Strange Clouds,0.66,0.9,7,-5.02,1,0.14,0.0403,0.0,0.219,0.591,85.51
4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,"JAY-Z, Kanye West",Watch The Throne (Deluxe),0.789,0.858,1,-5.542,1,0.311,0.129,0.0,0.349,0.776,140.022
