Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
4KcH1ZRV2W1q7Flq0QqC76,Blitzkrieg Bop - 2016 Remaster,Ramones,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),0.385,0.783,9,-2.533,1,0.233,0.000269,0.47,0.108,0.902,176.701
5ALCHMO9Fmvn1Ly18Q3apL,Last Caress - C.I. Recording 1978,Misfits,The Misfits Box Set,0.33,0.906,0,-9.607,1,0.0513,0.533,0.0208,0.15,0.418,91.186
7CGCtE7X2QNH2jeBroGqDq,In a Jar,Dinosaur Jr.,You're Living All Over Me,0.317,0.941,2,-5.632,1,0.0729,0.000825,0.000651,0.1,0.625,157.958
5nw2rQXAjfpZNaMzAJ8qTX,Smoko,The Chats,Get This In Ya,0.675,0.615,11,-10.674,1,0.0538,0.00395,0.0041,0.166,0.25,86.703
1qxkzHlZBXFv5HfyYqJ8cy,Depression,Black Flag,Damaged,0.147,0.958,1,-13.427,1,0.107,0.0957,0.972,0.893,0.0368,137.829
1awOrbCnB720JvXYCY2Lmg,U-Mass,Pixies,Trompe le Monde,0.608,0.685,5,-9.938,0,0.0394,0.00101,0.000516,0.758,0.448,106.935
0iA3xXSkSCiJywKyo1UKjQ,Louie Louie,The Kingsmen,The Best of The Kingsmen,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394
0SVvyfRMFMRJzc0L2odX20,Fill In The Blank,Car Seat Headrest,Teens Of Denial,0.339,0.829,9,-7.239,1,0.058,0.00737,1.26e-05,0.0596,0.5,162.794
4UF1eupXP9Zz5GpYepyOxI,Razorblade,The Strokes,First Impressions Of Earth,0.394,0.859,9,-3.851,1,0.0409,0.00201,0.233,0.1,0.511,136.075
3td69vL9Py7Ai9wfXYnvji,When You Die,MGMT,Little Dark Age,0.645,0.938,11,-4.557,0,0.0391,0.0946,0.0226,0.159,0.495,140.886
1lKToxczcW96EaAx6riTlj,In the Country,The West Coast Pop Art Experimental Band,A Child's Guide To Good And Evil,0.601,0.573,7,-10.289,1,0.0285,0.262,0.000244,0.18,0.965,133.857
2yAVzRiEQooPEJ9SYx11L3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",Europop,0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007
4YJ1sPlEa0nSUVzsLlZ7Zz,The Nile Song,Pink Floyd,More,0.135,0.835,3,-9.112,0,0.0497,0.00456,0.00553,0.0364,0.27,182.938
3FzKPS0oVknVlCW3PhxIHl,Debaser,Pixies,Doolittle,0.487,0.885,5,-12.005,1,0.0427,0.000397,0.347,0.0973,0.579,135.516
0vGCxnTwYZFtOAW3oz28kd,Judy Is a Punk - 2016 Remaster,Ramones,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),0.232,0.866,3,-1.38,1,0.0503,0.0801,0.0962,0.235,0.722,179.551
3ZYSrBWQXYgTe4tyKKIZ0D,"Bertha - Live at Fillmore East, New York, NY, April 27, 1971",Grateful Dead,Grateful Dead (Skull & Roses) [Live],0.548,0.738,7,-10.618,1,0.0365,0.268,0.69,0.17,0.953,88.764
4u3oXuVeOGoByIMz9pnOKf,Closer To The Heart,Rush,A Farewell To Kings,0.373,0.809,2,-9.189,1,0.0744,0.115,1.94e-06,0.653,0.539,145.045
6M14BiCN00nOsba4JaYsHW,Ocean Man,Ween,The Mollusk,0.72,0.912,4,-6.13,1,0.0363,0.551,0.00122,0.0982,0.973,122.782
4dyBuBbYZj1iiK0ywYjYzT,California Sun - 2017 Remaster,Ramones,Leave Home (40th Anniversary Deluxe Edition),0.426,0.855,9,-3.132,1,0.054,0.0014,5.09e-05,0.0667,0.551,188.867
7cdnq45E9aP2XDStHg5vd7,Cherry Bomb,The Runaways,The Runaways,0.501,0.813,11,-8.192,1,0.0639,0.0455,4.75e-05,0.131,0.495,136.59
3LI4MmibTkXH5cGpCGZgyw,Teenage Dirtbag,Wheatus,"Songs From Dawson's Creek, Vol. II",0.617,0.84,4,-4.063,1,0.0512,0.36,8.85e-05,0.179,0.57,94.676
7ap5NaoYRB6TJdrhX5Fej8,Hybrid Moments - C.I. Recording 1978,Misfits,The Misfits Box Set,0.17,0.81,2,-9.339,1,0.0521,0.27,0.0445,0.104,0.547,193.791
7HHle8A6urSZT4RxkDQIiz,Good Good Things,Descendents,I Don't Want to Grow Up,0.317,0.7,0,-11.784,1,0.0367,0.0929,3.2e-06,0.109,0.519,175.646
4kFfFe38CRVnTsakUTL4E4,Rise Above,Black Flag,Damaged,0.374,0.816,2,-13.88,1,0.0578,0.119,8.01e-06,0.0808,0.138,104.56
5Og9VyCOfxmZCuv1UhIyxE,Six Pack,Black Flag,Damaged,0.33,0.784,2,-15.285,1,0.19,0.157,2.08e-05,0.58,0.196,115.402
