Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
7xRemq7GLu0Tbqe9OckG87,The Man in Me,Bob Dylan,New Morning,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4MNxOR2Fu4NqJ892UdYx0h,Bob Dylan's Dream,Bob Dylan,The Freewheelin' Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48p7zj5Ief2UIzbNWAMfPN,"Mama, You Been on My Mind - Live at Philharmonic Hall, New York, NY - October 1964","Bob Dylan, Joan Baez",The Bootleg Volume 6: Bob Dylan Live 1964 - Concert At Philharmonic Hall,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0udZHhCi7p1YzMlvI4fXoK,In My Time of Dyin',Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2AyqRzXZ6ZmHcfZ1Mu4Vsj,Fixin' to Die,Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6wrEYf9IyrjaLccRBhrsCO,Highway 51 Blues,Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3yFRbFaSj8MeNuYaN21HIu,House of the Risin' Sun,Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7CviZOg1GotsImZjY4nrET,See That My Grave Is Kept Clean,Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0smQY2FRe9tXIvyIoDHLtz,Poor Boy Blues - Witmark Demo - 1962,Bob Dylan,The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7or0LLIO1EGAzQHGLzjji3,Standing on the Highway - Witmark Demo - 1962,Bob Dylan,The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2qTvEdNY21mL9whUJot9Oc,Pledging My Time,Bob Dylan,Blonde On Blonde,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3RkQ3UwOyPqpIiIvGVewuU,Mr. Tambourine Man,Bob Dylan,Bringing It All Back Home,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
716TKYoyVXFrXjz3rHwajp,Nashville Skyline Rag,Bob Dylan,Nashville Skyline,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2HXnjMxrO4QccqE3Grwmd0,I Threw It All Away,Bob Dylan,Nashville Skyline,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2P1jghKUruf3SDVNj910KC,Peggy Day,Bob Dylan,Nashville Skyline,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4uYwlMp841PLJmj1gJJwIq,"Lay, Lady, Lay",Bob Dylan,Nashville Skyline,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3v55o86xGDEiZCLioTrmy5,One More Night,Bob Dylan,Nashville Skyline,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7tem1vYGSIuBE59Q8aP7Yc,Tell Me That It Isn't True,Bob Dylan,Nashville Skyline,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2YehU3jLpb9bM5V6k8HmyA,Country Pie,Bob Dylan,Nashville Skyline,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2TMJrLYSGo9ys1rD7sM9Bc,"Rambling, Gambling Willie - Witmark Demo - 1962",Bob Dylan,The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6ixNehh9DrMM9vYhN93foh,You're No Good,Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1X6dRpq3Wi6Jxthi8ZBBBz,Talkin' New York,Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3SF5puV5eb6bgRSxBeMOk9,Man of Constant Sorrow,Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4aFM4HgUGRM1cB75qbh2Su,Pretty Peggy-O,Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3qjiLjxJ4AZvLOtiE8znrD,Gospel Plow,Bob Dylan,Bob Dylan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
