Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
7wSco4c7DSaTvcrryRmy6S,The Sick Bed of Cuchulainn,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3nP0dFUXqDefiHvg37TtgI,Wild Cats of Kilkenny,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
26WJMsesrV9FuKNgZ25zW7,I'm a Man You Don't Meet Every Day,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
32soEc9h0wDy1BEjV5egeh,A Pair of Brown Eyes,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2779hybiMKwid1gcrFVMzH,Sally MacLennane,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0qH487xSz8Z6Xk4kyOQkbG,Dirty Old Town,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7cjs0nYg57bdEn6FqYDwCJ,Jesse James,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1LWuCx5zsDB2Rl9KyLXmCb,Navigator,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2p3fQTubct9pvebjTImqP7,Billy's Bones,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2ZJ6E8eYv2Z9LxyqwABRnI,The Gentleman Soldier,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1O2SlAUcjIoFFt9vpI3P1i,And The Band Played Waltzing Matilda,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2zluxpiuwhMJba2ZZIh0q6,A Pistol for Paddy Garcia,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6Phlvy4vI8cIrM0puZLgSt,A Rainy Night in Soho,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6YaiRxNzp5mZFR3orTq2Pb,The Body of an American,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2sF1KuSzJs6OfrGofZ1ror,Planxty Noel Hill,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7yMHWJX9uLYJbR5im1BTcr,The Parting Glass,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1Z5rTFsClLFgsIGuZ7Ymt2,If I Should Fall from Grace with God,The Pogues,If I Should Fall from Grace with God (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5AlSfGcN88eiTLWAT5EwS3,London Girl,The Pogues,Rum Sodomy & The Lash (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1gyCtXIRuolBdRe4bVVF1u,The Sunnyside of the Street,The Pogues,Hell's Ditch (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4U2o8VKAtnetC59InjjvxI,What Would You Do If You Married a Soldier_,Seamus Ennis,As I Roved Out (Field Trip-Ireland),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2gHreowAI46VLjuVNn7E1Q,Salamanca _ Duke Gordon _ Jenny's Welcome to Charlie,Seamus Ennis,"Ceol, Scéalta Agus Amhráin",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2iyoENetyFkeHzuLduyvml,Uirchill an Chreagain,Seamus Ennis,"Ceol, Scéalta Agus Amhráin",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
03LxL1p1HEV1eNbVL8ZUy2,Pat Ward's Hornpipe,Seamus Ennis,"Ceol, Scéalta Agus Amhráin",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5JBIhsEjGqcV4OZfBgtGih,The Leaving of Liverpool,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6h2tB7PgKSowziC94IQwMP,Transmetropolitan,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5naeC9mc9EbPX9Q1UPELaC,The Battle of Brisbane,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1WLdObWbGaZiEqQXxs8VOY,Waxie's Dargle,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5rjkL3TSzZTCDUA1SqWB6U,Boys from the County Hell,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2U3Uw1qIWag3Abox1wRiHQ,Sea Shanty,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5S91UTYLP5c9dyFA8YvrXf,Dark Streets of London,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5qZppxdSuwLsk7wQIUbCVw,Streams of Whiskey,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0fkRfICuvdTVIoyZUgnInR,Poor Paddy,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5eUjRitxYLCRMN1HDwDWi7,Dingle Regatta,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7kAp9xBHBUni9n7O58c5Qx,Greenland Whale Fisheries,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0AVhTyxJNHmnz4LAz5tWVW,Down in the Ground Where the Deadmen Go,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3nsiigmka0SsH45ALBiwrH,Kitty,The Pogues,Red Roses for Me (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
017YzqyoxnqeLta9otG0Rg,Wildwood Flower,Mother Maybelle Carter,Folk Music At Newport,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
