Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
008wkJY1GYw0177yFVCM2j,I Do Adore Her,Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0W7tndAZoPf2Mk9EDkEjUL,Coconut Woman,Harry Belafonte,Belafonte Sings of The Caribbean,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0fBQIJNwd0gsUIjswBiYQK,Land of the Sea and Sun,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12KYI3sIM9weRD9PwUVeR3,Star-O,Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1F1sG4uRnXfhdyDTMsLC60,Come Back Liza,Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1zW2csx1vVJrKfvDrFQNVt,Jump in the Line,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
24dYJMPdnXXoHEu50MwRVN,Jamaica Farewell - Remastered,Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2ISoONGeZlYEkDrzP7SDJk,These Are The Times,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2JyELK3V4QxejPKs2AMcUX,Gloria,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3CVtzQXkbk7vph6QmTU5hj,Will His Love Be Like His Rum_,Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3XZMrRIzijL3OtAezHVi4I,Little Nassau-Bahama Mama,Andre Toussaint,Bahamian Ballads - The Songs Of André Toussaint,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4SLPzictZfGZVCm0D3qhwm,Cu Cu Ru Cu Cu Paloma,Andre Toussaint,Bahamian Ballads - The Songs Of André Toussaint,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4bf6f2kAXUEDplGNMwLGJY,Brown Skin Girl,Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4ef4KPZSfHXPq6zcRdgm7a,Kingston Market,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4fASYMUPNt0FDeajZwQPBu,The Jack-Ass Song,Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4fHDlIntTsRGSyTg5UYZYC,Banana Boat (Day-O),Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4uRrUDh8VOemTWKkrPzmYh,Go Down Emanuel Road,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5BY6Tst7lksvgFxRtFo493,Bambino,Andre Toussaint,Bahamian Ballads - The Songs Of André Toussaint,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5n3a72KpHrolpLM9eHz2Ru,Calypso Island,Andre Toussaint,Bahamian Ballads - The Songs Of André Toussaint,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5vORdDGQ6CKmkTGzdj9I90,Bally Mena,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
615oMpfPDVmb6sXVTt38zm,Sweetheart From Venezuela,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6LtnbAUH07JATiFPlVl6AA,Man Smart (Woman Smarter),Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6Uusk7FfgX0gvkNBmSREJl,Goin' Down Jordan,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6p532qkAieXcERysudu0pC,Goombay Rock,Blind Blake,Goombay (Music From Bahamas),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
71htZsh9qm2js4IMpPALNz,Monkey,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7MPrtKPg6R3TnFHkJvXQEn,Angelina,Harry Belafonte,Jump Up Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7mNeC1Pbj9C22TqJOdH9iz,I'm Just a Guitar (Everybody Picks on Me),Pete Drake,Amarilla,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7rDYN6KQ0hd8kXlX2uiBYt,Hosanna,Harry Belafonte,Calypso,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
