Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
01NLtgUCEmwcCF7JbP1ZRd,Medley,Pastor T.L. Barrett and the Youth for Christ Choir,Like a Ship (Without a Sail),0.487,0.64,10,-8.734,1,0.0396,0.0567,1.54e-05,0.454,0.697,90.863
02AKxJXCJKX1KIszHY8GKG,Testify,Timothy Wright & The Concert Choir,Testify,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0Ow17ypB0CLqY530hRCuCZ,I Came To Jesus,Pastor T.L. Barrett and the Youth for Christ Choir,I Found The Answer,0.321,0.527,8,-6.365,1,0.0348,0.446,1.8e-06,0.155,0.567,140.117
0Yko3rjUDlYkZs7T621cvN,I Want To See My Jesus,Timothy Wright & The Concert Choir,Testify,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1CQe404HS69zr7rFUxFmDp,Be Right There,Timothy Wright & The Concert Choir,Testify,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1CXQ0J8CCc7sxcH8YB334V,Everything Changed v1.1,"Andrae Crouch, Disciples",Classic Gold: Best of Andrae: Andrae Crouch and the Disciples,0.401,0.772,8,-6.965,1,0.0931,0.608,0.0,0.405,0.734,165.712
1GOPRZ1rRFl1vmhEmgDlh9,Keep On Praising His Name,Timothy Wright & The Concert Choir,Testify,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1XMbGCkPcPzavbmhuJc9x8,I've Got Confidence,Andrae Crouch,Classics Vol. 1,0.37,0.735,7,-8.656,1,0.0741,0.528,0.0,0.0647,0.778,165.315
1aJ9MahOpiBHApZJ3pOMUI,Just Like He Said He Would,Andrae Crouch,Classics Vol. 1,0.559,0.874,6,-10.428,1,0.0509,0.0563,0.0,0.23,0.948,143.357
1mCKGyI2JH4TXDcWfywgBS,Restore Me,Timothy Wright & The Concert Choir,Testify,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1pROepYJPpciMFEk8U5fiJ,Blessed Quietness,Pastor T.L. Barrett and the Youth for Christ Choir,Like a Ship (Without a Sail),0.518,0.523,7,-9.56,1,0.032,0.531,0.34,0.187,0.439,137.417
2GOotvKZO6qccujGnjN21y,Through It All,Andrae Crouch,Classics Vol. 1,0.301,0.53,8,-11.206,1,0.0405,0.519,0.0,0.378,0.604,138.68
2IeM4N8dFf4JNZtYVu11Gk,Take Me Back,Andrae Crouch,Classics Vol. 1,0.461,0.541,1,-11.805,1,0.0327,0.227,0.0,0.0932,0.666,128.442
2TM24qZOOgsmA94g6Ovy48,Nobody Knows,Pastor T.L. Barrett and the Youth for Christ Choir,Like a Ship (Without a Sail),0.372,0.817,8,-9.294,1,0.0586,0.0588,0.000589,0.105,0.741,186.122
2V28f7zki2sktKSq2JhHu0,Jesus Lifted Me,Elizabeth Cotten and Brenda Evans,Shake Sugaree,0.479,0.1,1,-10.852,1,0.038,0.942,3.65e-06,0.111,0.581,178.518
2cRNsePb7ziuN66PBFKQSc,Tell Them,Andrae Crouch,Classics Vol. 1,0.318,0.409,6,-10.186,1,0.0298,0.654,0.0,0.0787,0.189,124.487
38Xr6RVuRDteSlsp1Z9vZz,Trouble And Strife,Pastor T.L. Barrett and the Youth for Christ Choir,I Found The Answer,0.349,0.495,8,-9.45,1,0.0388,0.163,0.000468,0.466,0.435,125.528
3Fe8Uu3MOsH4GCjZ67xMqV,Count Your Blessings,Timothy Wright & The Concert Choir,Testify,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
3MxAT7MRx7V0CL3tVtJby1,Didn't It Rain,"Sister Rosetta Tharpe, Marie Knight, Sam Price Trio",Gospel Train (Expanded Edition),0.741,0.665,5,-5.87,1,0.0517,0.8,0.0,0.079,0.77,85.517
3VucNtm20yJgt93I5ZKvfv,Shine On Me,Pastor T.L. Barrett and the Youth for Christ Choir,I Found The Answer,0.498,0.688,0,-8.713,1,0.0365,0.0398,0.137,0.242,0.893,145.668
3ZlFHW3JiUX3yHEadiYt36,Turn On With Jesus,Pastor T.L. Barrett and the Youth for Christ Choir,I Found The Answer,0.642,0.722,5,-9.751,1,0.0597,0.0542,0.0,0.107,0.678,134.071
