Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
0NCVfhjRrf4b4rIdahdDXz,Okie from Muskogee,Jim Kweskin,America,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0ry355UoTbc3NScBC2F3jA,"I Got Stripes - Live at Folsom State Prison, Folsom, CA (2nd Show) - January 1968",Johnny Cash,At Folsom Prison,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18LwhRYqFsJjUH3Q4dMIr7,Blue Moon of Kentucky,Elvis Presley,A Boy From Tupelo: The Complete 1953-1955 Recordings,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2YehU3jLpb9bM5V6k8HmyA,Country Pie,Bob Dylan,Nashville Skyline,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2n4bd2uoRnqxMB2i9WaRVP,Blue Suede Shoes,Carl Perkins,Original Golden Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3N7HJeBZ6BtWTiDeKeLwXm,Muddy Bottom,The Osborne Brothers,From Rocky Top to Muddy Bottom: The Songs of Boudleaux and Felice Bryant,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4WmXgMfBKoAkWKLn54fKkM,Sweet Cocaine,Fred Neil,Fred Neil,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
54kJQb15wTK67vkFuOo663,Ring of Fire - Outtake,Bob Dylan,"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5UlwHhHc382LFwPQj67sHD,Beans Taste Fine,Papa John Kolstad,Beans Taste Fine,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5fcxVCOtfesNzI2n4Y4kiJ,Jackson,"Johnny Cash, June Carter Cash",Carryin' On With Johnny Cash And June Carter,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6qF6Ghoy5HlNNZNe8fsygD,Okie From Muskogee - 1970_Live At Carnegie Hall,Phil Ochs,Gunfight At Carnegie Hall,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
