Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
00aVA0Wd0ES81TEpVuunGq,I'm Worried,Elmore James,Shake Your Money Maker: The Best of the Fire Sessions,0.59,0.721,2,-6.253,1,0.0395,0.61,0.000572,0.225,0.904,105.757
01OVi8BhYJP5Dx96tNZX4u,These Draftin' Blues,Bunk Johnson,Low Down Blues,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
01V7wI4bNjYTv0QxyTRncU,Fishing Blues,Henry Thomas,Lovin' Babe,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
02FnbNjW5uvVz1a2GMLU2d,Southern Rag,Blind Blake,Georgia Bound,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
03ylDacz92hS6T26eBay5I,Too Tight Blues No. 2,Blind Blake,Georgia Bound,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
05TKmLLXQUOyA82oLR2XDi,Blues And Trouble,Muddy Waters,After The Rain,0.458,0.742,7,-6.539,1,0.083,0.114,0.0113,0.132,0.768,174.533
05oMNN5Rbv6rVqyFFG9uTl,Baby What You Want Me To Do,Jimmy Reed,The Very Best of Jimmy Reed,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
081r6Uze95Mx8JkvH8c4m5,Goin' To Sit Down On The Banks Of The River,Rev. Gary Davis,Harlem Street Singer,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0AeV81qPB9ZJzNC8L0rNLq,The Midnight Special,Lead Belly,Lead Belly: The Smithsonian Folkways Collection,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0B0hrGGPeT8db0YLXM4U1D,Let Me Squeeze Your Lemon,Blind Boy Fuller,"Blind Boy Fuller, Vol 2 (1936 - 1937)",-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0CDbCahovsgZPNumyO7aD2,Cool Drink of Water Blues,Tommy Johnson,Tommy Johnson 1928 - 1929,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0DSzSnUcIFJ7DRYzMxcCh9,Dust Bowl Blues,Woody Guthrie,Dust Bowl Ballads,0.673,0.181,9,-13.041,1,0.0357,0.792,1.29e-05,0.085,0.412,95.593
0GsTd1EQgxpMv8N5pzMYjQ,44 Blues,"Willie Thomas, Butch Cage","The Folk Music of the Newport Folk Festival 1959-60, Vol. 1",-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0HBB3IsqrRDwPkXFcN3Ko0,You Shouldn't Do That,Sleepy John Estes,Presenting Sleepy John Estes,0.749,0.663,8,-5.503,1,0.102,0.952,4.06e-06,0.334,0.8,96.658
0Lv9yWp7G5TqU4qpUUPbgi,Atlanta Moan,Barbecue Bob,Presenting Barbecue Bob,0.633,0.201,0,-16.349,0,0.0922,0.985,0.0,0.265,0.531,142.222
0P7pgGVPfR6EHEAa3lbhvQ,My Brownskin Sugar Plum,Blind Boy Fuller,Blind Boy Fuller Vol. 1 1935 - 1936,0.663,0.23,0,-13.129,1,0.0553,0.959,0.00331,0.12,0.609,118.929
0W0euvQlhbcsTydzsD4EQk,Death Letter Blues,Son House,Father Of The Delta Blues: The Complete 1965 Sessions,0.803,0.288,7,-15.418,0,0.0629,0.865,0.0593,0.0833,0.865,115.685
0ZIqCj2FGuoc9fQjqWdM7f,Doin' the Scraunch,Barbecue Bob,Presenting Barbecue Bob,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0cJIVF6dkjxO9DZNIq2HxW,I'm on My Way Down Home,Barbecue Bob,Presenting Barbecue Bob,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0cpEhkrQAzSp0YSLoDWbYy,House of the Rising Sun - Live at the Village Gate,Nina Simone,Nina at the Village Gate,0.393,0.224,9,-20.576,0,0.0826,0.881,5.48e-05,0.9,0.246,84.844
