Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
06MI30ZipOyf7xXk1tFCrE,In the Moon Mist,The Pied Pipers,What is This Thing Called Love?,0.258,0.23,8.0,-10.324,1.0,0.028,0.821,2.99e-06,0.094,0.299,91.944
06UkYE0SZ3Y8zGRFOuWGAe,It's Always You - Vocal Version,Chet Baker,Chet Baker Sings,0.499,0.0341,8.0,-22.31,1.0,0.0417,0.923,5.27e-05,0.131,0.31,81.735
0AtVA7axXKVFnjQsN4xBIy,Dream,The Pied Pipers,What is This Thing Called Love?,0.198,0.276,7.0,-10.588,1.0,0.0289,0.919,0.00261,0.21,0.0692,88.422
0HBc7nSv7tT4KXktKAaNYx,September Song,Willie Nelson,Stardust,0.295,0.114,8.0,-14.657,1.0,0.0333,0.916,0.0336,0.163,0.0684,69.427
0NhQTMDVgspRfwgJ59kmc6,Effendi - Live,Ahmad Jamal,Live in Paris (1971),0.4,0.356,9.0,-18.512,0.0,0.0382,0.65,0.918,0.789,0.382,137.831
0OFzGWNvMR7qvRsD14dxIT,'Tis Autumn,Nat King Cole Trio,The Complete Capitol Recordings Of The Nat King Cole Trio,0.403,0.0728,7.0,-20.622,0.0,0.0603,0.966,7.04e-05,0.106,0.152,178.645
0QGwOFQChzflLAmPq5NwKo,A Teenager In Love,Dion & The Belmonts,Presenting Dion And The Belmonts,0.555,0.377,1.0,-9.123,1.0,0.0295,0.671,0.0,0.128,0.619,78.986
0Yh4igccFHplz0oP2NnujS,Christmas Time Is Here,Vince Guaraldi Trio,The Definitive Vince Guaraldi,0.427,0.12,5.0,-18.786,1.0,0.0315,0.976,0.771,0.154,0.0772,74.769
0aFGcKZEC8vS7DXRluUUC7,Wait Till You See Her - Remastered,George Shearing Quintet,The Swingin's Mutual (Expanded Edition / Remastered),-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0hdNrtu4z3lHfP4YQOZUny,Old Devil Moon,Chet Baker,Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster),-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0s2h4GBGC4rcdSQhJX80Mv,Samba De Orpheus,Vince Guaraldi Trio,The Definitive Vince Guaraldi,0.581,0.428,2.0,-16.917,0.0,0.0486,0.889,0.845,0.173,0.606,126.033
0vtXD4PfsCvaEqpgqabRBs,Midnight In The Air,George Shearing Quintet,The Shearing Spell,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
14gEDPQtsTcbZOWs7EXg4V,Pick Yourself Up,"Nat King Cole, George Shearing",Nat King Cole Sings George Shearing Plays,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
18Psr6uiBMT6KTGt7s82Rd,Bogota - Live,Ahmad Jamal,Live in Paris (1971),0.301,0.439,9.0,-16.132,0.0,0.0332,0.597,0.314,0.742,0.403,79.274
19RQazIT04qugNWgnnkAxU,Imagination,Slim Gaillard,"Slim Gaillard At Birdland, 1951",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1Bek8fB7OeWTqNghvNqCrf,You Grow Sweeter as the Years Go By,The Pied Pipers,What is This Thing Called Love?,0.276,0.258,0.0,-9.135,1.0,0.0278,0.88,3.24e-05,0.155,0.305,88.781
1FdulvpRiLgkseCz7RrNOR,Quiet Nights of Quiet Stars (Corcovado),"Antônio Carlos Jobim, Frank Sinatra",Sinatra/Jobim: The Complete Reprise Recordings,0.388,0.255,0.0,-16.496,1.0,0.0332,0.77,0.0737,0.0838,0.25,107.426
1GJrFcbu6BVsEnPhDmGfdE,Cast Your Fate To The Wind,Vince Guaraldi Trio,The Definitive Vince Guaraldi,0.467,0.225,8.0,-15.74,1.0,0.0383,0.774,0.151,0.107,0.303,124.791
1H5IfYyIIAlgDX8zguUzns,Suspicious Minds,Elvis Presley,From Elvis in Memphis,0.487,0.382,7.0,-10.889,1.0,0.0309,0.0422,4.74e-06,0.411,0.714,116.557
1JWg5bnTaIUfntn4KhdPoS,Is You Is Or Is You Ain't My Baby,Joe Bourne,Remembering Mr. Cole ( A tribute to the Nat King Cole Trio),-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1OQBzVlstoCo6oI2O8dVML,Fascinating Rhythm,Vince Guaraldi Trio,The Definitive Vince Guaraldi,0.518,0.293,0.0,-14.575,1.0,0.0797,0.957,0.89,0.0957,0.728,150.826
1QX55tmWOC2OSxI1WaLHk1,There Are Such Things,The Pied Pipers,What is This Thing Called Love?,0.258,0.181,10.0,-10.456,1.0,0.0265,0.886,0.00013,0.177,0.155,78.776
1eRznw1ZY1WsR4imR48oCX,Their Hearts Were Full Of Spring - Remastered,The Four Freshmen,Capitol Collectors Series,0.24,0.0317,8.0,-19.459,1.0,0.0403,0.94,2.96e-05,0.114,0.178,163.883
1lYSHGzePmuhPnyLbO2TA6,Charlie Brown Theme,Vince Guaraldi Trio,The Definitive Vince Guaraldi,0.631,0.198,10.0,-16.28,0.0,0.0423,0.157,0.00247,0.223,0.08,61.624
1owGm6QDclYTJ40SMz97rW,No Moon At All - Remastered,Julie London,Julie Is Her Name,0.703,0.161,7.0,-12.637,1.0,0.129,0.927,1.34e-05,0.102,0.269,62.561
1rGZUPEI3iq6HYmI0V6a98,Skating,Vince Guaraldi,The Definitive Vince Guaraldi,0.406,0.301,0.0,-16.935,1.0,0.0378,0.824,0.83,0.128,0.655,64.481
1rvXymShkt4ClhiWEsn4ad,It Never Occurred To Me,The Four Freshmen,Blue World,0.275,0.219,0.0,-9.164,0.0,0.027,0.753,0.0,0.161,0.236,90.935
1s7f8sQi1FRKnqhsMTJ06b,The Things We Did Last Summer - Remastered,"George Shearing Quintet, Nancy Wilson",The Swingin's Mutual (Expanded Edition / Remastered),-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1smChL3Aq1U9DZA83LuDtp,I Wanna Be Around...,Tony Bennett,I Wanna Be Around,0.498,0.266,10.0,-13.425,1.0,0.0348,0.768,0.0,0.0828,0.376,69.601
1twS3AKB6npXZaTlZUCChm,Somebody Loves Me,The Four Freshmen,Blue World,0.475,0.342,0.0,-10.111,1.0,0.0681,0.709,0.0,0.357,0.653,159.476
1xsY8IFXUrxeet1Fcmk4oC,In the Mood,Glenn Miller,Ultimate Big Band Collection: Glenn Miller,0.624,0.304,8.0,-14.496,1.0,0.0822,0.929,0.173,0.0693,0.874,80.582
22M3T4C7IegXSrDNqFQ1gU,Sure Gonna Miss Her,"The Mariachi Brass, Chet Baker",Hats Off,0.0,0.502,5.0,-9.005,1.0,0.0,0.676,0.248,0.513,0.0,0.0
