Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
7fgmo2cHGzWLexkRhBeECj,WINDY SUMMER,Anri,Timely!!,0.653,0.762,2,-5.042,1,0.0311,0.175,0.00113,0.174,0.838,106.951
4woilARSpapKcWVzXfzEVz,Xin Su toransuhua-,Soap,新宿トランスファー,0.665,0.54,4,-8.887,0,0.0314,0.461,0.0,0.207,0.882,137.017
3x4378ztiLvFmm2nuzEI0C,The Cruel Angel's Thesis (Director's Edit Version),Yoko Takahashi,NEON GENESIS EVANGELION (Original Series Soundtrack),0.646,0.677,0,-9.477,0,0.0432,0.0337,2e-06,0.13,0.588,128.125
4M9Op6UQ36mhtjMBuevRYN,Dress Down,Kaoru Akimoto,Cologne,0.769,0.403,0,-15.134,1,0.051,0.197,0.000191,0.264,0.567,118.007
38LUbz74v3nmP8x0efElw2,Last Summer Whisper,Anri,Heaven Beach,0.732,0.488,4,-8.65,1,0.0446,0.222,0.000149,0.0383,0.61,78.512
7rU6Iebxzlvqy5t857bKFq,Plastic Love,Mariya Takeuchi,Expressions,0.648,0.875,2,-5.141,0,0.034,0.0747,9.64e-05,0.196,0.857,102.517
1H9RGVK5hw404lHcKCSA67,sansetsuto*ro-do,高橋玲子,"TOKYO 1980s Victor Edition (The Compilation) Boogie, Funk & Modern Soul from Japan",0.821,0.785,1,-4.35,0,0.0296,0.336,0.0,0.347,0.929,103.888
1qUo7d5lAOclNVbTUY0A2R,Remember Summer Days,Anri,Timely!!,0.634,0.665,4,-4.969,1,0.0318,0.342,8.87e-05,0.0709,0.787,96.698
37NPLfEZQQ0rZTa9SRqWBL,midnight cruisin',Kingo Hamada,midnight cruisin',0.802,0.704,0,-7.896,0,0.0432,0.181,0.000912,0.284,0.92,121.85
02M7L7vwVmzrRNq6gx9oxE,Remember Summer Days (Night Tempo Showa Groove Mix),"Night Tempo, Anri",杏里 - Night Tempo presents ザ・昭和グルーヴ,0.685,0.872,5,-4.945,1,0.465,0.489,0.0,0.841,0.724,110.044
4tHEQ5yfhaLuSAUzeIfacV,Mayonaka no Door / Stay with Me,Miki Matsubara,Light Mellow Miki Matsubara,0.637,0.738,5,-7.228,1,0.0602,0.236,2.43e-06,0.0833,0.889,108.335
1HDqBV6gWeqFStJHLmPjh4,hutarinoXia Wu Yu  NEVER ENDING SUMMER,S. Kiyotaka & Omega Tribe,ゴールデン☆ベスト,0.593,0.829,2,-4.557,0,0.0442,0.343,5.52e-06,0.0511,0.728,156.83
0E9W4ZDAl2ceQSJI8TOgOS,MISATO,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),0.622,0.563,0,-11.731,1,0.0302,0.0307,0.00027,0.216,0.863,150.097
6ggCUjC5j2uhighYnTee8X,kisuka,Tatsuro Yamashita,PACIFIC,0.609,0.761,1,-7.178,1,0.034,0.108,0.761,0.141,0.671,91.823
6aYRLFKPuIt399nJdro93G,SCRAMBLE CROSS,S. Kiyotaka & Omega Tribe,ANOTHER SUMMER,0.664,0.794,7,-6.145,0,0.0409,0.209,8.61e-06,0.0778,0.439,97.092
2CzYHourfYD0fQBaBHgCNS,Jazzy Night,Miki Matsubara,Who Are You?,0.72,0.65,11,-9.036,0,0.0317,0.376,7.83e-06,0.214,0.91,134.937
3FYDqY5BRtx3IVSaiQZSze,Bei shimigatomaranai I CAN'T STOP THE LONELINESS,Anri,Timely!!,0.684,0.843,9,-4.256,1,0.0296,0.183,1.67e-05,0.0635,0.885,132.027
4uedOJajNogY115gktPcvI,tanshinku*hi-ro-(Eat You Up),Yoko Oginome,ダンシング・ヒーロー -ALL EAT YOU UP-,0.664,0.979,6,-5.311,0,0.0385,0.0212,0.000397,0.458,0.888,132.247
5WTCHYg9G27e9e5HFKGdd1,Sweet Love,Junko Ohashi,THE BEST SONGS OF JUNKO OHASHI,0.607,0.705,5,-6.929,0,0.0309,0.241,0.0,0.31,0.656,93.04
5SxrdeIHki6FmlsKj2m8mY,terehuon*nanba-,Junko Ohashi,TOKYO - CITY POP -,0.604,0.632,7,-6.408,1,0.0492,0.365,0.00013,0.0633,0.857,94.657
7KYzARBusZhyZ6jygZDmVr,SHYNESS BOY,Anri,Timely!!,0.765,0.777,1,-5.301,0,0.0306,0.142,0.000122,0.104,0.87,119.935
0MuZbj977Ud5aqmJXaBgf2,Ai wa Energy,Miki Matsubara,Miki Matsubara Best Collection,0.767,0.622,7,-8.182,1,0.0607,0.44,0.0,0.0369,0.763,110.924
3WxATUIaUWiMkcpil3OQYS,STAY BY ME,Anri,Timely!!,0.689,0.835,11,-5.636,0,0.0333,0.237,0.00018,0.408,0.866,93.845
3tw8SqjA9KRnseY71gsonf,A HOPE FROM SAD STREET,Anri,Timely!!,0.532,0.615,0,-4.47,1,0.0353,0.316,2.1e-06,0.382,0.729,178.356
20JcU4ZiYAuKE4oIal8WoV,DRIVING MY LOVE,Anri,Timely!!,0.75,0.853,11,-4.624,0,0.0413,0.199,3.49e-05,0.161,0.899,121.459
0DI3WNmIyfi2GZLQwhYDQC,"KOMM, SUSSER TOD - M-10 Director's Edit Version",Arianne,Evangelion Finally,0.562,0.747,10,-5.473,1,0.0274,0.0596,8.28e-06,0.113,0.708,151.654
12x2jPGYAjdiyemtFuqeU0,iero-*mazitsuku (Dong Feng ),YELLOW MAGIC ORCHESTRA,Yellow Magic Orchestra USA,0.603,0.722,0,-9.055,1,0.0347,0.00818,0.831,0.166,0.523,134.668
0RAXoT7hwOoqAXI95ryxT5,RYDEEN,"YELLOW MAGIC ORCHESTRA, Norio Yoshizawa",Solid State Survivor,0.554,0.855,2,-6.506,0,0.0368,8.19e-05,0.807,0.0486,0.895,142.772
1JbdjbVXNv9dzZVEiqzq6L,bihaindo*za*masuku,YELLOW MAGIC ORCHESTRA,YMO,0.595,0.723,5,-4.495,0,0.0302,0.00101,0.345,0.153,0.672,116.112
6igMq65qc3o0CUhSoHf9yD,CAT'S EYE - (NEW TAKE),Anri,Timely!!,0.735,0.877,9,-3.987,0,0.0856,0.2,0.00244,0.139,0.862,135.155
3bMc9oRaUWnojCrYTUXXcQ,BRASILIAN SKIES,Masayoshi Takanaka,BRASILIAN SKIES,0.598,0.716,1,-13.154,0,0.037,0.0602,0.537,0.0628,0.876,121.987
4RvJ5sXFvWt8n9HHt7yBRD,SUMMER SUSPICION,S. Kiyotaka & Omega Tribe,AQUA CITY,0.699,0.7,11,-5.314,0,0.0299,0.195,3.79e-06,0.0697,0.724,130.824
5iUjWA0lGW4TXr6KJs6Y0r,Shiawasenomonosashi,Mariya Takeuchi,Expressions,0.7,0.814,4,-4.84,1,0.054,0.18,0.0,0.105,0.809,118.902
6ckbzoDK2cTdvi0029Wzt5,STIFF NAILS,T-SQUARE,Make Me A Star,0.463,0.792,2,-7.302,1,0.0378,0.00323,0.766,0.113,0.595,136.335
1QFPI3slA71XOdiBV5qti1,The Cruel Angel's Thesis,Yoko Takahashi,Evangelion Finally,0.682,0.793,0,-4.388,0,0.0527,0.0221,0.000497,0.12,0.464,128.137
4lmWXO1Zznr8HVok0vZWLp,KYOU NO HI WA SAYOUNARA,Megumi Hayashibara,Evangelion Finally,0.358,0.184,2,-9.323,1,0.0334,0.878,0.0,0.139,0.287,199.827
6rCLh6uKg77JGizDHBAwTX,Aitsu no Brown Shoes,Miki Matsubara,Who Are You?,0.641,0.447,7,-9.379,1,0.0423,0.593,0.0,0.0279,0.767,176.794
1T5UET8D2PfsCuUWts76PT,Kimagure Usagi - Run Rabbit Run -,Miki Matsubara,Who Are You?,0.54,0.811,0,-8.188,1,0.0414,0.179,2.94e-06,0.122,0.46,144.572
3lcQCZK5prHBgGF82Dzxw7,Rainy Day Woman,Miki Matsubara,Who Are You?,0.698,0.68,4,-9.175,0,0.0351,0.282,8.86e-06,0.0607,0.802,119.689
0dUBTbFviB1UQHX43MTVXz,Hello Walls,Miki Matsubara,Who Are You?,0.732,0.482,11,-9.242,0,0.0312,0.621,3.74e-06,0.0331,0.53,131.462
4sy4bxhGo43HSwGqFzr9KJ,Howa Howa Shuwa Shuwa - Uchuu Neko no Shitazawari -,Miki Matsubara,Who Are You?,0.626,0.748,0,-7.362,1,0.0447,0.272,1.18e-05,0.29,0.508,138.935
5wxTRe4L7bdHyrF3Nm11lO,It's so Creamy,Miki Matsubara,Miki Matsubara Best Collection,0.556,0.638,1,-9.291,1,0.0602,0.205,0.000578,0.121,0.74,86.196
2BHj31ufdEqVK5CkYDp9mA,Mayonaka no Door / Stay With Me,Miki Matsubara,Miki Matsubara Best Collection,0.658,0.747,5,-6.615,1,0.0431,0.176,8.49e-06,0.0789,0.792,108.259
4pNqy1SEyx79UnjYyxrrIU,See-Saw Love,Miki Matsubara,Miki Matsubara Best Collection,0.549,0.683,10,-8.938,1,0.0527,0.0355,0.0,0.248,0.516,128.364
5PJXdnBEY4d2mZIlserX3c,Sannin de Odoranai,Miki Matsubara,Miki Matsubara Best Collection,0.664,0.601,2,-10.989,1,0.0515,0.482,0.0,0.113,0.454,132.095
6poI0pSGdOiYAskWgAZcLo,LOST LOVE IN THE RAIN,Anri,Timely!!,0.627,0.671,0,-6.341,1,0.0244,0.0845,0.00502,0.193,0.432,98.928
1ChwUGkcwllzdl9z2a8siD,GOOD-NIGHT FOR YOU,Anri,Timely!!,0.604,0.52,2,-7.265,1,0.0317,0.348,8.62e-06,0.135,0.409,135.417
439YMLXTadwJM1AunVQf1V,SAY GOODBYE,Hiroshi Sato,Awakening,0.772,0.67,5,-8.514,1,0.0563,0.484,0.000249,0.0545,0.882,111.02
7mFuB4Fo89UMd344AjfzmO,ELASTIC GIRL,Kahimi Karie,MY FIRST KARIE,0.619,0.773,5,-8.49,1,0.0387,0.202,0.0165,0.0619,0.936,123.949
2iicC261aCfsnb4jwREEEk,BLUE AND MOODY MUSIC (WENDY'S VERSION),Hiroshi Sato,Awakening,0.777,0.698,10,-7.416,0,0.0449,0.545,3.91e-05,0.112,0.727,115.578
5oybC8LzIKRFuwHnVQLgFL,erasuteitsuku*dami-,高橋ユキヒロ,サラヴァ!,0.594,0.806,8,-8.755,1,0.0534,0.0971,0.792,0.254,0.76,128.046
