Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer,Weezer,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.622
6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So - Original Mix,Weezer,Weezer,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779
3mwvKOyMmG77zZRunnxp9E,Buddy Holly,Weezer,Weezer,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138
1yKu2MhpwzDXXH2tzG6xoa,Beverly Hills,Weezer,Make Believe,0.693,0.823,5,-3.761,1,0.0726,0.0932,0.0,0.328,0.741,87.904
5CjwXdq5Z73Va0XCPFG5Aq,The Good Life,Weezer,Pinkerton,0.539,0.893,6,-4.566,1,0.0423,0.14,0.0,0.339,0.683,135.76
43Qr1YBCY3vSVCvZuR0PCb,Why Bother_,Weezer,Pinkerton,0.55,0.965,3,-3.819,1,0.0679,0.0309,0.0,0.11,0.601,140.344
6qQGxKyy6LcyZVsWn93lyS,Pink Triangle,Weezer,Pinkerton,0.282,0.894,6,-4.834,1,0.0822,0.0118,0.0,0.347,0.466,118.809
1EYwaLwf6fdS3NIlTbUZ3X,O Girlfriend,Weezer,Weezer,0.393,0.873,9,-4.209,1,0.0386,0.000196,0.0,0.0952,0.348,113.607
1ytYTPuKbW0NIXb2kgmSVq,Burndt Jamb,Weezer,Maladroit,0.591,0.666,11,-8.062,0,0.0463,0.0012,0.000686,0.088,0.451,97.696
4r53Y7uKvyXCU7a9dsnb58,Troublemaker,Weezer,Weezer,0.652,0.74,8,-7.93,1,0.0313,0.0164,0.0,0.142,0.82,131.476
7wclPheMJAUKn2njmO2s3A,Pork And Beans,Weezer,Weezer,0.599,0.624,6,-6.622,1,0.0339,0.0109,8.06e-06,0.158,0.706,119.838
35moqQg9KRKHhpVAMvdEfW,Pig,Weezer,Weezer,0.577,0.432,10,-7.682,1,0.0379,0.0129,0.000105,0.126,0.429,138.041
0EcGojEMPd3BdAAsw0RANv,Where's My Sex_,Weezer,Hurley,0.629,0.828,0,-5.721,1,0.047,0.00119,0.0,0.228,0.963,121.976
42YgaJLCehufTbH2orwBHM,Back To The Shack,Weezer,Everything Will Be Alright In The End,0.441,0.69,1,-5.214,1,0.044,0.00686,7.43e-05,0.0375,0.642,171.907
3If9Idk1rglOqubIsJcpmv,In The Garage,Weezer,Weezer,0.531,0.729,6,-6.994,1,0.0283,0.000119,0.00013,0.107,0.362,97.47
2WtF8X3W7iHPF2KaJGUCuO,Basket Case,Green Day,Greatest Hits: God's Favorite Band,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064
5oQcOu1omDykbIPSdSQQNJ,1985,Bowling For Soup,A Hangover You Don't Deserve,0.606,0.887,4,-4.404,1,0.0598,0.000242,0.0,0.337,0.903,119.974
2ydUT1pFhuLDnouelIv4WH,The Rock Show,blink-182,Take Off Your Pants And Jacket,0.409,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.144
2JdzB67NvIa90K4gEZPLeX,Lump,The Presidents Of The United States Of America,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,0.499,0.873,6,-3.902,1,0.0386,0.00468,0.0,0.165,0.864,142.726
3VEFybccRTeWSZRkJxDuNR,Peaches,The Presidents Of The United States Of America,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,0.417,0.849,1,-4.199,0,0.0481,0.0146,0.000387,0.0673,0.594,94.267
7hpbjF2BGRPPIdyrzX5tZA,Some Postman,The Presidents Of The United States Of America,Love Everybody,0.569,0.715,6,-4.083,1,0.062,0.165,0.0,0.0587,0.586,118.594
09JxX9P3dqSl0I3lDGrTie,Volcano,The Presidents Of The United States Of America,II,0.506,0.913,3,-5.301,1,0.0512,0.138,0.000853,0.135,0.894,151.182
