Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
6NkzKmPgDTG8zHL7PtydBh,Satellite of Love - Demo Version; 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,0.478,0.567,5,-8.855,1,0.0485,0.335,0.0,0.127,0.536,128.924
4KcH1ZRV2W1q7Flq0QqC76,Blitzkrieg Bop - 2016 Remaster,Ramones,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),0.385,0.783,9,-2.533,1,0.233,0.000269,0.47,0.108,0.902,176.701
1ntxpzIUbSsizvuAy6lTYY,Crosstown Traffic,Jimi Hendrix,Electric Ladyland,0.486,0.963,0,-5.586,0,0.129,0.248,2.39e-06,0.158,0.533,113.133
70tBw295bLL8B13Jg3SNUs,Charley's Girl,Lou Reed,Coney Island Baby,0.748,0.831,9,-6.583,1,0.0613,0.126,0.126,0.0483,0.848,86.781
0TakSMEjYQ49Rw1jV3kctO,So Glad To See You Here - Remastered 1993,Wings,Back To The Egg,0.43,0.786,0,-10.294,1,0.0315,0.00913,1.25e-06,0.161,0.578,157.25
7AzFID6u1b3zIWbd9pb8Dk,Summer in the City - Remastered,The Lovin' Spoonful,Hums Of The Lovin' Spoonful,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461
6ePcDDP1t0GHmIQSBd7FwY,Tutti Frutti,Elvis Presley,Elvis Presley,0.635,0.618,7,-8.619,0,0.0589,0.68,0.0,0.189,0.912,114.188
1ATZfYmZOcm24vl5oQtPdC,"Roots, Rock, Reggae",Bob Marley & The Wailers,Rastaman Vibration,0.855,0.473,11,-9.846,0,0.146,0.0719,2.71e-05,0.0795,0.682,139.175
4ObxJP7kYUkBqpiklCzrBo,Brighton Rock - Remastered 2011,Queen,Sheer Heart Attack (Deluxe Remastered Version),0.352,0.842,11,-9.168,0,0.389,0.361,0.0142,0.79,0.351,138.109
4Hh6Q9GhhE8DeON2iUtYMT,Cool It Down - 2015 Remaster,The Velvet Underground,Loaded (2015 Remaster),0.656,0.683,7,-8.512,1,0.0271,0.225,0.00181,0.336,0.963,129.216
2YehU3jLpb9bM5V6k8HmyA,Country Pie,Bob Dylan,Nashville Skyline,0.723,0.533,9,-17.939,1,0.0557,0.639,0.00037,0.23,0.68,99.079
5Bh8l8evdBSIoaK6EP1bWI,Baby Driver,Simon & Garfunkel,Bridge Over Troubled Water,0.445,0.68,8,-11.338,1,0.0528,0.378,0.000209,0.102,0.75,163.664
1BkY0N8ChFk2mdLbAUu8ZK,Pass The Dutchie,Musical Youth,Anthology,0.805,0.418,7,-14.374,1,0.0978,0.459,0.0,0.288,0.966,149.737
6hfsIlwOxJ0cX8v2SNntBQ,Love _ Building on Fire - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),0.716,0.635,7,-7.451,1,0.0535,0.0739,3.22e-06,0.173,0.727,129.355
0qrYU79JEkJeN7EcQBhsaH,Ganadaramabasa,Kim Jung Mi,Now,0.371,0.479,9,-15.213,1,0.0437,0.688,0.691,0.416,0.738,90.247
0rWq91aOVmzagnKJMfCtl9,I Was Made To Love Her - Remastered 2001,The Beach Boys,Wild Honey (Remastered),0.515,0.64,10,-7.417,1,0.0269,0.0165,0.0,0.251,0.948,100.11
6nxd5cDRaMRIIg3pzq4twe,Cracklin' Rosie,Neil Diamond,All-Time Greatest Hits,0.6,0.667,1,-8.138,1,0.0328,0.257,0.0,0.115,0.846,127.413
1vVsBCkVMYdLhgiC4F54G4,Everybody Knows This Is Nowhere - 2009 Remaster,"Neil Young, Crazy Horse",Everybody Knows This Is Nowhere,0.517,0.637,7,-8.861,1,0.0292,0.0166,0.000503,0.415,0.85,158.172
