Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
0537JQWkKvrs5KUHAd8gt9,Mona Lisa,Israel Kamakawiwo'ole,Alone In Iz World,0.513,0.141,5,-15.594,1,0.143,0.898,4.25e-05,0.377,0.452,58.654
4Wc12t8HSxMitTLW45QS7x,'Ulili E,Israel Kamakawiwo'ole,Alone In Iz World,0.538,0.342,5,-16.104,1,0.062,0.917,0.796,0.0755,0.547,168.989
13kdK6HDM7EjbFFF79cbzW,Hanohano Wale No Na Cowboy & Ka Huila Wai,Israel Kamakawiwo'ole,Alone In Iz World,0.597,0.188,2,-13.876,1,0.0421,0.892,0.0,0.129,0.675,67.337
2EmP0sMUhUKoJVpOrAII8b,Hi'ilawe,Israel Kamakawiwo'ole,Alone In Iz World,0.382,0.233,9,-12.233,1,0.0302,0.868,0.0,0.12,0.305,174.564
1hkXNXyuAiXXZmDUos7CQZ,Ahi Wela / Twinkle Twinkle Little Star,Israel Kamakawiwo'ole,Alone In Iz World,0.316,0.207,7,-8.613,1,0.0327,0.902,1.67e-06,0.117,0.289,79.17
1KepE2VnZbEQsanGwUK0fg,Starting All Over Again,Israel Kamakawiwo'ole,Alone In Iz World,0.616,0.38,10,-9.64,1,0.0573,0.212,4.1e-05,0.0544,0.407,147.979
3oQomOPRNQ5NVFUmLJHbAV,Over the Rainbow,Israel Kamakawiwo'ole,Alone In Iz World,0.671,0.153,0,-13.569,1,0.0404,0.912,5.53e-05,0.0771,0.658,85.6
4cbBbxLc6fVSYB6KI10rAh,`Ia `Oe E Ka La,The Maile Serenaders,Slack Key & Steel Guitar - Volume II,0.508,0.277,7,-18.678,1,0.0536,0.339,0.0106,0.107,0.772,123.881
0BcRuqRmMnMjAZvan2Bbgm,La Elima,Israel Kamakawiwo'ole,Alone In Iz World,0.516,0.0939,5,-13.412,0,0.0432,0.921,0.0,0.37,0.247,102.642
0WKb8zxYGQxUK0crD63cJU,In This Life,Israel Kamakawiwo'ole,Alone In Iz World,0.499,0.409,11,-9.317,1,0.0301,0.433,0.0,0.335,0.141,119.95
38yW9ZSLEozGW7YGqlfx5g,He Wahine U`i,Ho'okena,Ho'okena 3.0,0.511,0.681,0,-8.596,1,0.0317,0.498,0.0,0.145,0.964,80.965
3ZJ74MOmfj3X2SUyPo2U1W,Guava Jam,The Sunday Manoa,Guava Jam,0.484,0.307,1,-18.01,1,0.0357,0.781,0.765,0.215,0.881,80.879
6tRcgIoOXfYbpJnTsUyK97,Nanakuli,Keola & Kapono Beamer,Honolulu City Lights,0.719,0.365,7,-18.87,1,0.0397,0.312,0.0106,0.115,0.837,139.064
4SknJErs79L8vRBg7YhqVP,Henehene Kou 'Aka,Israel Kamakawiwo'ole,Alone In Iz World,0.668,0.396,1,-10.803,1,0.0492,0.797,1.47e-05,0.0702,0.795,154.542
6PyxLySBcfj4kRUMfBGaps,Panini Pukea,Israel Kamakawiwo'ole,Alone In Iz World,0.707,0.293,1,-13.295,1,0.0586,0.937,5.68e-05,0.277,0.727,165.595
0VUqhyzGTs3N9PfQzF2rWV,Kawika,The Sunday Manoa,Guava Jam,0.492,0.313,2,-13.285,0,0.0646,0.631,0.372,0.0878,0.579,176.044
0PfbojT7vJ9RDbmMANWD1p,Hawai'i Au,The Sunday Manoa,Guava Jam,0.346,0.219,9,-18.246,1,0.0352,0.888,0.0202,0.119,0.678,79.898
