Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
2eH3L9m4sEZquqEc2UEU3C,Misfire - Remastered 2011,Queen,Sheer Heart Attack (Deluxe Remastered Version),0.614,0.84,3,-7.006,1,0.03,0.0808,0.0334,0.397,0.961,126.346
7tJQ4Ekp2vN3NlI3vJJW3v,I Want You,Bob Dylan,Blonde On Blonde,0.509,0.68,5,-8.354,1,0.0372,0.36,0.0,0.0824,0.802,99.924
3bMc9oRaUWnojCrYTUXXcQ,BRASILIAN SKIES,Masayoshi Takanaka,BRASILIAN SKIES,0.598,0.716,1,-13.154,0,0.037,0.0602,0.537,0.0628,0.876,121.987
0NIh5j1CfLpDHvoOCaUnaU,Blow Spring Breeze,Kim Jung Mi,Now,0.66,0.304,0,-15.532,1,0.044,0.342,0.573,0.108,0.961,122.429
6nxd5cDRaMRIIg3pzq4twe,Cracklin' Rosie,Neil Diamond,All-Time Greatest Hits,0.6,0.667,1,-8.138,1,0.0328,0.257,0.0,0.115,0.846,127.413
1FLQYGTaDYzGjpP9c82Q1G,The Fez,Steely Dan,The Royal Scam,0.565,0.782,9,-9.173,0,0.0295,0.247,0.827,0.611,0.867,98.672
6eT2fNwiVD04D3R4uP5qOv,Only A Fool Would Say That,Steely Dan,Can't Buy A Thrill,0.803,0.531,0,-11.967,1,0.0348,0.712,0.0,0.197,0.965,130.05
0SkpjIqhANcC2QQu8DIuwG,Listen To What The Man Said - 2014 Remaster,Wings,Venus And Mars - Archive Collection,0.499,0.616,7,-8.325,1,0.0392,0.179,0.000151,0.552,0.622,113.254
6EUcEf1l8hgFSGOzss2vU7,My Stove's on Fire,Robert Lester Folsom,Music and Dreams,0.637,0.665,2,-9.184,1,0.0489,0.0201,0.0,0.097,0.928,116.215
0bTY3EvTFLdPALso8E7Eyq,If Not for You,Bob Dylan,New Morning,0.663,0.593,9,-8.616,1,0.0322,0.452,0.0453,0.226,0.884,139.479
4kP69y3GKHi9tXckfgp4bK,For Once In My Life,Stevie Wonder,For Once In My Life,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121
5fPgEQlqlMa83hZRlrerFH,Did You Ever Love Me,Fleetwood Mac,Penguin,0.699,0.541,0,-12.576,1,0.0451,0.0892,9.1e-06,0.129,0.681,89.628
1lKToxczcW96EaAx6riTlj,In the Country,The West Coast Pop Art Experimental Band,A Child's Guide To Good And Evil,0.601,0.573,7,-10.289,1,0.0285,0.262,0.000244,0.18,0.965,133.857
2Xb6wJYGi0QXwURw5WWvI5,Right Down the Line,Gerry Rafferty,City to City,0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226
5vZ1BKMSLgrxxPYGMR904n,Mother and Child Reunion,Paul Simon,Paul Simon,0.712,0.632,9,-7.704,1,0.0334,0.112,0.0,0.0648,0.764,119.931
52SCT6ImFklqEhH21lgErO,Sweet City Woman,Stampeders,Against the Grain,0.696,0.736,7,-7.283,1,0.048,0.255,0.0,0.117,0.917,88.133
6vxHp3CDNo0afgKGp2yi1E,Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,0.626,0.816,9,-10.593,1,0.131,0.237,1.8e-06,0.104,0.798,105.307
2aaCNg42RA74s0EmHTBqS7,No Other Heart,Mac DeMarco,Another One,0.67,0.684,2,-7.47,1,0.0242,0.513,0.0103,0.126,0.852,94.261
4yzxcims4rmI8MGkUXzG21,Beginning To See The Light,The Velvet Underground,The Velvet Underground (45th Anniversary / Super Deluxe),0.591,0.562,2,-10.439,0,0.0291,0.118,0.702,0.157,0.776,124.401
5KRtiPYvYDqE8MysJmDOut,The Good Thing - 2005 Remaster,Talking Heads,More Songs About Buildings and Food (Deluxe Version),0.83,0.611,7,-6.811,1,0.0333,0.476,0.00096,0.297,0.791,127.051
5ibzGJgUhqJId3IMgzhufM,Hobo's Blues,Paul Simon,Paul Simon,0.589,0.504,10,-12.588,1,0.0584,0.6,0.0,0.0797,0.543,84.216
5rxGMcN6GRJmvyRAZ71chn,Steppin' Out - Single Version,Chuck Mangione,The Best Of Chuck Mangione,0.553,0.589,5,-9.178,1,0.0289,0.448,0.623,0.0923,0.714,118.041
1cjYtL6yMFDLyZYn9bDkGo,Chirp,C418,Minecraft - Volume Beta,0.577,0.52,0,-10.162,1,0.0259,0.471,0.948,0.108,0.196,109.835
7mFuB4Fo89UMd344AjfzmO,ELASTIC GIRL,Kahimi Karie,MY FIRST KARIE,0.619,0.773,5,-8.49,1,0.0387,0.202,0.0165,0.0619,0.936,123.949
