Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
0gFB5H3pHN13ERt2FyMuWi,It Takes Two,Rob Base & DJ EZ Rock,It Takes Two,0.8,0.723,2,-9.719,1,0.158,0.00228,0.0,0.26,0.651,111.593
0j5FJJOmmnXPd0XajFWkMF,Unfinished Sympathy - 2012 Mix/Master,Massive Attack,Blue Lines (2012 Mix/Master),0.592,0.835,7,-8.475,1,0.032,0.0393,0.209,0.665,0.703,114.436
10RHHwMAsp8hpF6zsxAwpY,Mr. Hood at Piocallee Jewelry / Crackpot,KMD,Mr. Hood,0.854,0.43,2,-16.207,1,0.358,0.367,0.0,0.61,0.455,107.57
15HgR9Ht4obJOcMG4wregp,Children's Story,Slick Rick,The Great Adventures Of Slick Rick (Deluxe Edition),0.904,0.577,1,-7.293,1,0.132,0.126,0.0,0.115,0.7,102.693
1GO6BnAO8t6e35NX64QGN9,Street Rock,Kurtis Blow,Kingdom Blow,0.882,0.607,5,-14.825,0,0.0841,0.041,3.46e-06,0.197,0.546,98.079
1JJ8D0KE144weLOGrjqJrb,Rebel Without A Pause,Public Enemy,It Takes A Nation Of Millions To Hold Us Back (Deluxe Edition),0.783,0.878,7,-6.481,1,0.32,0.00502,0.0,0.662,0.634,99.811
1SyQ6t9RdRBK0QUCS6a797,Hip Hop Hooray,Naughty By Nature,19NaughtyIII,0.862,0.642,6,-13.652,0,0.101,0.102,0.0,0.272,0.765,99.2
1xZdjsAGrY4BUIbIlYy3EX,Strictly Business,EPMD,Strictly Business,0.712,0.895,10,-4.212,0,0.255,0.18,1.81e-05,0.108,0.727,96.339
1yo16b3u0lptm6Cs7lx4AD,Fight The Power,Public Enemy,Fear Of A Black Planet,0.797,0.582,2,-12.97,1,0.255,0.00484,2.04e-06,0.517,0.415,105.974
20s3FayrStM8GY0m4dRFsw,Paid In Full,"Eric B. & Rakim, Marley Marl",Paid In Full,0.878,0.851,7,-8.971,1,0.232,0.00228,0.00125,0.0509,0.404,99.014
4kWm53cikiksuB6TaPzhyF,New York Strait Talk,Gang Starr,Moment Of Truth,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
4pQXPcVWTCa4Ve73Sw4G2q,Five Man Army - 2012 Mix/Master,"Massive Attack, Horace Andy",Blue Lines (2012 Mix/Master),0.629,0.697,6,-11.293,1,0.0765,0.00949,0.235,0.118,0.844,162.266
4tVhBXOhSlqYCL2IjyoUNu,Blue Lines - 2012 Mix/Master,"Massive Attack, Tricky",Blue Lines (2012 Mix/Master),0.855,0.496,5,-10.572,1,0.0824,0.0778,0.451,0.12,0.947,95.494
5DuTNKFEjJIySAyJH1yNDU,The Message (feat. Melle Mel & Duke Bootee),"Grandmaster Flash & The Furious Five, Grandmaster Melle Mel, Duke Bootee",The Message,0.947,0.607,10,-10.58,0,0.202,0.0249,4.76e-06,0.0861,0.732,100.619
5HCxyNfUA6DMJtIHavfJnw,Doggy Dogg World,"Snoop Dogg, Tha Dogg Pound, The Dramatics",Doggystyle,0.75,0.616,7,-7.541,1,0.284,0.00473,0.0,0.0928,0.703,94.314
5TvcggVu3s2P1fMAS8BupX,The Breaks,Kurtis Blow,Kurtis Blow,0.91,0.576,11,-13.256,0,0.109,0.0987,0.0023,0.195,0.907,112.877
5xELy29v1SKxWaEtgFCjaM,One To Grow On,The UMC's,Fruits Of Nature,0.81,0.856,1,-6.153,1,0.0926,0.0113,0.0,0.0766,0.679,111.581
6FI3RJ58Ztl0X1VtA6pVs9,Oh My God (feat. Busta Rhymes),"A Tribe Called Quest, Busta Rhymes",Midnight Marauders,0.866,0.698,10,-7.976,0,0.272,0.0331,0.0189,0.108,0.713,94.64
7sZDbHZiuHEzS00vzCuhqS,Rapper's Delight,The Sugarhill Gang,The Showdown: The Sugarhill Gang vs. Grandmaster Flash & The Furious Five,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
