Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
7wSco4c7DSaTvcrryRmy6S,The Sick Bed of Cuchulainn,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.546,0.918,5,-9.237,1,0.0762,0.0971,1.11e-06,0.25,0.355,140.409
3nP0dFUXqDefiHvg37TtgI,Wild Cats of Kilkenny,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.42,0.685,2,-13.041,1,0.0423,0.341,0.713,0.15,0.687,161.15
26WJMsesrV9FuKNgZ25zW7,I'm a Man You Don't Meet Every Day,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.546,0.207,7,-15.335,1,0.034,0.15,0.0,0.127,0.371,121.759
32soEc9h0wDy1BEjV5egeh,A Pair of Brown Eyes,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.349,0.63,7,-8.622,1,0.037,0.0422,0.00232,0.0647,0.116,166.3
2779hybiMKwid1gcrFVMzH,Sally MacLennane,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.498,0.806,2,-8.684,1,0.0661,0.00269,0.0,0.164,0.741,146.622
0qH487xSz8Z6Xk4kyOQkbG,Dirty Old Town,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.511,0.464,7,-10.765,1,0.0383,0.256,4.2e-06,0.132,0.289,123.412
7cjs0nYg57bdEn6FqYDwCJ,Jesse James,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.613,0.498,7,-18.899,1,0.0346,0.431,5e-06,0.0997,0.878,134.021
1LWuCx5zsDB2Rl9KyLXmCb,Navigator,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.646,0.278,7,-18.286,1,0.0359,0.495,1.78e-05,0.11,0.431,117.62
2p3fQTubct9pvebjTImqP7,Billy's Bones,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.577,0.761,5,-17.683,1,0.0341,0.546,9.64e-05,0.256,0.877,144.477
2ZJ6E8eYv2Z9LxyqwABRnI,The Gentleman Soldier,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.561,0.606,2,-20.642,1,0.0727,0.546,0.0,0.0882,0.847,147.497
1O2SlAUcjIoFFt9vpI3P1i,The Band Played Waltzing Matilda,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.634,0.132,9,-20.226,1,0.0344,0.457,0.000229,0.125,0.197,104.788
2zluxpiuwhMJba2ZZIh0q6,A Pistol for Paddy Garcia,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.459,0.701,4,-14.012,0,0.0565,0.0777,0.905,0.301,0.926,134.078
6Phlvy4vI8cIrM0puZLgSt,A Rainy Night in Soho,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.375,0.449,0,-12.478,1,0.0283,0.499,0.237,0.173,0.49,105.646
6YaiRxNzp5mZFR3orTq2Pb,The Body of an American,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.305,0.843,0,-4.828,1,0.0509,0.272,0.436,0.661,0.315,128.715
2sF1KuSzJs6OfrGofZ1ror,Planxty Noel Hill,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.572,0.615,4,-8.85,0,0.0474,0.0222,0.928,0.223,0.612,81.37
7yMHWJX9uLYJbR5im1BTcr,The Parting Glass,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.564,0.388,2,-13.243,0,0.0288,0.0946,0.0,0.123,0.544,107.462
1Z5rTFsClLFgsIGuZ7Ymt2,If I Should Fall from Grace with God,The Pogues,If I Should Fall from Grace with God (Expanded Edition),0.45,0.952,2,-8.938,1,0.0532,0.015,0.0178,0.142,0.59,129.692
5AlSfGcN88eiTLWAT5EwS3,London Girl,The Pogues,Rum Sodomy & The Lash (Expanded Edition),0.412,0.804,10,-10.98,0,0.0654,0.0197,2.06e-06,0.204,0.898,173.029
1gyCtXIRuolBdRe4bVVF1u,The Sunnyside of the Street,The Pogues,Hell's Ditch (Expanded Edition),0.458,0.752,1,-10.64,0,0.0387,0.0161,0.000126,0.399,0.558,168.818
