Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
01IhJNtkDzlbQQlxcda4q4,Its wings have become so frayed and worn it can no longer fly,gingerbee,Our Skies Smile,0.281,0.763,9.0,-3.12,1.0,0.042,0.819,0.665,0.299,0.14,114.532
02N7IrcwKujTW4JHaXsKS2,Over The River And Through The Woods,Lightning Bolt,Fantasy Empire,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
03gKERSrTBXV3efmZBP2eA,Feeling Like Children,gingerbee,Apiary,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0BJZEGYAHLwxMuZ30lSawh,Specialized,The I.L.Y's,I've Always Been Good at True Love,0.478,0.914,4.0,-6.068,0.0,0.0908,0.000106,0.279,0.538,0.2,148.188
0CySZwyRJ0vyUqtSjM9i2k,Club classics,Charli xcx,BRAT,0.704,0.868,7.0,-6.022,1.0,0.191,0.125,4.4e-05,0.167,0.712,144.969
0Dxj55xDA0KyYMXiJTpgIX,Pomegranate Castle,godfuck,The Sound of Computers Thinking,0.423,0.509,11.0,-9.713,1.0,0.0292,0.265,0.683,0.108,0.031,77.466
0GDYxsbWNAB0SJ7ZMRwGRm,m9 bayonet crimson web,godfuck,m9 bayonet crimson web,0.347,0.195,11.0,-15.452,0.0,0.0326,0.762,1.16e-05,0.0645,0.132,128.862
0QNMhMyY9stcTecccx22Rx,Petal Dance,gingerbee,Apiary,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0aV4YQ18bZ9qt0PDUZIDSz,stupid horse (Remix) [feat. GFOTY & Count Baldor],"100 gecs, Count Baldor, GFOTY",1000 gecs and The Tree of Clues,0.736,0.859,8.0,-6.783,1.0,0.153,0.0124,0.0346,0.233,0.678,165.941
0jmJyRvB77PRLX8pfNQbBB,sympathy 4 the grinch,100 gecs,sympathy 4 the grinch,0.547,0.899,11.0,-3.943,0.0,0.0815,0.0116,0.0,0.151,0.892,176.021
0oigSejhoNen2EdNAIFcm5,Hollywood Baby,100 gecs,"10,000 gecs",0.426,0.872,10.0,-3.322,1.0,0.115,0.0191,0.0,0.269,0.608,77.292
0qMZXgcLfkl5RI3q50KHMH,Dumbest Girl Alive,100 gecs,"10,000 gecs",0.625,0.773,9.0,-4.809,0.0,0.178,0.00671,0.0,0.143,0.258,150.018
0xotalhUIMjIBPLI3NC3l8,Big House,Death Grips,Government Plates,0.637,0.78,4.0,-6.034,0.0,0.19,0.000294,0.271,0.137,0.199,172.741
11TpRtA1zMLeAPTLloNmG4,Spikes,Death Grips,Bottomless Pit,0.339,0.922,8.0,-4.3,1.0,0.561,0.111,0.0,0.0812,0.343,179.909
18yTgk0VgjB9XDj8h2q6Td,JUST LIKE WE NEVER SAID GOODBYE,SOPHIE,JUST LIKE WE NEVER SAID GOODBYE,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1EY2havDjRd1RW7Q5SZEfl,Why,Yoko Ono,Plastic Ono Band,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1GB8r9Ixl4eRnFJBlEN0Db,Shrooms,Jerobeam Fenderson,Oscilloscope Music,0.412,0.0912,7.0,-9.578,1.0,0.0587,0.244,0.0677,0.0974,0.0829,92.906
1H3Vi8GP4RaDbgwAKN3kpg,The Sound of Computers Thinking,godfuck,The Sound of Computers Thinking,0.293,0.119,9.0,-22.056,0.0,0.0439,0.851,0.923,0.11,0.104,115.98
1LzvuqP3L5Q7G61kUBgfCJ,VYZEE,SOPHIE,VYZEE,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
