Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
0DPKVOCpCrwITGFqH8QLOw,Lazy Bones,WITCH,Witch: We Intend to Cause Havoc!,0.481,0.683,11,-8.807,1,0.0532,0.363,0.00508,0.0968,0.767,103.925
7xZznhhxSqiogXbQdtguQk,Home Town,WITCH,Witch: We Intend to Cause Havoc!,0.486,0.381,0,-13.252,0,0.0286,0.304,0.585,0.108,0.513,164.141
0NIh5j1CfLpDHvoOCaUnaU,Blow Spring Breeze,Kim Jung Mi,Now,0.66,0.304,0,-15.532,1,0.044,0.342,0.573,0.108,0.961,122.429
77mmpy5QUbgWfByfpMjytu,Your Dream,Kim Jung Mi,Now,0.545,0.416,0,-14.886,1,0.0307,0.327,0.0743,0.166,0.413,137.588
0qrYU79JEkJeN7EcQBhsaH,Ganadaramabasa,Kim Jung Mi,Now,0.371,0.479,9,-15.213,1,0.0437,0.688,0.691,0.416,0.738,90.247
7xIgZsS4zVs1mMTu6XBELk,Sunset,Jang Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,0.292,0.375,9,-9.577,0,0.0288,0.135,0.628,0.303,0.295,73.503
3o5c5YIqVQtqOKyLalmMsA,Pushing Through the Fog,Jang Hyun,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,0.223,0.85,2,-7.823,0,0.179,0.64,0.604,0.765,0.439,160.267
4zQ8Y3TeQ98xWm20ebX3Cc,Spring,Kim Jung Mi,Now,0.298,0.278,4,-14.879,0,0.0351,0.862,0.396,0.113,0.348,142.847
1D4po32tCCOXAFiTlHSCmv,Unknowingly,Kim Jung Mi,Now,0.483,0.411,2,-15.443,1,0.0313,0.413,0.284,0.055,0.542,87.86
6BxU8yJLGx6bhNexO33MtV,Beautiful Rivers and Mountains,Kim Jung Mi,Now,0.517,0.462,4,-14.804,0,0.0384,0.58,0.317,0.0607,0.64,117.015
5x2u3LP7WxrHGCFmsowqqP,Hi Babe,"Ngozi Family, Paul Ngozi",Day of Judgement,0.779,0.737,8,-9.049,1,0.0808,0.924,0.086,0.101,0.921,122.626
