Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
6PzJKbXZwPEF5BcNWd9c4H,Hour of Parting - stereo,Sun Ra & His Arkestra,Jazz in Silhouette (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2rVgZETOgFAuW8p8Uoq9as,You Never Told Me That You Care - stereo,Sun Ra & His Arkestra,Jazz in Silhouette (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1m65A1pNcJpMAl3hXkf77l,Door of the Cosmos,Sun Ra & His Arkestra,Sleeping Beauty (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1IMbKfMzGyFK4WxsMy9xRF,Springtime Again,Sun Ra & His Arkestra,Sleeping Beauty (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6YYu8qFzcY1ZyzzsJIQM12,"Straight, No Chaser",Thelonious Monk,"Straight, No Chaser",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4vLYewWIvqHfKtJDk8c8tq,"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",Kind Of Blue (Legacy Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0CLbmkYmQIWiEwnsbOkLpd,"A Love Supreme, Pt. I - Acknowledgement",John Coltrane,A Love Supreme,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7unF2ARDGldwWxZWCmlwDM,"A Love Supreme, Pt. II - Resolution",John Coltrane,A Love Supreme,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0jHEixPAoSopOP75j2iTX9,"A Love Supreme, Pt. III - Pursuance",John Coltrane,A Love Supreme,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5FLQmLjjeNIuC8U5mDnXC8,"A Love Supreme, Pt. IV - Psalm",John Coltrane,A Love Supreme,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0tUq1zaYNoV6ZiYRU2bjqf,"On Green Dolphin Street (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",Kind Of Blue (Legacy Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4WyVRn3L2uXnSUkY762gqN,Sly,Herbie Hancock,Head Hunters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4HnQuRLBpmGbmnDTBvu54W,"Cherokee - Live at the Bee Hive, Chicago, IL - November 1955","Clifford Brown, Max Roach",Live at the Bee Hive,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3VAkUe1cqGTytxnf0jxUUd,Pink Partido,Tore Morten Andreassen,Fusive Illusions,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2sfcdBm7F0ccANkXBfMK5K,Daahoud,"Clifford Brown, Max Roach",Clifford Brown And Max Roach,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1OthTnfajlDmZDcqgZ9paY,Blowin' the Blues Away,Buddy Rich and His Sextet,Blues Caravan,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3ven4ZKSspshBwiLMMibEa,Early Summer,Ryo Fukui,シーナリィ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3LS0eOBe0B0wJIxb8pLwTn,King Porter Stomp,King Oliver,Papa Joe,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6DF63ZuNh927Gbt85my9CN,Mahogany Hall Stomp,King Oliver,Papa Joe,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2X1TSIrhRQedpsayv0e2Np,Canal Street Blues,King Oliver,Papa Joe,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6rqrN2bLrxW5ZB7OmWUwQe,Don't You Think I Love You,King Oliver,Papa Joe,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0rEP2CDOuvUm4zbhIPZAkK,Gut Bucket Blues,Louis Armstrong & His Hot Five,The Complete Hot Five And Hot Seven Recordings Volume 1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3mWcoPBHsrmcs1lj6uBfvz,Georgia Grind,Louis Armstrong & His Hot Five,The Complete Hot Five And Hot Seven Recordings Volume 1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5CLkYMVMOfqW3VWcjKKr1n,Heebie Jeebies,Louis Armstrong & His Hot Five,The Complete Hot Five And Hot Seven Recordings Volume 1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4SRyfds1YppKGXPowaNDr7,Laughing In Rhythm,Slim Gaillard And His Peruvians,Groove Juice: The Norman Granz Recordings + More,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2D1c80s1UfhDgriG89Fhms,Dreaming,"Cosmic Rays, Sun Ra Arkestra, Sun Ra",Singles,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
49LHJe8RmY5ViMMQj0aMdb,(What Did I Do To Be So) Black And Blue,Louis Armstrong,This Is Jazz Louis Armstrong Sings,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5PJXdnBEY4d2mZIlserX3c,Sannin de Odoranai,Miki Matsubara,Miki Matsubara Best Collection,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0NI42v4l2AxIbgoIrWKiBU,Just A Gigolo _ I Ain't Got Nobody - Medley _ Remastered 2002,"Louis Prima, Keely Smith, Sam Butera & The Witnesses",The Wildest! (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22M3T4C7IegXSrDNqFQ1gU,Sure Gonna Miss Her,"The Mariachi Brass, Chet Baker",Hats Off,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6FYeRy9LuMYTEMXOVCRCJ5,I Remember You - Remastered 2004,Chet Baker,Chet Baker Sings And Plays (Remastered 2004),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6CeajvxcjyZ46cGbrKwq9n,Souvenir d'Italie,Lelio Luttazzi,Le mie preferite,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5dlfvkyZOuBCFP1KbzRHUx,Orange Moon,Erykah Badu,Mama's Gun,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2Dc4MWMRcM7coMtXKjf7sL,Nuclear War,Sun Ra,A Fireside Chat With Lucifer,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6VdtTwF9ZW5m9Lct4ep02s,Attica Blues,Archie Shepp,Attica Blues,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5IT8xiS70Ul7Zq0pKM8I0l,Quiet Dawn,Archie Shepp,Attica Blues,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0E8q2Fx2XuzXCO2NSAppkR,In A Sentimental Mood,"Duke Ellington, John Coltrane",Duke Ellington & John Coltrane,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3Yh4oIxc99pRdUM6vE8Lsx,Portrait of Tracy - Original Version,Francesco Suppa,Birds To Jaco,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0q4SJUYOp0Er9fvREdDyDv,Enlightenment,Sun Ra,Sound Sun Pleasure,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4OhX1Gi7CEySPoGLC2JckS,Where Pathways Meet - Remastered,"Sun Ra, Sun Ra & His Arkestra",Lanquidity (Definitive Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1Wh8Lz3GvUSXpvZKTasKGR,Street Life,Herb Alpert,Rise,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5X0M16GjlZYN1WjPNzerb5,As Time Goes By,Dooley Wilson,Casablanca (Original Motion Picture Soundtrack),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1YJp9SWn6qXQoiAnmh69FM,Kind of Sunshine,Nicola Conte,Other Directions (Remastered and Unreleased Tracks),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3YmxwafE7wiBGOM7WnWdY3,Michelle,Yusef Lateef,Suite 16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5EJ9MfO86fEG7ICjhciyd1,The Enchanted Sea,Martin Denny,The Enchanted Sea,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4apDKupCu7oqynDhkO67HZ,I'd Rather Go Blind - Live - Montreux Jazz Festival 1975,Etta James,Etta James: The Montreux Years (Live),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1Qo5nLKvPYqiTbXrM7YJjt,Green Tea,John Scofield,A Go Go,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1PwDQml2mBq1RyS9BrmDOy,I Never Knew,"Count Basie, Zoot Sims",Basie & Zoot,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5HuaJQKO8niocig3zoqt6A,Calling Dr. Funk - live at the Black Hawk,Vince Guaraldi Quartet,The Definitive Vince Guaraldi,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1OQBzVlstoCo6oI2O8dVML,Fascinating Rhythm,Vince Guaraldi Trio,The Definitive Vince Guaraldi,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
56ELcGHTuw0myBCxjom1lZ,Fenwyck's Farfel,Vince Guaraldi Trio,The Definitive Vince Guaraldi,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
40dkGkXlOnvj75cbXGvjRf,A Flower Is A Lovesome Thing,Vince Guaraldi Trio,The Definitive Vince Guaraldi,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5wHTAt05hXx9Gp5WvdrVhk,"Softly, As In A Morning Sunrise",Vince Guaraldi Trio,The Definitive Vince Guaraldi,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0s2h4GBGC4rcdSQhJX80Mv,Samba De Orpheus,Vince Guaraldi Trio,The Definitive Vince Guaraldi,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1GJrFcbu6BVsEnPhDmGfdE,Cast Your Fate To The Wind,Vince Guaraldi Trio,The Definitive Vince Guaraldi,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2BxdgnesDnHCmbRABgAJEb,Smokin' - Remastered 2005,Hank Mobley,Workout,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1xicvSO4CJ2ymqYgpk7DFh,"Milestones (feat. John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers & Philly Joe Jones)","Miles Davis, John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers, Philly Joe Jones",Milestones,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
64KJlRhJmdws647AvXw3mX,Libra,Max Roach,Members Don't Get Weary,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3HqkZQP8zPRathO94XQLCC,Effi,Max Roach,Members Don't Get Weary,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1NMjdhoAQ0QXQ9NBC1taD1,"Gee Baby, Ain't I Good to You",Jim Kweskin,Garden Of Joy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2eXboFJA88FMlSEqFzDaLk,I'm Beginning To See The Light,"Martin Taylor, Acoustic Jazz Quartet, David Grisman",I'm Beginning To See The Light,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0pyKvtmrfUuCpErZnSC4jc,Nobody Knows You When You're Down And Out,Odetta,Best Of The Vanguard Years,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5VjD8Hw3mWX46bSAi2DwvX,Livin' With The Blues,Odetta,Best Of The Vanguard Years,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4iJ82bx1JTM5IuzeJwvgA8,House Of The Rising Son,Odetta,Best Of The Vanguard Years,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2LVX72XJLNyLYIEtHsig2e,Take Five,Dave Brubeck,Time Signatures: A Career Retrospective,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5k0joJktHK5MvVfGEBn1wn,Blue Rondo a la Turk,"Dave Brubeck, The Dave Brubeck Quartet",THE MUSIC OF AMERICA: Inventing Jazz - Dave Brubeck,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6yDiiNxjRpAglPGQhh1hkk,Besame Mucho,Dave Brubeck,Love Songs,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3JUdMjuw4hZ3ksFHVNvwbz,Strange Meadowlark,Dave Brubeck,Time Signatures: A Career Retrospective,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4Vkk3iD1VrENHJEACNddvt,Moanin',Art Blakey & The Jazz Messengers,Moanin' (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3Ysj0cl3Jlb6Ysp6um8QI7,Along Came Betty,Art Blakey & The Jazz Messengers,Moanin' (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3iFlfQ0CXc9URaAvai8VUe,Hipsippy Blues,Art Blakey & The Jazz Messengers,Just Coolin',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0fYXEHGIJqfimplx8Y4683,Dat Dere - Remastered 2005,Art Blakey & The Jazz Messengers,The Big Beat (The Rudy Van Gelder Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2EW1mFJaikQh0vxOoB7uGp,Quick Trick,Art Blakey & The Jazz Messengers,Just Coolin',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4nrQ0ohqu5sXqMg2p4YzkE,Come Rain Or Come Shine,Art Blakey & The Jazz Messengers,Moanin' (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4Cz5b86PJbP581TqfoNtvN,Low Down Blues,Bunk Johnson,Low Down Blues,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5bqw1jBy6gacBpxsn8xFuF,Guilty,George Shearing,The Shearing Piano,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2BMorWMRsJPc1hEstsFKRU,I'll Remember April,George Shearing,September In The Rain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5zCiw5IsJwPk58qZ037Uop,Lullaby Of Birdland,George Shearing,Lullaby Of Birdland,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1iyHSMjQabRL06FeCPokei,Atomic Cocktail,Slim Gaillard,"Beat Scene: Jack Kerouac, His Contemporaries and Influences",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1Qwhl6uAguI3o6PaIjA92X,"Flat Foot Floogie, No.1",Slim Gaillard,"Slim Gaillard At Birdland, 1951",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7tC7ynpXP4TxKpPewcCN1U,Cement Mixer,Slim Gaillard,"Slim Gaillard At Birdland, 1951",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2Y6wOwXKvyBA8ZWn43GjnD,"Oh, Lady Be Good",Slim Gaillard,"Slim Gaillard At Birdland, 1951",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2ktNcamVv0XK1rxbTuxnVc,Friendly Persuasion (Thee I Love),George Shearing,The Shearing Piano,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2UWHpbnRVsH7s9CpY8X5yA,All Night Long,"George Shearing Quintet, Nancy Wilson",The Swingin's Mutual! (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2dLS7zqasY9xt2b50kvTqt,Inspiration,George Shearing Quintet,The Swingin's Mutual! (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5PHQRGt7KfLZ4thQER4Y00,Don't Call Me,George Shearing Quintet,The Swingin's Mutual! (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2DScpUQBRtxLrJiZTdMWnN,Stablemates,George Shearing Quintet,The Swingin's Mutual! (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
33xO3w8E1a9mlFQdnWcT3x,I Remember Clifford,George Shearing Quintet,The Swingin's Mutual! (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6UyFhMPqpg95EDBtSP7IRm,Whisper Not,George Shearing Quintet,The Swingin's Mutual! (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0aFGcKZEC8vS7DXRluUUC7,Wait Till You See Her,George Shearing Quintet,The Swingin's Mutual! (Expanded Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0uyf7zDWmsTWcrazrLoiBE,Strange,George Shearing Quintet,The Shearing Spell,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7aXKEVn57uSQoJ3dQnOIkF,"Goodnight, My Love",George Shearing Quintet,The Shearing Spell,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7HaMDVyHbbmhtRwfrpzw5B,Moonray,George Shearing Quintet,The Shearing Spell,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4y0gRsDxdXeZRQkx02OVWC,The Man I Love,George Shearing Quintet,The Shearing Spell,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
