Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
13U0E6CXh2dnEi6eDzNyK0,Where Did You Sleep Last Night,Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2WaxBL2VVPUHqtfQE1yLbF,Midnight Special - Remastered 2002,Lead Belly,Take This Hammer - The Complete RCA Victor Recordings - When The Sun Goes Down Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7FwE3eDX5QMKStc8i1tc9S,Goodnight Irene,Lead Belly,The Authorized Leadbelly Collection,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7em2HV51hc1VwjIWLEbEdh,New Orleans (The Rising Sun Blues),Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6Dhiyp0fBaEUCRNFPAbZMo,Irene (Goodnight Irene),Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2FEt7MCQSQNSXrz7VEjg6M,How Long,"Lead Belly, Sonny Terry",Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2mOoTm1KIDeZUP52I2mn74,When I Was a Cowboy,Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7ls1MUdvOF6E2uwAloompw,Pretty Flower in Your Backyard,Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4wldWowH1VqeV4qrV3ZEtR,Roberta,Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4q1G3atblBlTyHWAKMzKr2,"Looky, Looky, Yonder _ Black Betty _ Yellow Women's Doorbells",Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5KhCSQV4DkzQUAqfM4mgjI,Po' Howard _ Green Corn,Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48V57p4nHrBvbIKw3VB6I7,De Kalb Blues,Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
78S6ZcG9NVBkExQyDY693k,Bourgeois Blues,Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0wDHXosFXoZ6sPWtoTaMFP,Noted Rider (No Good Rider),Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4T2dSc0tkA9EE1UAiwW9Nl,The Gallis Pole,Lead Belly,Lead Belly: The Smithsonian Folkways Collection,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6xZZcFtU450AfYxwIGSXL9,John Hardy,Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3Qxk09hbSVeP6R35tzulTg,The Gallis Pole,Lead Belly,Tradition Masters Series,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
