Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
6JlvEF9pFXLPDXLgi2p2NO,Frequency,The Jesus and Mary Chain,Honey's Dead (Expanded Version),0.266,0.812,7,-6.168,1,0.0526,1e-05,0.841,0.113,0.0816,212.604
6kyxVUBAsIBZT5lSEJahOg,Oklahoma Hills,Jack Guthrie,The Greatest Country Music Recordings Of All Time Vol. 2,0.8,0.329,7,-13.819,0,0.101,0.819,2.83e-06,0.0614,0.843,101.804
3xqdcCI9J1bjO1HaPjRxTi,"North Country Blues - Live at Carnegie Hall, New York, NY - October 1963",Bob Dylan,Bob Dylan Live At Carnegie Hall 1963,0.615,0.0965,10,-15.977,1,0.0551,0.902,0.0,0.691,0.641,139.812
4heMx0OAwfILu13Lf0VbBM,Positively 4th Street - Single Version,Bob Dylan,The Essential Bob Dylan,0.555,0.462,6,-10.789,1,0.0267,0.816,0.0,0.116,0.767,109.584
5GOFil3Umfp4yB75U2Ah4e,Georgia On My Mind,Willie Nelson,Stardust,0.533,0.215,1,-12.854,1,0.0396,0.8,0.0336,0.14,0.106,67.985
1VHlgsaa5RIagloffVGIiH,Power and Glory,Phil Ochs,All The News That's Fit To Sing,0.595,0.321,9,-12.828,0,0.115,0.741,0.0,0.587,0.662,138.107
3E5ndyOfO6vFDEIE42HA8o,Mack the Knife,Bobby Darin,That's All,0.549,0.529,3,-12.291,0,0.108,0.76,0.0,0.206,0.464,82.755
0yQ9vnsC7CyPMwAQ3BlWcJ,When I'm Gone,Phil Ochs,There But For Fortune,0.404,0.093,3,-19.036,1,0.0486,0.95,7.53e-05,0.717,0.244,80.224
6ddW43iu0xvDjFeEVxTgXk,Barbecue Blues,Barbecue Bob,Presenting Barbecue Bob,0.585,0.4,11,-11.197,1,0.0292,0.975,0.000606,0.186,0.637,92.504
42c1llyZbuO4fS9c7P4bjy,Log Cabin Blues (Take 2),Blind Boy Fuller,Blind Boy Fuller Vol. 1 1935 - 1936,0.776,0.286,1,-11.772,1,0.0837,0.954,0.4,0.125,0.825,109.078
1GO6BnAO8t6e35NX64QGN9,Street Rock,Kurtis Blow,Kingdom Blow,0.882,0.607,5,-14.825,0,0.0841,0.041,3.46e-06,0.197,0.546,98.079
6cQQowMXC1Kr3zOASdr1tZ,Take This Hammer,Odetta,Sings Ballads & Blues,0.485,0.463,4,-6.746,1,0.0334,0.427,0.00337,0.217,0.619,116.852
