Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
0OgX5NA7KFx8FCr5W0HYl9,Medicina De Amor,Raulin Rodriguez,Medicina De Amor,0.662,0.461,1,-7.36,1,0.0495,0.315,1.12e-06,0.0445,0.912,142.553
0wypzLrlCWusEmxiqSdyZi,El fin de la infancia,Café Tacvba,Re,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19ScoKGqnfUggyqOVQjsoH,La ingrata,Café Tacvba,Re,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1KhcGUG4W3972WwaOoB0DO,A Mover la Colita,Wilfrido Vargas,El Baile,0.616,0.593,0,-14.058,0,0.1,0.367,1.56e-06,0.0623,0.895,129.215
1PX148jfoix6o4reLZbplc,Ahora Entregate,Adolescent's Orquesta,Ahora Entregate,0.657,0.788,10,-5.215,0,0.0536,0.741,0.000426,0.121,0.814,90.823
2NHHppsOEAr4SUTJzHSmEt,En El Ultimo Trago,José Alfredo Jimenez,Viejos Amigos,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2QesqG94HS8ONoB8yr0vec,Se Te Nota,Joe Veras,Con Mas Amor,0.754,0.459,7,-12.759,0,0.0632,0.166,0.00012,0.0479,0.888,82.068
2UiR72KXilqgAkQ3CvvxWN,Mi Amor Fugaz,Beny Moré,La Historia en Boleros,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2jggaUpOvn2G6Pv2HCEU6m,Esa noche,Café Tacvba,Re,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2rzNxvnXUCAPOgJzeRydik,Mambo De Chattanooga,Pérez Prado,Lo Mejor De Lo Mejor,0.437,0.69,7,-5.857,1,0.0473,0.551,0.762,0.318,0.676,144.496
38MBgJc4k6LXvzvlD2tnEx,Djobi Djoba,Gipsy Kings,Gipsy Kings,0.725,0.952,5,-8.588,1,0.066,0.702,0.00137,0.282,0.823,108.235
3fQLXoRwKQTnThncdMCqwG,Mambo No 5,Pérez Prado,Plays Mucho Mambo... and Other Fantastic Compositions,0.673,0.493,5,-14.83,0,0.34,0.36,0.753,0.0358,0.807,180.624
3kCeW0fmkrLBWCpEGazRMR,El Sonidito,Hechizeros Band,El Sonidito,0.81,0.96,5,-4.971,1,0.0586,0.069,0.24,0.0729,0.893,77.006
4GqF1OeM18jaUiCs56JR5s,Nereyda,Raulin Rodriguez,Regresa Amor,0.727,0.362,9,-13.524,0,0.0496,0.447,0.00186,0.303,0.929,76.528
4Ip4JRLE2b4smz9QaCFOLj,Cuando Los Anos Pasen,José Alfredo Jimenez,El Compositor de México,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
4NfwBgmzmzx8WpyIy9C6p7,Que Vuelva,Raulin Rodriguez,Medicina De Amor,0.772,0.598,0,-7.355,0,0.0414,0.601,0.00712,0.123,0.862,140.92
4ZcjNfK9Df94vbT43Gm8dt,Corazon Culpable,Anthony Santos,Cojelo Ahí,0.709,0.561,4,-7.564,0,0.0451,0.328,2.89e-06,0.016,0.853,79.591
4ihZFukyNotzCUtxI4qpu8,El Rey,José Alfredo Jimenez,El Cantinero,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
5RZ0Y8ae2DuIBPRNjVGkch,Mambo Jambo,Pérez Prado,Mambo No 5,0.653,0.492,5,-17.149,1,0.0531,0.668,0.813,0.19,0.92,121.994
5VBo8z9x2dK1C5TB634LwA,Mambo No.8,Pérez Prado,The King of Mambo,0.485,0.528,5,-13.67,1,0.217,0.153,0.32,0.0398,0.792,168.41
5ujfNrKuC4sS02m6cyIJZh,Dr. Jive - Part 2,"Flora Purim, Orrin Keepnews, Stanley Marvin Clarke, Jim Stern, George Duke, Airto",Butterfly Dreams,0.473,0.881,5,-15.545,0,0.0713,0.25,0.87,0.223,0.572,122.365
62eAoNfrrS84177LOzJMQx,Papa Loves Mambo,Perry Como,Pure Gold,0.674,0.498,0,-10.07,1,0.13,0.512,2.05e-06,0.404,0.747,81.075
6BDI8tJZLePuf70SzCiX42,Como Fue,Beny Moré,Romántico,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6QJ1F9DrlsRSmKDcdVS0Oy,Lloraras,Oscar D'León,Traicionera (Baile Total),0.706,0.751,9,-8.368,1,0.0452,0.517,0.000701,0.0445,0.962,96.998
6SRNmAtELO7WlQKw1u9lLn,Homenaje A Mama,Raulin Rodriguez,Medicina De Amor,0.597,0.933,0,-5.287,1,0.056,0.537,0.000154,0.0636,0.964,83.154
6pc0QdclDhtk6NnMa9LaG8,Ni el Dinero Ni Nadie,José Alfredo Jimenez,El Compositor de México,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6uIIdjYTxxpWOyWuVXrKQO,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934
7cpFmkNmh3MM0WqXPSbs9f,Suavemente,Elvis Crespo,Suavemente,0.811,0.88,8,-2.972,1,0.0628,0.254,0.00146,0.0475,0.915,124.12
7gvrntH4fFWZWKwpPLWjgw,Mambo No. 8,Pérez Prado,Mambo,0.554,0.782,5,-7.462,0,0.106,0.428,0.00454,0.177,0.832,142.486
