Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
2NVaKeIAUZwN5tXnn12EMi,The Breeze,Dr. Dog,Fate,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6MCYY4i1zrRIbVj9YlVUdF,The Underdog,Spoon,Ga Ga Ga Ga Ga (2017 Remaster),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3IgJKBFHp17VR403l5IZ24,Humble Passenger,Dr. Dog,B-Room (Deluxe Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1LhjVcWC48IZmNy34sK4D3,Later,Dr. Dog,"Shame, Shame (Deluxe Edition)",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0ccCwNzXvr1Yoz91vKz31Z,"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,Yoshimi Battles the Pink Robots,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0ScgmigVOJr2mFsAtwFQmz,Fight Test,The Flaming Lips,Yoshimi Battles the Pink Robots,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0V34LU5aBA3hYgq178hFFY,Birds Dont Sing,TV Girl,French Exit,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6qSkeGBnB2mRCREpBOFrAO,There's a Light,Jonathan Wilson,Rare Birds,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1Q7opUCgTpG73ooWhfaEKg,My Old Ways,Dr. Dog,We All Belong,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
210FIe1foJw0To7gfq1OpI,Psycho Star,King Tuff,Psycho Star,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3Bw3v2zZpA1Yo5faG2WYON,5 a.m.,The Millennium,Begin,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
