Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
5h40ovzXu7rF7Giwb9oXYy,Girls,Beastie Boys,Licensed To Ill,0.873,0.808,0,-6.729,0,0.0466,0.777,0.0,0.357,0.933,139.676
5fpizYGbi5IQoEraj6FP0R,Intergalactic - Remastered 2009,Beastie Boys,Hello Nasty (Deluxe Edition/Remastered),0.734,0.864,2,-6.119,1,0.303,0.022,9.85e-06,0.246,0.47,105.932
5NLuC70kZQv8q34QyQa1DP,Fight For Your Right,Beastie Boys,Licensed To Ill,0.503,0.858,8,-6.296,1,0.0657,0.00757,0.00234,0.0803,0.419,133.615
2tY1gxCKslfXLFpFofYmJQ,Brass Monkey,Beastie Boys,Licensed To Ill,0.914,0.586,6,-8.435,0,0.33,0.00203,1.58e-06,0.0992,0.655,116.371
1SAkL1mYNJlaqnBQxVZrRl,Baby Got Back,Sir Mix-A-Lot,Mack Daddy,0.926,0.669,1,-11.271,1,0.301,0.0051,0.0,0.0887,0.642,128.462
0Pu71wxadDlB8fJXfjIjeJ,Shoop,Salt-N-Pepa,Very Necessary,0.939,0.674,0,-7.232,1,0.212,0.091,0.0,0.0565,0.792,96.918
0TT7wJiEYD5GAeJfSR1ETX,Push It,Salt-N-Pepa,"Hot, Cool & Vicious",0.926,0.6,7,-12.485,1,0.0883,0.00684,0.00187,0.0901,0.97,127.247
7sJN693sYKEIEMu7fc5VnJ,Whatta Man,"Salt-N-Pepa, En Vogue",Very Necessary,0.756,0.544,5,-10.721,1,0.219,0.154,6.21e-05,0.225,0.921,173.2
6qspW4YKycviDFjHBOaqUY,Waterfalls,TLC,Crazysexycool,0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804
1KGi9sZVMeszgZOWivFpxs,No Scrubs,TLC,Fanmail,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909
5vaS8HFphziQQ3kcXOA6PD,So What'Cha Want,Beastie Boys,Solid Gold Hits,0.688,0.964,5,-5.037,0,0.305,0.0533,0.000107,0.0519,0.698,171.188
6jBCehpNMkwFVF3dz4nLIW,It's Tricky,Run–D.M.C.,Raising Hell,0.965,0.857,11,-8.458,0,0.17,0.00131,0.0,0.0726,0.951,127.656
3G1lmq2hDoJZlemVcJNFK0,Jump On It,Sir Mix-A-Lot,Return Of The Bumpasaurus,0.908,0.938,2,-5.682,1,0.201,0.0691,0.0,0.799,0.751,113.974
3TZwjdclvWt7iPJUnMpgcs,Jump Around,House Of Pain,House of Pain (Fine Malt Lyrics),0.854,0.71,4,-6.32,0,0.0793,0.0113,8.72e-05,0.166,0.818,106.894
1oTHteQbmJw15rPxPVXUTv,Insane in the Brain,Cypress Hill,Black Sunday,0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304
1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,MC Hammer,Please Hammer Don't Hurt 'Em,0.867,0.517,11,-13.22,0,0.088,0.00449,0.000343,0.0864,0.862,133.149
3XVozq1aeqsJwpXrEZrDJ9,Ice Ice Baby,Vanilla Ice,Vanilla Ice Is Back! - Hip Hop Classics,0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71e-06,0.102,0.583,116.012
3LklW07tvdx2AHsgfi1Mng,I Wish,Skee-Lo,I Wish,0.669,0.809,7,-7.146,1,0.147,0.00137,0.0,0.38,0.572,97.885
6uQKuonTU8VKBz5SHZuQXD,This Is How We Do It,"Montell Jordan, Wino",This Is How We Do It,0.799,0.623,0,-9.374,1,0.0812,0.0141,0.0,0.43,0.773,103.642
1MQCTOWVfy4PcuBXkBsHVB,Just a Friend,Biz Markie,Just a Friend - EP,0.862,0.663,0,-9.004,1,0.21,0.12,0.0,0.318,0.837,85.308
0weAUscowxeqDtpCgtbpgp,Gettin' Jiggy Wit It,Will Smith,Big Willie Style,0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891
7lQWRAjyhTpCWFC0jmclT4,Gangsta's Paradise,"Coolio, L.V.",Gangsta's Paradise,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.387,79.974
6MdqqkQ8sSC0WB4i8PyRuQ,No Diggity,"Blackstreet, Dr. Dre, Queen Pen",Another Level,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634
52IuMfbQa9aqRPz2oYPAI8,Express Yourself,N.W.A.,Straight Outta Compton,0.851,0.583,8,-11.022,0,0.286,0.0506,0.0,0.236,0.956,95.048
5n8Aro6j1bEGIy7Tpo7FV7,Fuck Tha Police,N.W.A.,Straight Outta Compton,0.859,0.75,8,-8.325,0,0.303,0.0193,0.0,0.0538,0.857,98.691
5RGXoZt1qxmAErdhbyKJKq,Boyz-N-The-Hood,Eazy-E,N.W.A. And The Posse,0.785,0.479,3,-10.247,1,0.362,0.0417,3.5e-05,0.334,0.727,87.691
5qxChyzKLEyoPJ5qGrdurN,No Sleep Till Brooklyn,Beastie Boys,Licensed To Ill,0.712,0.691,8,-8.157,1,0.128,0.122,0.0,0.0538,0.742,97.022
77vcYxybStDEHeeWO1SiOm,Sure Shot,Beastie Boys,Solid Gold Hits,0.684,0.851,1,-4.794,1,0.156,0.17,0.0,0.191,0.497,97.897
7cxyMwelZNdTCpkKOTXWMb,Triple Trouble - Remastered 2005,Beastie Boys,Solid Gold Hits,0.946,0.818,2,-5.575,1,0.256,0.255,0.0,0.183,0.89,109.973
7A131DrpfbWAfNJLrxikwf,Top of the Stairs,Skee-Lo,I Wish,0.776,0.712,7,-8.308,1,0.192,0.0272,0.0,0.204,0.501,95.859
0OaunKfsxkgBvPv68jBbmm,It Wasn't Me,"Shaggy, Rik Rok",The Boombastic Collection - Best of Shaggy,0.852,0.605,0,-4.569,1,0.0642,0.0514,0.0,0.327,0.669,94.762
0Puj4YlTm6xNzDDADXHMI9,Sabotage,Beastie Boys,Ill Communication,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131
14Rcq31SafFBHNEwXrtR2B,"Hold On, We're Going Home","Drake, Majid Jordan",Nothing Was The Same (Deluxe),0.776,0.413,6,-7.438,0,0.0952,0.00415,2.68e-05,0.0724,0.287,100.003
503OTo2dSqe7qk76rgsbep,Still D.R.E.,"Dr. Dre, Snoop Dogg",2001,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431
0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill",The Score (Expanded Edition),0.765,0.289,4,-17.125,0,0.147,0.0268,1.77e-06,0.562,0.501,92.413
6m59VvDUi0UQsB2eZ9wVbH,Poison,Bell Biv DeVoe,Poison,0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815
3ia3dJETSOllPsv3LJkE35,California Love - Original Version,"2Pac, Roger, Dr. Dre",Greatest Hits,0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21e-06,0.371,0.761,91.519
27AHAtAirQapVldIm4c9ZX,Jump,Kris Kross,Totally Krossed Out,0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972
3OcQkcvTcohs8vO8Rd3sKF,The Humpty Dance,Digital Underground,Sex Packets,0.813,0.693,10,-8.0,0,0.266,0.0341,0.0,0.121,0.618,103.508
1juyPvt44AbInyFtfYp3NI,U-Mass,Pixies,Wave of Mutilation: Best of Pixies,0.608,0.685,5,-9.938,0,0.0394,0.00101,0.000516,0.758,0.448,106.935
2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,Ice Cube,The Predator,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356
2Ih217RCGAmyQR68Nn7Cqo,You Know How We Do It,Ice Cube,Lethal Injection,0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869
5FvlQZTm4eOGeUiAB1bKc9,No Vaseline,Ice Cube,Death Certificate (25th Anniversary Edition),0.777,0.957,11,-3.201,0,0.319,0.179,0.0,0.296,0.543,105.756
7KwZNVEaqikRSBSpyhXK2j,Hypnotize - 2014 Remaster,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941
2g8HN35AnVGIk7B8yMucww,Big Poppa - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492
4INDiWSKvqSKDEu7mh8HFz,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"The Notorious B.I.G., Mase, Diddy",Life After Death (2014 Remastered Edition),0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536
5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063
3voxsfqnGr9V74jkkzPhXC,O.P.P,Naughty By Nature,Naughty By Nature,0.848,0.838,4,-11.949,0,0.0723,0.0326,4.63e-06,0.124,0.774,97.735
