Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
6PzJKbXZwPEF5BcNWd9c4H,Hour of Parting - stereo,Sun Ra & His Arkestra,Jazz in Silhouette (Expanded Edition),0.261,0.148,0,-12.811,1,0.0326,0.967,0.253,0.218,0.112,64.953
2rVgZETOgFAuW8p8Uoq9as,You Never Told Me That You Care - stereo,Sun Ra & His Arkestra,Jazz in Silhouette (Expanded Edition),0.254,0.294,1,-11.875,1,0.0292,0.881,0.0955,0.419,0.15,144.112
1m65A1pNcJpMAl3hXkf77l,Door of the Cosmos,Sun Ra & His Arkestra,Sleeping Beauty (Expanded Edition),0.59,0.607,10,-9.247,1,0.0906,0.662,0.649,0.11,0.61,115.282
1IMbKfMzGyFK4WxsMy9xRF,Springtime Again,Sun Ra & His Arkestra,Sleeping Beauty (Expanded Edition),0.36,0.431,5,-11.992,1,0.044,0.49,0.405,0.135,0.183,122.631
6YYu8qFzcY1ZyzzsJIQM12,"Straight, No Chaser",Thelonious Monk,"Straight, No Chaser",0.465,0.35,3,-12.977,1,0.0403,0.41,0.279,0.135,0.62,93.336
4vLYewWIvqHfKtJDk8c8tq,"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",Kind Of Blue (Legacy Edition),0.532,0.151,0,-17.266,1,0.0376,0.706,0.00136,0.116,0.211,136.759
0CLbmkYmQIWiEwnsbOkLpd,"A Love Supreme, Pt. I - Acknowledgement",John Coltrane,A Love Supreme,0.37,0.586,5,-13.468,0,0.0581,0.485,1.96e-06,0.348,0.519,121.573
7unF2ARDGldwWxZWCmlwDM,"A Love Supreme, Pt. II - Resolution",John Coltrane,A Love Supreme,0.341,0.57,8,-11.71,1,0.0673,0.581,0.0,0.0966,0.392,89.754
0jHEixPAoSopOP75j2iTX9,"A Love Supreme, Pt. III - Pursuance",John Coltrane,A Love Supreme,0.4,0.616,5,-14.026,0,0.117,0.546,1.47e-05,0.357,0.455,98.06
5FLQmLjjeNIuC8U5mDnXC8,"A Love Supreme, Pt. IV - Psalm",John Coltrane,A Love Supreme,0.381,0.313,7,-11.852,0,0.0312,0.897,0.0432,0.135,0.376,127.106
0tUq1zaYNoV6ZiYRU2bjqf,"On Green Dolphin Street (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",Kind Of Blue (Legacy Edition),0.445,0.304,8,-12.261,1,0.0437,0.742,0.00068,0.175,0.362,76.74
4WyVRn3L2uXnSUkY762gqN,Sly,Herbie Hancock,Head Hunters,0.39,0.913,11,-7.174,0,0.0778,0.0262,0.784,0.0649,0.603,146.129
4HnQuRLBpmGbmnDTBvu54W,"Cherokee - Live at the Bee Hive, Chicago, IL - November 1955","Clifford Brown, Max Roach",Live at the Bee Hive,0.295,0.96,6,-7.635,1,0.293,0.0952,0.0359,0.549,0.237,102.521
3VAkUe1cqGTytxnf0jxUUd,Pink Partido,Tore Morten Andreassen,Fusive Illusions,0.502,0.861,0,-9.29,1,0.0443,0.0129,0.758,0.0543,0.512,125.992
2sfcdBm7F0ccANkXBfMK5K,Daahoud,"Clifford Brown, Max Roach Quintet",Clifford Brown And Max Roach,0.498,0.644,1,-12.071,1,0.0333,0.528,0.0609,0.0352,0.712,120.719
1OthTnfajlDmZDcqgZ9paY,Blowin' the Blues Away,Buddy Rich and His Sextet,Blues Caravan,0.326,0.794,8,-11.47,1,0.0638,0.106,0.0155,0.0641,0.63,157.846
3ven4ZKSspshBwiLMMibEa,Early Summer,Ryo Fukui,シーナリィ,0.348,0.63,2,-10.103,0,0.0541,0.615,0.402,0.159,0.392,85.404
3LS0eOBe0B0wJIxb8pLwTn,King Porter Stomp,King Oliver,Papa Joe,0.704,0.334,5,-9.273,0,0.0564,0.996,0.916,0.18,0.905,97.788
6DF63ZuNh927Gbt85my9CN,Mahogany Hall Stomp,King Oliver,Papa Joe,0.677,0.408,0,-8.742,1,0.0744,0.984,0.883,0.0944,0.863,95.721
2X1TSIrhRQedpsayv0e2Np,Canal Street Blues,King Oliver,Papa Joe,0.656,0.443,5,-9.989,1,0.047,0.936,0.469,0.136,0.893,94.119
6rqrN2bLrxW5ZB7OmWUwQe,Don't You Think I Love You,King Oliver,Papa Joe,0.675,0.541,10,-4.257,1,0.0528,0.947,0.93,0.14,0.951,176.958
0rEP2CDOuvUm4zbhIPZAkK,Gut Bucket Blues,Louis Armstrong & His Hot Five,The Complete Hot Five And Hot Seven Recordings Volume 1,0.573,0.295,5,-10.096,1,0.0525,0.988,0.000139,0.0784,0.678,146.336
3mWcoPBHsrmcs1lj6uBfvz,Georgia Grind,Louis Armstrong & His Hot Five,The Complete Hot Five And Hot Seven Recordings Volume 1,0.73,0.213,8,-14.635,1,0.0554,0.897,0.0,0.152,0.706,140.34
5CLkYMVMOfqW3VWcjKKr1n,Heebie Jeebies,Louis Armstrong & His Hot Five,The Complete Hot Five And Hot Seven Recordings Volume 1,0.671,0.324,8,-10.637,1,0.106,0.983,8.34e-05,0.143,0.57,164.628
4SRyfds1YppKGXPowaNDr7,Laughing In Rhythm,Slim Gaillard And His Peruvians,Groove Juice: The Norman Granz Recordings + More,0.767,0.424,5,-9.621,1,0.0454,0.947,0.234,0.146,0.683,136.301
2D1c80s1UfhDgriG89Fhms,Dreaming,"Cosmic Rays, Sun Ra Arkestra, Sun Ra",Singles,0.545,0.43,3,-9.916,1,0.0325,0.872,0.0,0.154,0.772,121.896
49LHJe8RmY5ViMMQj0aMdb,(What Did I Do To Be So) Black And Blue,Louis Armstrong,This Is Jazz Louis Armstrong Sings,0.414,0.105,0,-14.907,1,0.0549,0.826,0.0119,0.269,0.223,72.332
5PJXdnBEY4d2mZIlserX3c,Sannin de Odoranai,Miki Matsubara,Miki Matsubara Best Collection,0.664,0.601,2,-10.989,1,0.0515,0.482,0.0,0.113,0.454,132.095
0NI42v4l2AxIbgoIrWKiBU,Just A Gigolo / I Ain't Got Nobody - Medley / Remastered 2002,"Louis Prima, Keely Smith, Sam Butera & The Witnesses",The Wildest! (Expanded Edition),0.519,0.638,8,-5.226,1,0.0942,0.683,0.0,0.0561,0.67,124.878
22M3T4C7IegXSrDNqFQ1gU,Sure Gonna Miss Her,"The Mariachi Brass, Chet Baker",Hats Off,0.0,0.502,5,-9.005,1,0.0,0.676,0.248,0.513,0.0,0.0
6FYeRy9LuMYTEMXOVCRCJ5,I Remember You - Remastered 2004,Chet Baker,Chet Baker Sings And Plays (Remastered 2004),0.448,0.281,8,-11.221,1,0.0401,0.935,0.000675,0.162,0.461,187.075
6CeajvxcjyZ46cGbrKwq9n,Souvenir d'Italie,Lelio Luttazzi,Le mie preferite,0.0,0.439,7,-13.484,1,0.0,0.686,0.95,0.307,0.0,0.0
5dlfvkyZOuBCFP1KbzRHUx,Orange Moon,Erykah Badu,Mama's Gun,0.414,0.149,5,-13.976,0,0.037,0.463,0.000273,0.152,0.124,97.638
2Dc4MWMRcM7coMtXKjf7sL,Nuclear War,Sun Ra,A Fireside Chat With Lucifer,0.667,0.478,10,-10.19,1,0.131,0.783,0.0,0.347,0.383,86.38
6VdtTwF9ZW5m9Lct4ep02s,Attica Blues,Archie Shepp,Attica Blues,0.382,0.788,10,-11.059,1,0.11,0.083,0.0,0.131,0.784,89.887
5IT8xiS70Ul7Zq0pKM8I0l,Quiet Dawn,Archie Shepp,Attica Blues,0.349,0.45,7,-14.35,0,0.053,0.833,0.59,0.0981,0.377,129.056
