Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
64DpBZj4IlDFzCwxTq7azl,"Holland, 1945",Neutral Milk Hotel,In the Aeroplane Over the Sea,0.0621,0.887,7,-4.305,1,0.0632,0.0399,0.000156,0.619,0.48,198.441
7xMklu8GE39dYZBWJMxrBU,L.A.,Elliott Smith,Figure 8,0.439,0.793,9,-5.66,1,0.0349,0.0279,7.09e-05,0.0558,0.396,173.898
6mfy4Q8P3fVXMeuD5d19oi,Ballad Of Big Nothing,Elliott Smith,Either/Or,0.655,0.517,0,-10.261,1,0.0302,0.36,0.00629,0.144,0.636,109.242
3Pu3IChaAoa5EjgUBv5F6x,Ballroom Blitz,Sweet,Desolation Boulevard,0.644,0.799,4,-10.856,0,0.0598,0.0821,0.00154,0.055,0.889,108.381
3lILuFinx7CFaYXJ6FWz54,Police On My Back - Remastered,The Clash,Sandinista! (Remastered),0.554,0.855,7,-6.711,1,0.0407,0.000625,5.16e-06,0.327,0.898,146.04
3ReOV0SALd6mcz8SCSZLGV,Well Well Well - Remastered 2010,John Lennon,Plastic Ono Band,0.469,0.689,4,-10.527,1,0.0577,0.0126,0.0924,0.131,0.527,156.18
1Og2Qi5XwYdr0YI6rn79Zb,Everybody's Gotta Live,Love,Reel To Real,0.805,0.281,9,-11.877,0,0.0961,0.607,0.0,0.116,0.281,105.873
4TMIi2pweQzuxG1UDFjGXk,Dont It Get You Down,Deadstar,Milk,0.44,0.88,7,-6.484,1,0.0435,0.0372,7.33e-05,0.23,0.477,124.331
2MLuFz9Y3Vg3PF0Yf93M5c,800 db cloud,"100 gecs, Laura Les, Dylan Brady",1000 gecs,0.399,0.754,5,-5.283,0,0.374,0.205,0.0,0.742,0.36,130.475
45uN41QTl8pitqs8f9FhAp,I've Been Tired,Pixies,Come On Pilgrim,0.603,0.62,7,-12.109,1,0.0315,0.0101,8.04e-05,0.374,0.769,148.305
4IIPo1lJY4IfdGBC0UsnKt,Wanna Mess You Around - B-side,Pavement,Brighten the Corners: Nicene Creedence Ed.,0.399,0.976,11,-4.379,0,0.229,0.0156,0.0,0.308,0.123,115.458
7bJSbd2Upa4iYVHlbRKEJm,Enola Gay,Orchestral Manoeuvres In The Dark,The Best Of Orchestral Manoeuvres In The Dark,0.567,0.555,2,-14.135,0,0.0327,0.00576,0.027,0.0683,0.958,143.093
73XQBWHSVLL1939hb8cQTm,Georgy Girl,The Seekers,The Seekers,0.515,0.496,4,-7.446,1,0.0324,0.265,0.0,0.182,0.651,153.582
1ULovMYbbglXIn9TQzMsKz,King of Carrot Flowers Pts. 2 & 3,Neutral Milk Hotel,In the Aeroplane Over the Sea,0.219,0.827,5,-5.395,1,0.123,0.0477,0.0,0.135,0.121,131.7
2WcPqaYMXCIuGHasY3TWrv,Totally Wired,The Fall,Grotesque (After the Gramme) [Expanded Edition],0.427,0.867,7,-7.182,1,0.219,0.000119,0.489,0.0822,0.763,167.299
