Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
6DF63ZuNh927Gbt85my9CN,Mahogany Hall Stomp,King Oliver,Papa Joe,0.677,0.408,0,-8.742,1,0.0744,0.984,0.883,0.0944,0.863,95.721
2X1TSIrhRQedpsayv0e2Np,Canal Street Blues,King Oliver,Papa Joe,0.656,0.443,5,-9.989,1,0.047,0.936,0.469,0.136,0.893,94.119
6rqrN2bLrxW5ZB7OmWUwQe,Don't You Think I Love You,King Oliver,Papa Joe,0.675,0.541,10,-4.257,1,0.0528,0.947,0.93,0.14,0.951,176.958
3mWcoPBHsrmcs1lj6uBfvz,Georgia Grind,Louis Armstrong & His Hot Five,The Complete Hot Five And Hot Seven Recordings Volume 1,0.73,0.213,8,-14.635,1,0.0554,0.897,0.0,0.152,0.706,140.34
7aFcRO7E77cIQhZAqtnIet,I've Got A Heart Full Of Rhythm,Louis Armstrong,The Decca Singles 1935-1946,0.57,0.424,7,-6.296,0,0.0471,0.939,0.299,0.074,0.841,176.621
7Gr4VaB5iIN8gzu3pKHwel,After You've Gone (vocal),Louis Armstrong,Vol. V: Louis In New York,0.736,0.26,9,-13.202,0,0.166,0.981,0.0542,0.146,0.459,96.611
495frOi0oyFWB6WE5Nwen2,Showboat Shuffle,Duke Ellington,The Duke: The Columbia Years (1927-1962),0.715,0.706,0,-8.607,1,0.374,0.92,0.777,0.779,0.882,104.746
63kd4m3VFxcJjPVVtbVNAu,"Hello, Dolly!",Louis Armstrong,"Hello, Dolly! (Remastered)",0.0,0.405,0,-9.935,1,0.0,0.842,0.00114,0.198,0.0,0.0
4Oykg2FfhKRkDyrKaBc9Gu,Battery Bounce,Art Tatum,Art's Way of Piano,0.501,0.27,5,-14.238,1,0.0939,0.982,0.904,0.234,0.873,213.628
21G5Ka1AqNd199GvAEnyPX,East St. Louis Toodle-Oo,Steely Dan,Pretzel Logic,0.637,0.318,0,-12.272,0,0.0383,0.909,0.43,0.123,0.595,153.647
6GqI1hKw1380bir7XBvTZ5,The Calypso Way,Wilmoth Houdini,The Calypso Way,0.656,0.608,0,-9.334,1,0.0567,0.984,0.00078,0.15,0.869,136.934
6Dc1xg0fXNY36eQ3DUIXyQ,Stop Coming and Come,Wilmoth Houdini,The Calypso Way,0.735,0.284,5,-13.056,1,0.064,0.982,0.0498,0.106,0.961,88.283
6jS5q1bqJSa8vmRubSPJ9v,Glorious Centenary,Wilmoth Houdini,The Calypso Way,0.628,0.338,2,-11.789,1,0.131,0.987,0.000411,0.0644,0.89,103.958
1vaPEEls3vcI3IcFtRoHkc,Bandsman Shooting Case,Wilmoth Houdini,The Calypso Way,0.63,0.478,6,-11.773,0,0.154,0.994,0.0109,0.121,0.858,103.815
0IHFglyHKyEDgbiufcNhmi,War Declaration,Wilmoth Houdini,The Calypso Way,0.602,0.546,2,-7.502,0,0.165,0.987,0.000934,0.33,0.936,102.896
1yKL15Ahp2TD4SN0n2Jfhf,Poor but Ambitious,Wilmoth Houdini,The Calypso Way,0.598,0.368,2,-14.767,1,0.0902,0.965,0.0,0.0396,0.965,165.804
2Ud4ur2SnjfQ7fE5RMU8vi,"Rum and Coca-Cola, Pt. 1",Wilmoth Houdini,The Calypso Way,0.64,0.294,11,-12.828,1,0.0464,0.976,0.00143,0.421,0.676,146.133
54KdnduEWo7AhHjw8vz8JE,"Rum and Coca-Cola, Pt. 2",Wilmoth Houdini,The Calypso Way,0.661,0.26,11,-13.268,1,0.039,0.986,0.00252,0.162,0.764,145.78
6ksv3rnq44sVUe3RKTXHR0,Bobby Sox Idol (Frank Sinatra),Wilmoth Houdini,The Calypso Way,0.723,0.417,0,-10.9,0,0.0854,0.577,0.0,0.414,0.946,82.249
1vCfETuE8rQ5FMd8XXXYyB,Queen of the Amazon,Wilmoth Houdini,The Calypso Way,0.684,0.41,10,-9.542,0,0.093,0.768,0.0,0.0844,0.925,91.031
4AE032Y0x1WPOi5CsmggnU,Maple Leaf Rag,"Scott Joplin, Alexander Peskanov","Joplin: Piano Rags, Vol. 1",0.406,0.226,8,-22.866,1,0.0477,0.991,0.882,0.245,0.937,116.267
0bKewqEAZeQkFqWd3XW3CK,The Ragtime Dance,"Scott Joplin, Joshua Rifkin",Scott Joplin Piano Rags,0.46,0.137,3,-26.688,1,0.046,0.98,0.919,0.156,0.485,92.139
0fkAuAYfIGalY8Cx1OL7uZ,12th Street Rag,Pee Wee Hunt,Jazz Collection,0.66,0.55,10,-10.395,1,0.055,0.654,0.852,0.143,0.905,105.629
7MVfPm6vfuyLJ0Yzvz2CJl,When I Get Low I Get High,"Ella Fitzgerald, Chick Webb",The Early Years - Part 1 (1935-1938),0.608,0.356,2,-11.422,0,0.468,0.852,0.00231,0.0737,0.748,199.399
7vFAgXW6On2kjvcirKHKfz,"In the Year 2,000!!!",Lucia Pamela,Into Outer Space with Lucia Pamela,0.597,0.473,0,-13.916,1,0.116,0.966,7.79e-06,0.438,0.815,107.877
6WxcOtGXQ6tWgTbpX6pVKS,Walking on the Moon,Lucia Pamela,Into Outer Space with Lucia Pamela,0.426,0.834,5,-8.749,0,0.148,0.929,7.43e-05,0.364,0.572,171.705
