Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
00SmB7n85SKROGjybsyq5i,Bongo Bong,Manu Chao,Clandestino,0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.807
02TQFXm2cV6uwOr2OmlYBC,Into Yesterday,Sugar Ray,Surf's Up Music From The Motion Picture,0.666,0.788,11,-6.821,1,0.0335,0.131,0.000145,0.15,0.922,91.018
04uR2cdkgiaLIzebPcs25m,Two Weeks,Grizzly Bear,Veckatimest,0.526,0.723,5,-5.59,1,0.0294,0.3,0.00698,0.058,0.744,159.685
07gLSfLyr23jSKaUpRgR1B,Here I Go Again,"Rihanna, J-Status",Music Of The Sun,0.681,0.613,5,-5.939,0,0.0727,0.000328,0.002,0.12,0.64,83.467
09Ka4Lk4Ie27HqhXaf8Wz4,Pilot,Couch Dog,How To Ruin Your Life Fast,0.367,0.656,4,-6.502,1,0.0321,0.389,0.00544,0.107,0.431,134.835
0AqfCqze5IX4jPYdLrl0Pe,Escape (The Pina Colada Song),Jack Johnson,The Secret Life Of Walter Mitty (Music From And Inspired By The Motion Picture),0.894,0.466,9,-7.794,1,0.061,0.226,0.0,0.943,0.797,135.254
0NIh5j1CfLpDHvoOCaUnaU,Blow Spring Breeze,Kim Jung Mi,Now,0.66,0.304,0,-15.532,1,0.044,0.342,0.573,0.108,0.961,122.429
0NslHuacjxQYfUTOW3HCIV,New Slang - 2021 Remaster,The Shins,"Oh, Inverted World (20th Anniversary Remaster)",0.67,0.403,0,-10.623,1,0.031,0.753,0.0903,0.0858,0.622,129.984
0PKmDncVOiNQLO6D1P6PXi,I Won't Say (I'm In Love),"Susan Egan, Cheryl Freeman, LaChanze, Vaneese Thomas, Lillias White, Disney",Hercules (Original Motion Picture Soundtrack),0.684,0.481,0,-10.305,1,0.039,0.228,0.0,0.157,0.481,121.21
0RjG5JmdOWXAR68dGlKBA5,Hidden In the Sand,Tally Hall,Marvin's Marvelous Mechanical Museum,0.547,0.287,6,-12.28,1,0.149,0.514,0.774,0.119,0.177,120.792
0SMM9gTpeJqaOE9iUwH3F8,Ride Into the Sun,Lou Reed,Lou Reed,0.33,0.855,2,-7.194,1,0.0447,0.344,0.184,0.0808,0.961,177.901
0aJrYfARfCKzv6gXjhs4SZ,Upside Down,Jack Johnson,Upside Down,0.792,0.647,4,-8.314,1,0.045,0.255,0.000223,0.132,0.694,102.477
0cTmZAWgUFAPQXj2ZNgU8T,Another Day in Paradise,Quinn XCII,Change of Scenery,0.653,0.802,11,-5.308,1,0.0666,0.161,0.0,0.143,0.56,167.952
0nys6GusuHnjSYLW0PYYb7,Chaise Longue,Wet Leg,Wet Leg,0.684,0.749,7,-6.565,1,0.06,0.00135,0.111,0.141,0.935,160.021
0oc7YoWV783fGr2GbdcIrz,Vacation,The Go-Go's,Vacation,0.5,0.823,4,-8.64,1,0.0264,0.0875,0.0,0.316,0.88,156.79
0q21FNwES2bbtcduB6kjEU,Dancing in the Moonlight,King Harvest,Dancing in the Moonlight,0.657,0.435,10,-15.707,1,0.0552,0.739,0.0,0.167,0.771,135.975
12BB5t506Of3s3NPBoKScC,Stay,"Maurice Williams, The Zodiacs",Presenting Maurice Williams,0.485,0.755,8,-6.839,0,0.0705,0.826,0.0,0.329,0.816,123.495
16EKGMPGE3f6X3p18CjtkB,The Thing,Pixies,Velouria,0.73,0.54,0,-9.046,0,0.045,0.362,0.00334,0.0419,0.977,109.76
19Ym5Sg0YyOCa6ao21bdoG,Gypsy,Fleetwood Mac,Greatest Hits,0.622,0.54,5,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879
1CZR9j4cF4r2uuCpiMdsX5,Fire In The Hole,Steely Dan,Can't Buy A Thrill,0.557,0.306,3,-20.013,1,0.0339,0.585,0.000377,0.054,0.474,73.143
1GLmaPfulP0BrfijohQpN5,Don't Worry Baby - Remastered 2001,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",0.486,0.465,4,-9.821,1,0.03,0.0666,0.00491,0.105,0.851,121.243
1MHqHrJMC3KaTqsm8cWaa9,Me and the Boys,NRBQ,High Noon: Highlights & Rarities From 50 Years,0.4,0.898,9,-9.083,1,0.0982,0.00377,1.12e-05,0.109,0.459,155.403
1Tr4K5MU5XYE44umXGDndd,Once in a Lifetime,Talking Heads,Remain in Light,0.646,0.88,2,-7.753,1,0.0637,0.0623,0.157,0.355,0.802,116.916
1Vi8bCaz8AqucqF88ffnqI,The Mollusk,Ween,The Mollusk,0.638,0.587,7,-9.457,1,0.0303,0.507,0.0701,0.0938,0.781,111.829
1YwPNemawMgGe6sF4U0FTE,Suavemente,Elvis Crespo,Suavemente...Los Exitos,0.809,0.883,8,-2.965,1,0.0689,0.238,0.00234,0.0625,0.918,124.096
1ZAYsScO4yNVYPD07TSpXN,Jamaica Farewell,Harry Belafonte,The Essential Harry Belafonte,0.598,0.195,2,-16.053,1,0.0925,0.951,0.0,0.101,0.745,145.178
1bCmvezFg5MRcENzCGG1Cy,Chelsea Dagger,The Fratellis,Costello Music,0.511,0.815,7,-3.14,1,0.144,0.0491,0.0,0.0826,0.586,154.514
1dvOwoHwZB9SwvRw2Gv3nz,To Binge (feat. Little Dragon),"Gorillaz, Little Dragon",Plastic Beach,0.576,0.511,2,-7.006,1,0.0315,0.58,3.89e-05,0.261,0.957,206.473
1ixbwbeBi5ufN4noUKmW5a,Paper Planes,M.I.A.,Kala,0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253
1wYLsHZTwVTfHs4JgqkUCe,Pacific Coast Highway (with Trevor Hall),"The Hip Abduction, Trevor Hall",A Seafarer and the Infinite Dream,0.626,0.755,1,-8.462,0,0.0432,0.118,0.277,0.0921,0.651,150.027
25U7raB3ZSszayTYClh4hF,Somewhere Over The Rainbow_What A Wonderful World,Israel Kamakawiwo'ole,Facing Future,0.663,0.168,0,-13.725,1,0.0448,0.928,5.68e-05,0.361,0.678,85.005
260Ub1Yuj4CobdISTOBvM9,Wet Dream,Wet Leg,Wet Leg,0.721,0.701,2,-5.941,1,0.0306,0.000927,0.026,0.234,0.892,130.091
26JkaeeVVIPLquHEsf7YJd,Summertime Clothes,Animal Collective,Merriweather Post Pavilion,0.491,0.871,4,-5.564,1,0.0969,0.00164,0.0,0.361,0.322,135.996
2B664ulJSVBd6B8SAY3Wux,Oysters In My Pocket,Royel Otis,Oysters In My Pocket,0.598,0.924,6,-4.974,0,0.0623,0.0205,0.799,0.17,0.611,168.017
