Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
18JosZY3HzD3lMy6iOOSAY,Superstar,USHER,Confessions (Expanded Edition),0.673,0.592,6,-5.196,0,0.0537,0.127,0.0,0.336,0.705,142.222
1bPbiotvwSAYHG3ycVC2CV,Throwback (feat. Jadakiss),"USHER, Jadakiss",Confessions (Expanded Edition),0.655,0.751,2,-5.451,1,0.129,0.000542,0.0,0.136,0.319,84.488
22DHmfJa31hKpc2Lg0gVBV,Mad (feat. Lil Wayne),"Solange, Lil Wayne",A Seat at the Table,0.827,0.477,0,-5.025,1,0.254,0.101,4.15e-05,0.0908,0.599,119.807
2qVqxcTXGugY41u8Sr8xfp,Seduction,USHER,Confessions (Expanded Edition),0.797,0.538,8,-6.006,1,0.0608,0.0541,7.79e-06,0.0899,0.5,128.068
3u8BTavdqT8zZVt5qFDZQo,Interlude: No Limits,Solange,A Seat at the Table,0.483,0.376,6,-13.222,1,0.322,0.944,0.0579,0.121,0.887,95.643
5lMugQF80AuN6uukFJLT58,Junie,Solange,A Seat at the Table,0.826,0.724,10,-4.058,1,0.0846,0.206,0.0608,0.144,0.652,100.003
688iitLNSV6Iik1QESqvth,Rise,Solange,A Seat at the Table,0.507,0.418,1,-8.659,0,0.167,0.651,7.36e-06,0.126,0.24,84.902
68vgtRHr7iZHpzGpon6Jlo,My Boo,"USHER, Alicia Keys",Confessions (Expanded Edition),0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412
6pRo1ryP9N8aFCe1YpWQLj,Borderline (An Ode to Self Care) (feat. Q-Tip),"Solange, Q-Tip",A Seat at the Table,0.69,0.577,0,-9.497,1,0.0448,0.152,0.0016,0.121,0.472,92.985
741OE401HO7ZCaPhEqCZ7w,This Woman's Work - 2021 Remaster,Maxwell,Now,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
