Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
02C5knfgnWYvGedro71UIm,Roller Skates,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
06EoBPsJ5F3xVkTlDGrrPN,Not King James Version,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0FyHNCvSDKV3ZJ9iqSyWNj,We And Dem,Bob Marley & The Wailers,Uprising,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0kQmQMXXelVgt1phGNAtug,Dub Marcus Say,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1CAEHafiiJKjp6t9hfYX7f,Forever Loving Jah,Bob Marley & The Wailers,Uprising,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1He5SVrXc9r2rC4lyyWcO1,Work,Bob Marley & The Wailers,Uprising,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1NYesUSnKjhba87lMyftWh,Rock Steady,Alton Ellis,First Class Rock Steady,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1pWy7HdCGYXjaGYwrPcD7I,Steppin' Out,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2Uqayp7267V5SJYOf7fLmV,Zion Train,Bob Marley & The Wailers,Uprising,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2ZOWVcji0IUFv1VygHxlNO,Chant a Psalm,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2Zw5FtdFtvKWg4h44GOv3R,Bad Card,Bob Marley & The Wailers,Uprising,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2tcuauvBQMH3a4B2Jug5sm,What Does It Take (To Win Your Love),Alton Ellis,Be True to Yourself: The Godfather of Lover's Rock (Anthology 1965-1973),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
49slT7gVW0zj1KIG8w6DoL,A Message to You Rudy - 2015 Remaster,The Specials,The Specials (Deluxe Version),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4UDVCaxhh4czyYQudPiAce,Stop Them Jah,"King Tubby, Augustus Pablo",King Tubbys Meets Rockers Uptown,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4VK6BFsd38Gl9jDuLdPMZw,Your House,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4kyH9DbaJRNOSt8fxVLW0K,Working On A Groovy Thing,Alton Ellis,"The Pama Years: Alton Ellis, The Godfather of Rocksteady",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5I0sT0IPNqqaUWccmV20fI,Ravers,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5JqCmd41S3PZ2AS6GuHqcR,Pimper's Paradise,Bob Marley & The Wailers,Uprising,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5S5xTT8EzkW4K5PFagf4ko,Earth Crisis,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5SamB3c4eezfqLNmGb5KMx,Blues Dance Raid,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6PbtTwGUPPbnT7nRTA1gS3,Your House,Steel Pulse,True Democracy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6d4B82vt7pjdzumBmV6HiZ,Real Situation,Bob Marley & The Wailers,Uprising,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6lmLUNd7mcyYqKcg6EIAOu,Coming In From The Cold,Bob Marley & The Wailers,Uprising,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6ylXXB6zqjkHsfXu8Ia2VG,Redemption Song - Band Version _ Bonus Track,Bob Marley & The Wailers,Uprising,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
79SsdKQnzDxQqGfUvJFGkw,Bodyguard,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7BbtRa0bl7etBoLFjngb3v,Worth His Weight in Gold,Steel Pulse,Smash Hits,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7DgZYq7SeYy3663dx8bRaI,So Jah Sey Dub,The Aggrovators,Kaya Dub,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7qdciZfPABDbU7CYcN2vsN,North Circular Dub (No No No Rhyhtm),King Tubby,North Circular Dub (No No No Rhythm),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
