Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
06VjV9GptlMcUSrt1wi2Br,My Happiness,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
06r30bE8T4VXXN7hI9o93L,Ain't Got No Home,"Clarence ""Frogman"" Henry","Ain't Got No Home: The Best Of Clarence ""Frogman"" Henry (Reissue)",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0K9Xk9AKGtvjXn063Ok6Eg,Riot In Cell Block Number Nine,Wanda Jackson,The Capitol Singles 1959-1961,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0QMFMQF3HoSk5WvMyx8aMT,Money (That's What I Want) - Single Version _ Mono,Barrett Strong,20th Century Masters: The Millennium Collection: Best Of Barrett Strong,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0bUmxjsXgSuooDRu8CaGDp,Blue Moon - Take 9_M,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0hcIJdHm8QWr0wHLmOaT5c,Can't Believe You Wanna Leave,Little Richard,Here's Little Richard (Deluxe Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0lkeTONXGFkK4AbVqSkslb,"Baby, Let's Play House",Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0pNr14hl5XhgfadGaLG5xe,Good Rockin' Tonight,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0qWGLMQwo57IabwNksvwGa,Rocket 88 - Single Version,Jackie Brenston & His Delta Cats,Chess Pieces: The Very Best Of Chess Records,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0st5KadoipH6RYY6uktR5g,Mystery Train,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0wNnwLgq5N9lWYib8eUnu6,Boppin' The Blues,Carl Perkins,The Dance Album,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13iOuXq0mLMIMI1JPH8WsC,Tomorrow Night,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1CA8QAoFwnbwRRNakAB9bn,Sixty Minute Man,"Clyde McPhatter, Billy Ward & The Dominoes, Billy Ward",Clyde McPhatter with Billy Ward and His Dominoes,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1IB5rAeeCS8AS2BZqUPLpM,Don't Come Back Knockin' - Undubbed Version,Buddy Holly,Down The Line: Rarities,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1Kp0O70KDERT9EeAULd1no,I'll Never Let You Go (Little Darlin'),Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1jppGvtOCks7JA6MMqzGaB,Mixed-Up Confusion - Single Version,Bob Dylan,Side Tracks,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22OIyWXR8Y7HC0FkdlaoE4,Just Because,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
242E7zj2wWWegVlurGpaVz,Rip It Up,Elvis Presley,Elvis,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2B4IYgIkBnemrp0YEkaUIH,Let's Have A Party,Wanda Jackson,Wanda Jackson,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2T8TBjRFWnOr3LWKXiGeu4,Send Me Some Lovin',Little Richard,Little Richard: The Georgia Peach,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2Ug05h8QiVOvCCG2EDfMun,When My Blue Moon Turns to Gold Again,Elvis Presley,Elvis,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2g7LUitXlS3jlTqdydMPbR,I Guess I Was Just A Fool - Undubbed Version,Buddy Holly,Down The Line: Rarities,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2iXcvnD3d1gfLBum0cE5Eg,Tutti Frutti,Little Richard,Here's Little Richard (Deluxe Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2jKtWwX7LftnbCwR8WbpyS,Blue Moon of Kentucky,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2ln208PECwwBdQoUCtgytD,Harbor Lights,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2o1FN00PSl8J3lGVqeBggH,I Don't Care If the Sun Don't Shine,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3EyvLmKst3E6osm8ly5v5A,Long Tall Sally,Wanda Jackson,Wanda Jackson,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3TXXtmutDBoMEMOaSo6D3a,"Mean, Mean Man",Wanda Jackson,The Capitol Singles 1959-1961,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3YROTILzpPbedQXDgeU9mb,Sinner's Prayer,Ray Charles,"Ray Charles (aka: Hallelujah, I Love Her So)",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3dXDQOHTCAYeBg4jqGVJm3,Money Honey - Japan 2012 Remaster,"Clyde McPhatter, The Drifters",Atlantic Rock & Roll,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3fy76k7I8YMUOR7bn7EcM5,Speedoo (Alternative Take),The Cadillacs,The Fabulous Cadillacs,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3idqWaBn3mRdsIodCU6uBi,Roll Over Beethoven - Remastered 2009,The Beatles,With The Beatles (Remastered),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3m13RHomlb7xk5DffFeh4r,(You're so Square) Baby I Don't Care,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
48al0wZBGItngZQZED80WO,Come Back Baby,Ray Charles,"Ray Charles (aka: Hallelujah, I Love Her So)",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4I2D0Vxhdbv18uUCurfeUd,Drinkin' Wine Spo-Dee-O-Dee,Sticks McGhee & His Buddies,Drinkin' Wine Spo-De-O-Dee,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4T2MKUHuthmXbOzZbPoNIv,I Love You Because,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4VDPfghlVxczF6n6w9QICJ,That Makes It Tough,Buddy Holly,Down The Line: Rarities,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4Z1I0BogaYeHRxUUzRMtDm,"I'm Left, You're Right, She's Gone",Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4mweH8Ya5cJBXA5q1JUdzp,Without Love (There Is Nothing) - Japan 2012 Remaster,Clyde McPhatter,Atlantic Rock & Roll,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
50uNkynPJVEsBYh3xJopra,You're a Heartbreaker,Elvis Presley,The King of Rock 'n' Roll: The Complete 50's Masters,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
55yfZaURv6pjKmf2ud9WSF,Down The Line - Undubbed Version,"Buddy Holly, Bob Montgomery",Down The Line: Rarities,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
57xnHICRgvsCs2Ss6TmXWM,"True, Fine Mama",Little Richard,Here's Little Richard (Deluxe Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5ERtBxp7LS99coCz3Ilfg0,Superlover - Live At Soledad Prison_1972,John Lee Hooker,Live At Soledad Prison,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5GZKrlylsU8zoILY2aiDJz,Fujiyama Mama - Remastered,Wanda Jackson,Rockin' With Wanda,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5NFb4kLCowduMSq91XC7dl,Mystery Train,Junior Parker,The Legendary Sun Classics Vol. 3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
