Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
005lwxGU1tms6HGELIcUv9,I Kissed A Girl,Katy Perry,One Of The Boys,0.702,0.76,5,-3.174,1,0.0684,0.00226,0.0,0.132,0.696,129.996
04KTF78FFg8sOHC1BADqbY,Hot In Herre,Nelly,Nellyville,0.956,0.741,11,-4.753,0,0.124,0.204,0.0,0.0615,0.911,107.075
0AKAxdNkwq9ZxRdW1DN9zW,Behind These Hazel Eyes,Kelly Clarkson,Breakaway,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0BRHnOFm6sjxN1i9LJrUDu,The Anthem,Good Charlotte,The Young and The Hopeless,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751
0DBTrH6kBbF8CzNVcu5MQR,Pong Dance,Vigiland,Pong Dance,0.827,0.714,2,-7.751,1,0.0554,0.00643,4.52e-06,0.0783,0.122,128.03
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,Stankonia,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948
0IW0qaeyxL5Et4UG2MrJKB,We Don't Care,Kanye West,The College Dropout,0.595,0.754,11,-5.827,0,0.181,0.0142,0.0,0.247,0.647,83.155
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04
0KQh7AuuZvpTKWhcJa8Pbr,Funkytown,Lipps Inc.,Casablanca Records Greatest Hits,0.895,0.453,0,-13.987,1,0.0757,0.00196,0.369,0.0982,0.257,122.151
0LHItNoPqjxWcbvQzw9NIv,Saturday Night's Alright (For Fighting) - Remastered 2014,Elton John,Goodbye Yellow Brick Road (Remastered / Deluxe Edition),0.513,0.979,0,-6.362,1,0.0425,0.0195,0.0951,0.0906,0.94,152.875
0LmTJN6QFKQ0APV8CV1ebB,Not Too Soon,Throwing Muses,The Real Ramona,0.447,0.915,4,-12.464,1,0.0367,0.00404,0.848,0.17,0.906,154.121
0MuZbj977Ud5aqmJXaBgf2,Ai wa Energy,Miki Matsubara,Miki Matsubara Best Collection,0.767,0.622,7,-8.182,1,0.0607,0.44,0.0,0.0369,0.763,110.924
0OaunKfsxkgBvPv68jBbmm,It Wasn't Me,"Shaggy, Rik Rok",The Boombastic Collection - Best of Shaggy,0.852,0.605,0,-4.569,1,0.0642,0.0514,0.0,0.327,0.669,94.762
0PT7nlpo11hYYyfnBgtilT,Nasty Freestyle,T-Wayne,Nasty Freestyle,0.779,0.472,11,-7.116,1,0.218,0.0577,0.0,0.114,0.412,135.051
0Pu71wxadDlB8fJXfjIjeJ,Shoop,Salt-N-Pepa,Very Necessary,0.939,0.674,0,-7.232,1,0.212,0.091,0.0,0.0565,0.792,96.918
0RzhMHIsFMbOGh0oWDvNNK,Waterloo,ABBA,Waterloo,0.441,0.926,2,-4.736,1,0.046,0.423,3.38e-06,0.235,0.779,147.564
0SYRVn2YF7HBscQEmlkpTI,Roxanne - Remastered 2003,The Police,Outlandos D'Amour,0.608,0.746,0,-8.851,1,0.354,0.026,2.39e-06,0.043,0.745,134.03
0X1sqQ652p1sceKM2nJlIJ,Runaway,Bon Jovi,Bon Jovi,0.475,0.899,9,-4.321,0,0.0637,0.00375,1.91e-05,0.14,0.603,152.445
0ZQ6ckgerHYM5mOUxTl99Q,Downtown,Petula Clark,The Ultimate Petula Clark,0.48,0.689,4,-7.921,1,0.0645,0.78,0.0,0.149,0.596,117.409
0a4agFmqHXxcZl1nho1BxM,Heart Of Glass - Special Mix,Blondie,Best Of Blondie,0.694,0.577,4,-14.63,1,0.0309,0.015,0.00859,0.0853,0.846,114.477
0cfqYhY6B8PbGF9vaVNUeG,Hits from the Bong,Cypress Hill,Black Sunday,0.803,0.578,1,-13.264,1,0.182,0.0103,0.812,0.199,0.499,92.175
0iA3xXSkSCiJywKyo1UKjQ,Louie Louie,The Kingsmen,The Best of The Kingsmen,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394
0jWgAnTrNZmOGmqgvHhZEm,What's Up_,4 Non Blondes,"Bigger, Better, Faster, More !",0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.358
0mwbc2AqVHIziVGg3syEI9,Calabria 2008 (feat. Natasja),"Enur, Natasja",Raggatronic,0.888,0.666,10,-5.547,0,0.163,0.0077,0.00156,0.0555,0.464,125.993
0q21FNwES2bbtcduB6kjEU,Dancing in the Moonlight,King Harvest,Dancing in the Moonlight,0.657,0.435,10,-15.707,1,0.0552,0.739,0.0,0.167,0.771,135.975
0qRR9d89hIS0MHRkQ0ejxX,Rich Girl,Daryl Hall & John Oates,Bigger Than Both Of Us,0.573,0.683,5,-6.644,1,0.176,0.461,0.0,0.0935,0.817,169.519
0s1aSsYlLIEiy16LjFWbdp,Dirty Work,Steely Dan,Can't Buy A Thrill,0.631,0.354,1,-11.112,1,0.0313,0.795,0.000107,0.0879,0.522,73.007
0u5aO1GYsIhAWCPuXdwnak,Today - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),0.456,0.826,8,-7.611,1,0.0268,3.35e-05,0.57,0.0548,0.415,82.539
0weAUscowxeqDtpCgtbpgp,Gettin' Jiggy Wit It,Will Smith,Big Willie Style,0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891
0xxZY5C9xxij3D1HkzbnfC,Monster Mash,"Bobby ""Boris"" Pickett, The Crypt-Kickers",The Original Monster Mash,0.541,0.504,11,-14.191,0,0.457,0.375,0.0,0.421,0.707,68.482
0zLClc0emc6qUeV1p5nc99,No More Parties In LA,Kanye West,The Life Of Pablo,0.508,0.921,5,-1.644,1,0.303,0.246,0.0,0.221,0.681,93.058
124NFj84ppZ5pAxTuVQYCQ,Take Care,"Drake, Rihanna",Take Care (Deluxe),0.629,0.515,0,-10.358,0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845
19a3JfW8BQwqHWUMbcqSx8,Famous,Kanye West,The Life Of Pablo,0.465,0.735,6,-3.715,1,0.117,0.0711,0.0,0.0975,0.409,173.935
19gEmPjfqSZT0ulDRfjl0m,Hot N*gga,Bobby Shmurda,Hot N*gga,0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879
1A0qujmKUMJ41ucTlKuclQ,Smiley But I'm Not Friendly,Smiley,The Smile Gets Wild,0.845,0.585,11,-13.171,0,0.338,0.0118,0.000394,0.372,0.517,133.189
1ABegtCPBMMJaMpfDyATjE,Birthday - Remastered 2009,The Beatles,The Beatles (Remastered),0.541,0.727,2,-7.509,1,0.0384,7.37e-05,0.717,0.232,0.91,139.239
1BWsOxeMx83OrKGCV4gxly,I Feel the Earth Move,Carole King,Tapestry,0.711,0.576,7,-8.784,0,0.0305,0.648,0.00226,0.0528,0.644,120.117
1D066zixBwqFYqBhKgdPzp,Fergalicious,"Fergie, will.i.am",The Dutchess,0.906,0.583,8,-7.721,0,0.317,0.0569,0.0,0.126,0.829,129.056
1I7zHEdDx8Ny5RxzYPqsU2,Reelin' In The Years,Steely Dan,Can't Buy A Thrill,0.523,0.758,2,-9.81,1,0.0403,0.133,0.0,0.0952,0.766,135.437
1IxDBsZdVMhfkLqrZjARpk,Fernando,ABBA,Arrival,0.353,0.526,9,-8.868,1,0.0299,0.583,2.17e-06,0.0762,0.467,110.517
1KGi9sZVMeszgZOWivFpxs,No Scrubs,TLC,Fanmail,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909
1KdwPeY1WRWQGHCmRJTveb,Cannonball,The Breeders,Last Splash,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499
1LzvuqP3L5Q7G61kUBgfCJ,VYZEE,SOPHIE,VYZEE,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1NGLHDwIwoQ3YMDItLWdLP,Foggy Mountain Breakdown - 2001 Earl Scruggs & Friends Version,"Earl Scruggs, Glenn Duncan, Randy Scruggs",Earl Scruggs And Friends,0.464,0.883,7,-7.451,1,0.0347,0.0428,0.885,0.21,0.87,160.015
1OOtq8tRnDM8kG2gqUPjAj,Beat It,Michael Jackson,Thriller 25 Super Deluxe Edition,0.776,0.867,3,-3.704,0,0.0479,0.0495,7.92e-06,0.197,0.918,138.827
