Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
1DfWmv1eJU1a9tuGpqKGFP,Gypsy Eyes,Jimi Hendrix,Electric Ladyland,0.599,0.622,6,-7.019,1,0.128,0.222,0.0,0.536,0.907,117.574
2LZ2CNbcbJrwh53pitRgom,Silver Soul,Beach House,Teen Dream,0.356,0.67,2,-5.825,1,0.0324,0.467,0.000106,0.288,0.117,135.032
43ile6cBzr9uaC4bJf6J3N,Water No Get Enemy - Edit,Fela Kuti,Best of The Black President,0.641,0.924,10,-7.697,0,0.0578,0.107,0.0269,0.0982,0.891,90.858
11GDQVqIEKAB4QKOcIVOvG,Zombie,"Fela Kuti, Afrika 70",Zombie,0.712,0.942,2,-5.115,0,0.165,0.388,0.0146,0.302,0.585,131.812
7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,Is This It,0.539,0.521,9,-7.46,1,0.0299,0.00425,0.0,0.367,0.679,106.035
6NvRxjfYkkT2SpirAlmsjH,No One Knows,Queens of the Stone Age,Songs For The Deaf,0.507,0.588,0,-4.881,1,0.0641,0.0359,0.000129,0.373,0.637,170.889
6ZBFJwlj6uJ1Th4m80KlSU,VIVID DREAMS,"KAYTRANADA, River Tiber",99.9%,0.708,0.572,1,-13.1,1,0.106,0.206,0.301,0.151,0.269,117.958
5F1CxsOXX6altKaKlEPuox,Powderfinger - 2016 Remaster,"Neil Young, Crazy Horse",Rust Never Sleeps,0.482,0.66,7,-10.827,1,0.0326,0.282,0.0102,0.0972,0.563,106.748
0DQqzCHlPyKQXfF8uL01SI,Sunny Afternoon,The Kinks,Face to Face (Deluxe),0.595,0.462,2,-8.414,0,0.0259,0.102,0.0,0.0641,0.526,124.991
1sUjjFYMb6YcRfljjExr7f,Am I in Heaven_,King Gizzard & The Lizard Wizard,I'm In Your Mind Fuzz,0.229,0.903,6,-4.323,1,0.0973,0.00786,0.0372,0.484,0.145,104.387
3jww6jMhelPsHnXO7Bar9v,Slow Jam 1,King Gizzard & The Lizard Wizard,I'm In Your Mind Fuzz,0.422,0.732,6,-7.762,1,0.0892,0.353,0.808,0.365,0.734,175.43
5jhKUd7znWRTtbtSNP8pRy,Greenland,Vundabar,Antics,0.341,0.722,9,-5.581,1,0.0302,0.00538,0.0,0.315,0.547,85.11
2PSo26j5LkdGu18mYM2ZdT,What's Going On,Taste,On The Boards,0.357,0.536,7,-14.805,1,0.0386,0.0145,0.00528,0.149,0.656,95.387
1UYj8qTWjneZJDVjUMwMub,The Moment,Tame Impala,Currents,0.547,0.827,7,-6.036,1,0.0468,0.000296,0.101,0.0858,0.451,119.089
2MVwrvjmcdt4MsYYLCYMt8,Tighten Up,The Black Keys,Brothers,0.504,0.705,6,-6.179,0,0.0665,0.00121,4.12e-06,0.453,0.567,108.965
1uHb5qa69lHLcFT38fIfUG,Surfin',"Kid Cudi, Pharrell Williams","Passion, Pain & Demon Slayin'",0.531,0.687,7,-6.173,1,0.0754,0.0349,0.0241,0.112,0.462,130.016
0Vg1lQpk2IHk2JU8UfAa5d,Yesterday,J Dilla,Jay Love Japan,0.599,0.396,5,-8.519,0,0.138,0.701,0.82,0.11,0.691,104.068
67c5M9gVWemCV5SGH5cc4v,Don't Cry,J Dilla,Donuts,0.23,0.772,1,-6.349,1,0.342,0.054,0.000138,0.644,0.589,173.377
3TiCuJiisBOB9HzKAM6FDG,Oh Honey,Delegation,Oh Honey,0.734,0.42,2,-12.036,1,0.028,0.188,0.242,0.0826,0.462,94.161
5IvQqnX64tRZCoYyldI6rx,Darla,Vundabar,Gawk,0.418,0.858,11,-8.047,1,0.0525,0.0636,0.00533,0.301,0.777,160.202
2ohTXUKOIHm0CzVxQGC7aX,Oulala,Vundabar,Gawk,0.397,0.656,9,-8.65,1,0.0429,0.118,0.01,0.144,0.543,80.979
3dmqIB2Qxe2XZobw9gXxJ6,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,Greatest Hits,0.464,0.654,7,-9.058,0,0.0608,0.0276,1.34e-06,0.328,0.53,169.512
34Jqj42hsT3O3N8yihE3B6,Burnin' And Lootin',The Wailers,Burnin' (Deluxe Edition),0.891,0.399,4,-10.087,0,0.348,0.0638,2.06e-05,0.0842,0.822,133.217
1jn1tS8R58gpxfgGNyRQph,Desire Be Desire Go,Tame Impala,InnerSpeaker,0.398,0.848,1,-4.987,1,0.0579,0.0743,0.0065,0.173,0.411,150.962
5b5UfzayiX4EXXusCipNjN,L.S.D.,The Pretty Things,Get The Picture?,0.67,0.654,2,-12.996,1,0.0321,0.603,3.67e-05,0.286,0.92,126.756
6Rb4xFCy3Hh5MJ88ehLXdc,Fresh Air - Remastered,Quicksilver Messenger Service,Classic Masters,0.452,0.757,6,-5.41,0,0.0396,0.409,0.344,0.135,0.567,115.546
5uV7IZsZL0491fQxRlmUHn,Through a Coil,PENDANT,Through a Coil,0.395,0.937,4,-5.579,1,0.0426,0.000652,4.62e-06,0.183,0.339,100.011
1aDLUzCyYpRXgrjwUWzV2X,Lazy Eye,Silversun Pickups,Carnavas,0.633,0.831,4,-5.053,1,0.0461,0.0401,0.693,0.117,0.243,127.397
3EYOJ48Et32uATr9ZmLnAo,Roxanne,The Police,Outlandos D'Amour - Remastered 2003,0.618,0.748,0,-8.905,1,0.358,0.0384,4.1e-06,0.0473,0.663,134.114
15JkkJANNuG0EoGCWEo85q,Music Saved My LIfe,Moods,Music Saved My Life,0.712,0.563,10,-9.884,0,0.0513,0.114,0.871,0.0922,0.554,104.012
3GgvAt2Cyp7GRhYy9Luus1,Sittin On Top Of The World,Doc Watson,Doc Watson,0.547,0.127,3,-21.435,1,0.0373,0.892,1.58e-05,0.112,0.73,89.404
7l8SsHb1SX5edK0cyFFR9u,Down By The River,Milky Chance,Stolen Dance,0.66,0.677,9,-7.875,1,0.0602,0.729,3.75e-05,0.117,0.447,114.013
7egu63DOhNpivWOpGtzqGS,Lamb's Wool,Foster The People,Lamb's Wool,0.433,0.614,8,-7.594,0,0.0499,0.111,5.61e-05,0.141,0.233,178.751
4KkwBjTLeXmBSIwLFqwlKU,Passin' Me By,The Pharcyde,Bizarre Ride II The Pharcyde,0.759,0.756,4,-8.145,0,0.266,0.0903,2.36e-06,0.265,0.613,87.059
1GBh64hhU0h6SrADC3iFN6,Holding Back the Year,Lou Barlow,Emoh,0.733,0.706,9,-7.627,1,0.03,0.359,4.7e-05,0.0639,0.463,116.324
00YCRrySf0dJ6nRCKYSAkA,Pancake,Swirlies,Blonder Tongue Audio Baton,0.173,0.811,6,-11.903,1,0.0809,0.000111,0.153,0.403,0.205,120.177
3IHiCJwE3wcuvUPDeNqlDi,"Baby, What You Want Me To Do",Jimmy Reed,Found Love,0.519,0.404,9,-13.072,1,0.0366,0.805,0.000389,0.115,0.72,95.25
7iFlT9cRGMoM3OHWiXO4MI,"Big Boss Man - Live at Fillmore East, New Yor, NY, April 26, 1971",Grateful Dead,Grateful Dead (Skull & Roses) [Live],0.625,0.486,9,-10.859,1,0.0288,0.322,0.339,0.469,0.638,120.452
55e99bv2wlgTYtNEYHWtN1,Sheep,Pink Floyd,Animals,0.28,0.716,9,-12.095,0,0.0983,0.0652,0.52,0.512,0.0618,135.378
0wUZgQ98p3ZGTR8ytVE2N5,One of These Days (Live at Pompeii) [2016 Remix],Pink Floyd,1972 Obfusc/ation,0.259,0.517,4,-11.261,1,0.0438,0.00175,0.834,0.145,0.0746,122.338
3XpZl1wM92z9Z239joSmf3,High on Your Love,Kings Go Forth,The Outsiders Are Back,0.588,0.701,0,-3.208,1,0.0364,0.0142,4.83e-05,0.179,0.763,79.577
00kvKlIvfzQLSi6T2zwXuS,Strawberry Letter 23,The Brothers Johnson,Right On Time,0.73,0.622,7,-11.7,0,0.0532,0.269,0.00874,0.111,0.752,90.973
33FGKN2Uj1kilfOsPcwVOx,I'm Satisfied,James Brown,Bodyheat,0.77,0.775,1,-8.136,1,0.105,0.0415,0.0,0.0392,0.667,125.82
6sjKEh3b3w39zU2yXXwsUD,Honest I Do,Lord Echo,Melodies,0.895,0.424,11,-9.511,0,0.046,0.0362,0.0917,0.309,0.924,117.983
1D7RHL8KWWOyPl5X7cElsw,Yesterday,Swim Mountain,Yesterday,0.719,0.56,10,-7.045,1,0.03,0.266,0.658,0.542,0.893,120.037
5rpI91rFVNaK9ACHBIvvFO,Tangerine,Beach Fossils,Tangerine,0.246,0.742,2,-7.177,1,0.0415,0.000695,0.00494,0.0452,0.491,168.034
3ZYSrBWQXYgTe4tyKKIZ0D,"Bertha - Live at Fillmore East, New York, NY, April 27, 1971",Grateful Dead,Grateful Dead (Skull & Roses) [Live],0.548,0.738,7,-10.618,1,0.0365,0.268,0.69,0.17,0.953,88.764
5te7uKM0hYcPjf3ScBA9fS,The Music Never Stopped - 2013 Remaster,Grateful Dead,Blues for Allah (2013 Remaster),0.707,0.41,9,-12.845,1,0.0551,0.778,0.00027,0.504,0.634,106.074
7Bz8yww6UMbTgTVLG6zbI4,Low Rider,War,Why Can't We Be Friends?,0.812,0.644,0,-10.761,1,0.0493,0.0877,0.785,0.0563,0.989,140.075
4IU1RL4BKvFyXtbTwaHAvW,Ventura Highway,"America, George Martin",Homecoming,0.611,0.761,2,-5.929,1,0.0283,0.104,0.0002,0.122,0.838,130.705
54eZmuggBFJbV7k248bTTt,A Horse with No Name,"America, George Martin",America,0.653,0.507,11,-17.18,0,0.0534,0.687,0.0147,0.155,0.831,123.188
5azJUob8ahbXB3M9YFwTpd,When I Get Home,Post Animal,The Garden Series,0.245,0.773,0,-5.985,1,0.0525,0.0665,0.00046,0.358,0.464,148.134
22AbXxQbMdVqEz7xJjhccG,Welcome To Jamrock,Damian Marley,Welcome to Jamrock,0.836,0.661,7,-6.502,0,0.338,0.0208,0.0,0.449,0.753,76.71
0wRA0cd2d88zUCQlBkJhrn,North Circular Dub (No No No Rhyhtm),King Tubby,King Tubby's Classics: The Lost Midnight Rock Dubs Chapter 3,0.647,0.569,7,-10.055,1,0.134,0.0326,0.871,0.115,0.329,148.402
08A1uGFNjUZ6ZNaJ3wkSoH,Let Me Down Easy,Derrick Harriott,Let Me Down Easy / Hell Below,0.805,0.573,7,-9.727,1,0.143,0.677,0.214,0.141,0.541,81.747
1WdjhpptMbaldV9A18LGz7,Small Axe,The Wailers,Burnin' (Deluxe Edition),0.791,0.647,9,-10.602,1,0.207,0.3,0.000143,0.0762,0.82,91.552
