Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
4hZfyDrxwiuQpfGOt3qCis,Soft Lamp / Palm Reader,Monster Rally,Coral,0.336,0.843,0,-11.031,1,0.0394,0.702,0.864,0.164,0.578,172.87
5ibzGJgUhqJId3IMgzhufM,Hobo's Blues,Paul Simon,Paul Simon,0.589,0.504,10,-12.588,1,0.0584,0.6,0.0,0.0797,0.543,84.216
5pT4qRIpNb7cASsnMfE1Hc,Anji,Simon & Garfunkel,Sounds Of Silence,0.3,0.248,11,-13.622,0,0.041,0.931,0.911,0.127,0.399,168.388
7s2HYAN8PSba9OGqgTL7mo,Going to California - Mandolin / Guitar Mix,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),0.502,0.263,2,-18.419,1,0.0385,0.949,0.726,0.0887,0.576,77.891
2E7V8BNpKu8EjNRIECvvS4,Lady Madonna - Take 2 / Piano & Drums,The Beatles,The Beatles,0.539,0.674,2,-8.729,1,0.0415,0.716,0.794,0.165,0.906,109.299
0YFowzzboly7LUBwefbPvb,Back In The U.S.S.R. - Take 5 / Instrumental Backing Track,The Beatles,The Beatles,0.668,0.827,0,-10.029,1,0.0345,0.0266,0.372,0.176,0.937,127.771
1azn2MmFWbhTUsBVXXXVPl,Everybody's Got Something To Hide Except Me And My Monkey - Unnumbered Rehearsal,The Beatles,The Beatles,0.676,0.603,9,-11.27,1,0.0406,0.000776,0.824,0.0949,0.817,126.938
0xulhqNI2L3CoAe0CLe65V,Revolution - Take 14 / Instrumental Backing Track,The Beatles,The Beatles,0.567,0.921,4,-10.738,0,0.0539,0.336,0.848,0.575,0.528,123.687
0fCRMAw8XcOk2zzilmmXCt,Honey Pie - Instrumental Backing Track,The Beatles,The Beatles,0.604,0.272,2,-14.953,1,0.0484,0.947,0.893,0.297,0.24,144.125
5F7YHcQPCRUNfUehsjgAu1,Mudmen,Pink Floyd,Obscured by Clouds,0.396,0.25,8,-12.947,1,0.0285,0.502,0.554,0.124,0.115,108.347
0E9W4ZDAl2ceQSJI8TOgOS,MISATO,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),0.622,0.563,0,-11.731,1,0.0302,0.0307,0.00027,0.216,0.863,150.097
4tQQ5NSnFrZXTb8BoMclIA,Lady Dada's Nightmare,MGMT,Congratulations,0.354,0.477,9,-7.89,0,0.0303,0.568,0.911,0.196,0.0508,77.97
1lr7Nfk81ktx9mQOqxxgBF,Mechination,B'shara,Mr. Cogwheel,0.475,0.768,0,-5.434,1,0.466,0.124,0.0428,0.106,0.776,200.024
716TKYoyVXFrXjz3rHwajp,Nashville Skyline Rag,Bob Dylan,Nashville Skyline,0.544,0.376,0,-22.38,1,0.033,0.314,0.798,0.161,0.732,121.264
6kQlfgcEkPQjDSlkDXmR9J,Walking In The Park With Eloise - Remastered 2014,Wings,Venus And Mars - Archive Collection,0.749,0.35,2,-11.632,1,0.0406,0.631,0.942,0.0706,0.796,91.84
6tMRQycUnwU5F08fS5JZpQ,Front Parlour - Remastered 2011,Paul McCartney,McCartney II (Archive Edition),0.734,0.561,0,-11.088,1,0.0337,0.033,0.105,0.108,0.431,132.18
4LXMraOugzPbV5vMCtbic2,Bogey Wobble - Remastered 2011,Paul McCartney,McCartney II (Archive Edition),0.556,0.444,1,-11.509,1,0.357,0.942,0.376,0.118,0.397,170.889
2YMpIBqFO7SKHgYpuON2cn,Honky Tonk (Stereo),The Beach Boys,Surfin' USA (Mono & Stereo),0.704,0.635,9,-9.6,0,0.0378,0.0158,0.809,0.108,0.893,126.71
3YlHdJF2jvcMBix9XsYUjB,Boogie Woodie (Stereo),The Beach Boys,Surfer Girl (Mono & Stereo),0.544,0.919,1,-10.217,1,0.0386,0.288,0.779,0.368,0.926,95.103
