Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
0xiXl491h3Sb2bsR7KO4W1,I Choose You,Chicago Gangsters,I Choose You (formerly Blind Over You),0.502,0.929,9,-2.069,0,0.0756,0.237,0.000324,0.152,0.456,85.795
1P6cM2zGc66h5acmYdJ08n,Baby Your Light Is Out,Young-Holt Unlimited,The Definitive Young-Holt Unlimited,0.614,0.311,2,-15.625,1,0.0596,0.491,0.0217,0.0748,0.5,145.789
7xpw5FSNYXKfdQSBuO0THv,Be Thankful For What You've Got - 2012 Mix/Master,"Massive Attack, Tony Bryan",Blue Lines (2012 Mix/Master),0.821,0.528,4,-11.749,0,0.0463,0.117,0.0702,0.0816,0.345,92.128
1CXQ0J8CCc7sxcH8YB334V,Everything Changed v1.1,"Andrae Crouch, Disciples",Classic Gold: Best of Andrae: Andrae Crouch and the Disciples,0.401,0.772,8,-6.965,1,0.0931,0.608,0.0,0.405,0.734,165.712
2cRNsePb7ziuN66PBFKQSc,Tell Them,Andrae Crouch,Classics Vol. 1,0.318,0.409,6,-10.186,1,0.0298,0.654,0.0,0.0787,0.189,124.487
7Abj3g4FpcCqbmtgcfjp6m,I'm Gonna Keep On Singin',Andrae Crouch,Classics Vol. 1,0.565,0.795,8,-8.522,1,0.0463,0.686,0.0,0.214,0.916,140.813
4pn5igdhNzZnA9sRG1sg7z,Bless His Holy Name,Andrae Crouch,The Light Years: Andrae Crouch,0.226,0.567,3,-8.78,1,0.0331,0.164,0.0,0.277,0.528,142.37
4PdpGQkzpGHWF7nYZDL6nQ,I'm Coming Home Dear Lord,"Andrae Crouch, Disciples",Keep On Singing,0.226,0.674,0,-5.664,1,0.0424,0.815,0.000113,0.135,0.297,166.024
2IeM4N8dFf4JNZtYVu11Gk,Take Me Back,Andrae Crouch,Classics Vol. 1,0.461,0.541,1,-11.805,1,0.0327,0.227,0.0,0.0932,0.666,128.442
7HYX0zJkY6fjEJvaXSn9Od,Can You Lose By Following God,Whole Truth,Can You Lose By Following God b/w God Is Going To Raise A Nation,0.532,0.254,4,-11.581,1,0.0374,0.0725,0.0727,0.119,0.224,91.458
5TEa8mQNUQS8HxiRkUAfmy,Time After Time,Step By Step,Time After Time,0.59,0.861,4,-9.002,1,0.0669,0.000461,0.000808,0.0422,0.768,137.552
