Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
2hitsKa8SthKhRJBXUHbIv,Our House,"Crosby, Stills, Nash & Young",Deja Vu,0.592,0.205,9,-14.601,1,0.048,0.896,5.46e-05,0.119,0.378,140.282
4EEjMyQub6tgFVshlM9j1M,Margaritaville,Jimmy Buffett,"Changes In Latitudes, Changes In Attitudes",0.801,0.545,2,-13.637,1,0.0357,0.709,0.00176,0.104,0.862,124.941
6VeZ970uI0Yi6sjBgyFBrp,Cheeseburger In Paradise,Jimmy Buffett,Son Of A Son Of A Sailor,0.698,0.689,2,-12.529,1,0.0577,0.167,0.000119,0.0692,0.972,139.997
0yje3JVMgJNZENayymCTHA,Come Monday,Jimmy Buffett,Living And Dying In 3 / 4 Time,0.617,0.301,9,-15.393,1,0.0292,0.776,0.0,0.0914,0.664,111.527
7qFg0joTjCiYOvzrt9nNtg,"Bad, Bad Leroy Brown",Jim Croce,Photographs & Memories: His Greatest Hits,0.663,0.844,7,-6.211,1,0.0421,0.459,0.0,0.0701,0.817,148.013
1pmYAWY7Kwaj84U3xZxLML,Time In A Bottle,Jim Croce,You Don't Mess Around With Jim,0.543,0.256,2,-11.573,1,0.0343,0.854,0.0,0.149,0.635,134.257
01UYpHuzHi4eB9PAbDoPY2,Summer Breeze,Seals and Crofts,Seals & Crofts' Greatest Hits,0.49,0.581,5,-6.566,1,0.0387,0.553,0.0177,0.0764,0.318,88.719
2T5Ch09nefwckOu5NQvjIk,Carolina in My Mind,James Taylor,Greatest Hits,0.579,0.267,4,-15.11,1,0.0348,0.118,0.000562,0.132,0.353,74.899
69l8nFPu0LWmnoJX7YSVYc,You've Got a Friend,James Taylor,Mud Slide Slim and the Blue Horizon,0.695,0.282,9,-15.359,1,0.0295,0.681,0.0267,0.0767,0.445,91.681
6EuudaFtwibd4tzcWjonb2,How Sweet It Is (To Be Loved by You),James Taylor,Greatest Hits,0.741,0.612,0,-11.048,1,0.0622,0.242,0.0,0.111,0.812,108.758
1lZJzhTAzXWgEY3RSw9cvx,Sweet Baby James,James Taylor,Greatest Hits,0.512,0.239,2,-15.055,1,0.0353,0.442,0.0,0.093,0.634,141.292
4Uokd1QzNCrfLGLeusZzA3,Shower the People,James Taylor,The Essential James Taylor,0.677,0.452,2,-11.558,0,0.0234,0.335,0.0,0.0718,0.568,98.402
0z1MCtPlHy0x1g0XojaduR,Your Smiling Face,James Taylor,The Essential James Taylor,0.682,0.509,1,-11.887,1,0.0783,0.146,5.02e-06,0.0886,0.605,88.934
4sI8uN1G3PsoiNizkOqATO,Mexico,James Taylor,Greatest Hits,0.787,0.551,11,-11.09,1,0.0302,0.256,3.29e-06,0.11,0.811,116.023
6DXMGv6IGeqFXLQW8vkGwT,Country Road,James Taylor,Greatest Hits,0.529,0.343,2,-16.192,1,0.044,0.654,5.97e-05,0.121,0.661,153.466
3c3b5daSKE7C83YLIOrSnX,Don't Let Me Be Lonely Tonight,James Taylor,Greatest Hits,0.622,0.145,4,-18.549,0,0.0332,0.813,0.0808,0.148,0.335,75.139
