Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
63OJHHu2ambZAvdrvhdT2b,I Found a Reason - 2015 Remaster,The Velvet Underground,Loaded (2015 Remaster),0.424,0.289,5,-12.063,1,0.0271,0.0619,0.000444,0.104,0.335,77.941
5L2STOBiS00u7q4aLtRjKK,Nowhere Near,Yo La Tengo,Painful,0.431,0.233,9,-15.242,1,0.0288,0.832,0.848,0.099,0.085,81.183
4MNxOR2Fu4NqJ892UdYx0h,Bob Dylan's Dream,Bob Dylan,The Freewheelin' Bob Dylan,0.48,0.247,7,-15.929,1,0.0311,0.747,2.86e-06,0.0745,0.422,109.646
7lDnXMcGYeGnku3H84JlQh,Hazey Jane II,Nick Drake,Bryter Layter,0.629,0.719,10,-8.198,1,0.03,0.0303,0.0322,0.0573,0.881,150.293
0tkBOcK7oRVXQJY97zzSvr,Telescope,Cage The Elephant,Melophobia,0.589,0.481,0,-4.801,1,0.0285,0.273,1.33e-05,0.0986,0.176,93.568
1hRLLDcfLJZBu9L2WNnBwr,Shake Sugaree,Elizabeth Cotten and Brenda Evans,Shake Sugaree,0.593,0.0814,10,-10.189,1,0.0624,0.943,0.0,0.112,0.703,175.767
5SwgE4wA0P7f6AEz2UQMB2,Uncle Albert / Admiral Halsey - Medley / 2012 Remaster,"Paul McCartney, Linda McCartney",Ram (Archive Collection),0.371,0.507,7,-9.805,1,0.0325,0.58,0.0201,0.175,0.535,91.786
1bo6xzrCrK7ocEirC5rrZk,Soul Love - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),0.573,0.404,2,-12.142,1,0.0626,0.0579,1.52e-06,0.217,0.709,72.906
4qG7hWhljsqqENL5PaLA2z,Let The Light In (feat. Father John Misty),"Lana Del Rey, Father John Misty",Did you know that there's a tunnel under Ocean Blvd,0.335,0.44,9,-9.748,1,0.0275,0.385,0.00251,0.115,0.198,132.449
3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma",The Strokes,Comedown Machine,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437
1jcPcDu2YawPfLhwjYnqK2,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,Aerial Ballet,0.437,0.349,4,-15.569,1,0.0381,0.338,5.23e-05,0.417,0.683,125.006
3uCkIqD0VzQUijbs8WIizs,These Days,Nico,Chelsea Girl,0.401,0.13,5,-17.638,1,0.0312,0.989,0.305,0.101,0.213,93.091
2Xn7NadvZ56D0B2D7x2CSL,Crucify Your Mind,Rodríguez,Cold Fact,0.505,0.561,9,-7.772,1,0.0803,0.217,0.0,0.0952,0.55,85.102
7kuOhBGsXjpwvLRQCDAPAJ,September Fields,Frazey Ford,Indian Ocean,0.677,0.526,0,-10.289,1,0.0261,0.283,0.0279,0.115,0.702,114.015
5oWJxP0sIsHRge6LWR9sIs,Someday - triple j Like A Version / Live,Julia Jacklin,Someday (triple j Like A Version / Live),0.501,0.233,11,-13.562,1,0.0453,0.456,6.81e-06,0.0982,0.262,120.832
5fcxVCOtfesNzI2n4Y4kiJ,Jackson,"Johnny Cash, June Carter Cash",Carryin' On With Johnny Cash And June Carter,0.741,0.615,0,-8.072,1,0.0358,0.519,0.000344,0.408,0.799,128.496
0ynmh87cJ8HvBWFOooBrz6,Don't Be Cruel,Billy Swan,I Can Help,0.612,0.309,4,-12.312,1,0.0374,0.689,0.00342,0.0991,0.312,118.129
6Qb7gtV6Q4MnUjSbkFcopl,50 Ways to Leave Your Lover,Paul Simon,Still Crazy After All These Years,0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684
0i7YBWlgPqBa2C44eR3lQd,I've Loved Her so Long - 2009 Remaster,Neil Young,Neil Young (2009 Remaster),0.416,0.265,10,-13.992,1,0.0295,0.867,0.0179,0.159,0.448,81.842
4ELGuNlKE0uiD6waM1qWhu,For the Sake of the Song,Townes Van Zandt,Townes Van Zandt,0.387,0.124,11,-19.606,1,0.04,0.778,4.27e-05,0.115,0.477,204.317
3w7hnMNX4zVZeBJ6LisTjT,Moonlight Mile - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),0.416,0.5,7,-6.459,1,0.0264,0.575,0.0886,0.102,0.241,130.224
6vqmpTineKzSlk75E7nrHf,Mississippi Heavy Water Blues,Roscoe Holcomb,Close To Home,0.66,0.136,1,-22.069,1,0.0425,0.851,0.00317,0.084,0.625,123.333
5xpsqQJz7pI6huO0Pd7QZW,Forget the Flowers - 2017 Remaster,Wilco,Being There (Deluxe Edition),0.491,0.737,2,-7.031,1,0.0485,0.0258,0.00687,0.0934,0.643,204.372
7CuCP5OoLH77hJTibZQE4r,To Be Alone with You,Bob Dylan,Nashville Skyline,0.707,0.326,9,-19.686,1,0.0541,0.614,3.06e-05,0.365,0.788,122.948
5WyuRWUcOOhAic0tj9Pl28,Satellite of Love,Lou Reed,Transformer,0.458,0.502,5,-10.186,1,0.0294,0.442,5.51e-06,0.299,0.571,121.861
3G0EALIIp5DAeIERxXBHmo,Waterloo Sunset,The Kinks,Something Else (Deluxe),0.521,0.691,1,-7.377,0,0.0251,0.0975,0.0,0.187,0.434,107.707
4NnWuGQujzWUEg0uZokO5M,Just Like Heaven,The Cure,"Kiss Me, Kiss Me, Kiss Me",0.437,0.94,9,-6.946,1,0.0426,0.0524,0.000573,0.222,0.48,151.417
6wtmql7FJ7SSLuSw8JD8rX,Spanish Bombs - Remastered,The Clash,London Calling (Remastered),0.609,0.799,11,-7.902,0,0.0346,0.0458,0.0,0.21,0.77,149.046
1JIzFhI9Lt5FyslawmHCBi,Five Years - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),0.46,0.326,7,-10.699,1,0.0417,0.142,1.01e-05,0.0449,0.321,152.531
19Shlms2uTnOjIUg50TXzd,Never Going Back Again - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),0.654,0.336,6,-12.825,1,0.0379,0.858,0.385,0.0786,0.947,176.083
7zE7VClzAEYa9nUDC950pT,Every Night - Remastered 2011,Paul McCartney,McCartney (Archive Collection),0.605,0.404,4,-12.366,1,0.0256,0.588,0.00143,0.104,0.867,94.285
4ywWJqYKOwaVVh9xXARWUS,Tangerine - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),0.306,0.398,6,-12.767,1,0.0412,0.0857,6.02e-05,0.0756,0.0948,85.622
2akMYW6w4sOWL1nhTzPJWu,Blood Red Sentimental Blues,Cotton Jones,Paranoid Cocoon,0.565,0.716,10,-6.254,1,0.0253,0.218,3.3e-06,0.185,0.679,92.977
4Dgus4Z1Dtbkv3BOnuwFf5,"This Is Not a Song, It's an Outburst: Or, the Establishment Blues",Rodríguez,Cold Fact,0.625,0.684,4,-6.494,1,0.195,0.684,0.0,0.115,0.833,119.779
0D2lE9pdfepfEcUWds1Sst,Life's A Gas,T. Rex,Electric Warrior,0.606,0.475,7,-9.344,1,0.044,0.224,0.000901,0.113,0.844,125.963
1Guzg2htAsEghkxcYXcQKg,Easy Does It,Supertramp,Crisis? What Crisis?,0.428,0.275,2,-20.149,1,0.0821,0.588,0.00128,0.338,0.551,154.709
1WN4uNclrDuczTO3bCr8s1,Be My Baby,The Ronettes,Presenting the Fabulous Ronettes Featuring Veronica,0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639
27hhIs2fp6w06N5zx4Eaa5,Dream A Little Dream Of Me,The Mamas & The Papas,The Papas & The Mamas,0.413,0.313,7,-13.138,1,0.0519,0.791,1.5e-06,0.0727,0.349,92.515
3SeDS5sSoWnwAZvVgkdKzf,Better in the Dark,"Jordana, TV Girl",Summer's Over,0.678,0.64,9,-7.486,1,0.0268,0.283,0.00067,0.682,0.701,90.058
1H5IfYyIIAlgDX8zguUzns,Suspicious Minds,Elvis Presley,From Elvis in Memphis,0.487,0.382,7,-10.889,1,0.0309,0.0422,4.74e-06,0.411,0.714,116.557
1o82DwNisONAd2mu1RcGE6,Margaret (feat. Bleachers),"Lana Del Rey, Bleachers",Did you know that there's a tunnel under Ocean Blvd,0.34,0.245,9,-13.352,1,0.0319,0.969,0.0992,0.0633,0.192,103.777
5l9c6bJmzvftumhz4TMPgk,Harvest Moon,Neil Young,Harvest Moon,0.648,0.31,2,-12.431,1,0.0264,0.53,0.000231,0.124,0.408,112.938
7jIAttgQTpLDoNtykIQXjH,Blister In The Sun,Violent Femmes,Violent Femmes,0.726,0.537,0,-8.896,1,0.114,0.316,0.0,0.0707,0.882,96.889
3b00LSFIRqnHvkoDEs5fkg,Float On,Modest Mouse,Good News For People Who Love Bad News,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975
3IvTwPCCjfZczCN2k4qPiH,Dirty Work,Steely Dan,Can't Buy A Thrill,0.582,0.214,1,-17.83,1,0.0315,0.767,2.07e-06,0.122,0.515,72.794
64D3dzWyj0GpQT1AHx4kbK,Panic - 2011 Remaster,The Smiths,Louder Than Bombs,0.53,0.861,7,-4.67,1,0.0372,0.0175,0.0177,0.0857,0.844,130.476
6aBUnkXuCEQQHAlTokv9or,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking in Tongues (Deluxe Version),0.942,0.641,7,-10.15,1,0.0333,0.331,0.179,0.028,0.966,114.443
1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,Gorillaz,Plastic Beach,0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761
6zD3VBPn2VNDdmLEg0coPt,Country Honk,The Rolling Stones,Let It Bleed,0.531,0.759,7,-10.992,1,0.0521,0.627,7.04e-06,0.351,0.888,120.96
0CVlP2QMGqr9kP527ay07S,Apeman (2020 Stereo Remaster),The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. 1",0.677,0.778,9,-7.578,1,0.206,0.679,0.0616,0.0593,0.833,74.958
