Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
70XHAdaMaoLIOVb1hSaeJ4,Any Time At All - Remastered 2009,The Beatles,A Hard Day's Night (Remastered),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0j35X8cTq543QDYLOyqB8W,Only One,"Kanye West, Paul McCartney",Only One,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3FTM2STp071auovPWet7jE,Crippled Inside - Take 3,John Lennon,Imagine (The Ultimate Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6cuFOB2pNQRlpwl7UebMAg,Cowboy Music,George Harrison,Wonderwall Music,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2CEujT1Tuv3jIIjUyUvupg,Two Of Us - 2021 Mix,The Beatles,Let It Be (Super Deluxe),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
05wvXK5IW9CjFQToL0N7Go,The Back Seat Of My Car - Remastered 2012,"Paul McCartney, Linda McCartney",Ram (Archive Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5N2HMvTBFiOIMB0KqqAOPF,Country Dreamer - Remastered 2010,"Paul McCartney, Wings",Band On The Run (Archive Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0ESIjVxnDnCDaTPo6sStHm,Till There Was You - Remastered 2009,The Beatles,With The Beatles (Remastered),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3gCYle76USfbHa7VDTDg5V,The Kiss Of Venus (Dominic Fike),"Paul McCartney, Dominic Fike",The Kiss Of Venus (Dominic Fike),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0TakSMEjYQ49Rw1jV3kctO,So Glad To See You Here - Remastered 1993,Wings,Back To The Egg,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5E3BVY66TEDexFutOO5GeS,I'm Looking Through You - Remastered 2009,The Beatles,Rubber Soul (Remastered 2009),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5sFSXKwsf1KvKpZngwVtlI,I Me Mine - 2021 Mix,The Beatles,Let It Be (Super Deluxe),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4D40ZlFAWsvX7lua1Kablh,Jet - 2010 Remaster,"Paul McCartney, Wings",Band On The Run,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3NbnuZ27ZmUqspAVnGfHOu,I Feel Fine - 2023 Mix,The Beatles,The Beatles 1962 – 1966 (2023 Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0SkpjIqhANcC2QQu8DIuwG,Listen To What The Man Said - 2014 Remaster,Wings,Venus And Mars (Archive Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0Nux6Q8aJZ1i4vUpPDBvlX,What Is Life (2014 Remaster),George Harrison,All Things Must Pass (2014 Remaster),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5SwgE4wA0P7f6AEz2UQMB2,Uncle Albert _ Admiral Halsey - Medley _ 2012 Remaster,"Paul McCartney, Linda McCartney",Ram (Archive Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5h0yfg2KLqjVOKpCUTkBKo,I Want You (She's So Heavy) - 2019 Mix,The Beatles,Abbey Road (Super Deluxe Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2IyAlDb54LzF8O1V08389y,Mother Nature's Son - Esher Demo,The Beatles,The Beatles,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2KRUCaSMH7IoBd3YvRqqrH,Revolution 1 - Take 18,The Beatles,The Beatles,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5X5HVh2lDUfkUJLjkhavBL,Yellow Submarine - Songwriting Work Tape _ Part 1,The Beatles,Revolver (Super Deluxe),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5Z1rRqIUBPVLokMc38xhDN,I Am Your Singer - Home Recording,"Paul McCartney, Linda McCartney",Wild Life (Archive Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2tb5uD5p59wS3y00bRIKix,Mamunia - Remastered 2010,"Paul McCartney, Wings",Band On The Run (Archive Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4401c08DdNwwGEg8WGCkQf,Paperback Writer - Remastered 2009,The Beatles,Past Masters (Vols. 1 & 2 / Remastered),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1hVl3NtSqi6LXZ7pXxHPrC,Venus And Mars - Remastered 2014,Wings,Venus And Mars (Archive Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3XEotHnYPz7VrpMEEFCpL7,Indeed I Do,"Paul McCartney, Linda McCartney",Wild Life (Archive Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0Ca2mDERpTFmnttcSt9UcR,The Lovely Linda - Remastered 2011,Paul McCartney,McCartney (Archive Collection),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5aHHf6jrqDRb1fcBmue2kn,The End - Remastered 2009,The Beatles,Abbey Road (Remastered),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6UCFZ9ZOFRxK8oak7MdPZu,Her Majesty - Remastered 2009,The Beatles,Abbey Road (Remastered),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3Z25k4ZF6QENy2d9YatsM5,I Want You (She's So Heavy) - Remastered 2009,The Beatles,Abbey Road (Remastered),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7sfE6KbRUzH2VBOeDGUsie,Revolution 1 - 2018 Mix,The Beatles,The Beatles,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2PWnAe9C52xvJYhBFNuIqm,Good Night - 2018 Mix,The Beatles,The Beatles,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
32RwqKbqyzi7NJ11NBbOlN,Cry Baby Cry - 2018 Mix,The Beatles,The Beatles,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
