Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
6fW4W5lfhRWNyoAiTGOevq,Never Understand,The Jesus and Mary Chain,Psychocandy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3NePK8Mji0MloKS09WaKbF,Never Understand,The Jesus and Mary Chain,Never Understand (3 Track EP),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
390q0eQ0XUAPlQz1SHhMrD,The Living End,The Jesus and Mary Chain,Psychocandy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0XK3azZuLvHjHG3aHDAfHB,Head On,The Jesus and Mary Chain,Automatic,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0CWLdVMRAmEdrqWG8TR2iZ,Suck,The Jesus and Mary Chain,Never Understand (3 Track EP),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0qb40TZqkruJRVu1QlHk7v,Something's Wrong,The Jesus and Mary Chain,Psychocandy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2bdVnoJwOUceEPU9Ejr0EH,You Trip Me Up,The Jesus and Mary Chain,You Trip Me Up EP,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5f7oDotsVoBY92f2FSvr89,You Trip Me Up,The Jesus and Mary Chain,Psychocandy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0GHyMTNSkHPmJRBomMcFcQ,Fall,The Jesus and Mary Chain,Darklands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20NK73nykr12YIN0Kj3byF,The Hardest Walk,The Jesus and Mary Chain,Psychocandy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3Us0cXUn1XfrK3keUKhxDj,Taste The Floor,The Jesus and Mary Chain,Psychocandy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6pyJscSLdiWed1tV0ZPqlw,Happy When it Rains,The Jesus and Mary Chain,Darklands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3dhAd7nuaBauLwqLh7NAMf,Sowing Seeds,The Jesus and Mary Chain,Psychocandy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1CapNlKgeOWlBEE54CRamd,Just Like Honey,The Jesus and Mary Chain,Psychocandy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7BIsEOxWH7hpTgCV60vXv7,April Skies,The Jesus and Mary Chain,Darklands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11sxpJrfYJFxkA77PauDj4,Sometimes Always,The Jesus and Mary Chain,Stoned and Dethroned,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2kmA247debpD5gtozGnvMG,Cherry Came Too,The Jesus and Mary Chain,Darklands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7sY6dRDoIVHDYxfJYVticH,Darklands,The Jesus and Mary Chain,Darklands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
075m5JKJVuEhXyVBKNdhhz,Deep One Perfect Morning,The Jesus and Mary Chain,Darklands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3SBTh3b5yy0TSPoOFHt7Lr,Down on Me,The Jesus and Mary Chain,Darklands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
65R7oA3BpGNSE2CPvXtX0e,Boyfriend's Dead,The Jesus and Mary Chain,You Trip Me Up EP,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
77agA043d89ZFaiAVAFSX5,My Little Underground,The Jesus and Mary Chain,Psychocandy,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1lzJGGkCJkehI1bivxVGE2,About You,The Jesus and Mary Chain,Darklands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6JlvEF9pFXLPDXLgi2p2NO,Frequency,The Jesus and Mary Chain,Honey's Dead (Expanded Version),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
