Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
1rJi8cf8OWsrX4CqBnMSoQ,Who Loves the Sun - 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3cw3Z7mS55gd3NUjh4k0bL,Sweet Jane - Full Length Version; 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0i19MAZbyn8uTir7FprXId,Oh! Sweet Nuthin' - 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1o6DclZHw0HomxXEQR1ijX,Rock & Roll - Full Length Version; 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6NkzKmPgDTG8zHL7PtydBh,Satellite of Love - Demo Version; 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2g4LWy7YxrbWYA2RJP8nFk,The Black Angel's Death Song,"The Velvet Underground, Nico",The Velvet Underground & Nico 45th Anniversary,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1g0mYXE5URfA6Zo7120ZJA,Men of Good Fortune - May 1965 Demo,Lou Reed,"Words & Music, May 1965",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0SMM9gTpeJqaOE9iUwH3F8,Ride Into the Sun,Lou Reed,Lou Reed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4yzxcims4rmI8MGkUXzG21,Beginning To See The Light,The Velvet Underground,The Velvet Underground (45th Anniversary / Super Deluxe),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
70tBw295bLL8B13Jg3SNUs,Charley's Girl,Lou Reed,Coney Island Baby,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4Hh6Q9GhhE8DeON2iUtYMT,Cool It Down - 2015 Remaster,The Velvet Underground,Loaded (2015 Remaster),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0oPZUCKjSIlQclVrUJDf2l,"We're Gonna Have A Real Good Time Together - Live At The Matrix, San Francisco, CA _ 1969",The Velvet Underground,1969: Velvet Underground Live with Lou Reed Vol. 1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3r724ky0AzT9rtG6UrbUbA,What Goes On,The Velvet Underground,The Velvet Underground (45th Anniversary / Super Deluxe),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4tj0T53jJzNpk5f5AByEQR,Hangin' 'Round,Lou Reed,Transformer,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3PG7BAJG9WkmNOJOlc4uAo,Femme Fatale,"The Velvet Underground, Nico",The Velvet Underground & Nico 45th Anniversary,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7KgFqbqKfRYnX8VHC4Bg4x,I Found a Reason - Demo Version; 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5pdt9wLGiQLzy2FfNy46mi,Sad Song - Demo Version; 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4NChGXGwWarFypELpEeNF1,Satellite of Love - Demo Version; 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
