Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
4UF1eupXP9Zz5GpYepyOxI,Razorblade,The Strokes,First Impressions Of Earth,0.394,0.859,9,-3.851,1,0.0409,0.00201,0.233,0.1,0.511,136.075
0fIF2wllvm6TvZdJg6C1d8,Chasing Rainbows,B'shara,Chasing Rainbows,0.529,0.614,8,-11.787,1,0.125,0.0547,3.57e-05,0.187,0.961,185.051
7BJ7WXKZd3YTOja6OFbWJ5,End of Everything (EOE),godfuck,The Sound of Computers Thinking,0.478,0.949,0,-8.346,1,0.0381,0.000258,0.393,0.306,0.215,102.487
2pL5Uwe7a6YCLUiOVU4AIw,Red Tearstone,godfuck,The Sound of Computers Thinking,0.434,0.826,7,-7.493,1,0.266,0.0037,0.374,0.629,0.517,185.354
7fRAo80qMQjm6sr21gQTXp,Pot Kettle Black,Wilco,Yankee Hotel Foxtrot,0.729,0.626,2,-9.946,1,0.0299,0.052,0.241,0.665,0.666,123.242
0Pt99LE4y6sHrUvUaIrSVK,The Unicorn,Dr. Dog,"Twistable, Turnable Man: A Musical Tribute To The Songs Of Shel Silverstein",0.488,0.607,7,-8.526,1,0.0585,0.671,0.0,0.258,0.348,115.392
5gC8P6NwgqxcTYnwml5q5j,One Another,Mac DeMarco,This Old Dog,0.82,0.579,5,-9.601,1,0.0279,0.196,0.184,0.113,0.847,104.93
3oxFVT3NByUX7qeQZGivGF,Someone's Missing,MGMT,Congratulations,0.308,0.36,4,-7.79,1,0.0355,0.534,0.032,0.0568,0.0806,80.996
4iG2gAwKXsOcijVaVXzRPW,Time to Pretend,MGMT,Oracular Spectacular,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99
6cmt9CRoK0KGcNg9Tpje53,Riot!,Earl Sweatshirt,Some Rap Songs,0.489,0.624,4,-1.916,0,0.0344,0.834,0.347,0.325,0.574,167.108
0SVvyfRMFMRJzc0L2odX20,Fill In The Blank,Car Seat Headrest,Teens Of Denial,0.339,0.829,9,-7.239,1,0.058,0.00737,1.26e-05,0.0596,0.5,162.794
3BIzHNxAQbRTY4LCp1oMR1,Tesselation,Mild High Club,Skiptracing,0.667,0.407,9,-9.467,1,0.0323,0.138,0.118,0.0961,0.551,73.998
0SfIHS5x1gOCVVvnYFbw26,Windowpane,Mild High Club,Timeline,0.507,0.722,1,-8.164,1,0.0239,9.91e-06,0.0483,0.132,0.303,88.998
3GokI7e8f5hxgFGBHU0Wi2,The Chat,Mild High Club,Timeline,0.355,0.573,1,-8.372,1,0.0435,0.503,0.00562,0.122,0.402,136.742
4jByWjGKnLvbd2YZTOcHep,Note to Self,Mild High Club,Timeline,0.707,0.379,10,-9.93,0,0.0331,0.406,0.000746,0.19,0.677,98.171
7C6hHmGVWw4SzewfvFU2Hc,Sold My Soul,Cut Worms,Nobody Lives Here Anymore,0.466,0.433,2,-9.489,1,0.0304,0.644,2.58e-06,0.093,0.568,145.644
0ZQ0AYmoSQqmPYtI9JP9F9,War on War,Wilco,Yankee Hotel Foxtrot,0.65,0.833,9,-8.446,1,0.0297,0.0323,0.00386,0.233,0.677,131.184
3Rc94e3TOA1K4vHnWeFVrn,The Real World,"Drugdealer, Sheer Agony",The End Of Comedy,0.608,0.359,2,-8.916,1,0.0324,0.489,0.0,0.267,0.293,118.15
4ixHFFLFFvdMhVsZUXSv0E,Face to Face,Track Meat,Amphibian,0.19,0.784,11,-5.755,0,0.0362,0.00595,0.503,0.0895,0.204,175.01
