Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
7CGCtE7X2QNH2jeBroGqDq,In a Jar,Dinosaur Jr.,You're Living All Over Me,0.317,0.941,2,-5.632,1,0.0729,0.000825,0.000651,0.1,0.625,157.958
4IIPo1lJY4IfdGBC0UsnKt,Wanna Mess You Around - B-side,Pavement,Brighten the Corners: Nicene Creedence Ed.,0.399,0.976,11,-4.379,0,0.229,0.0156,0.0,0.308,0.123,115.458
5E5HYgxGMp3BPakHGfKfIB,Roadrunner,The Modern Lovers,The Modern Lovers (Expanded Version),0.462,0.84,2,-6.666,1,0.0346,4.98e-05,6.47e-05,0.0893,0.804,75.54
4y15tYrvSv1c0HxFEJR3wl,What Happened,Sublime,40oz. To Freedom,0.515,0.718,7,-7.241,1,0.228,0.000112,0.0027,0.162,0.687,100.71
7nDdOteeLpysxhVjpZsptm,Beginning To See The Light,The Velvet Underground,The Velvet Underground (45th Anniversary),0.591,0.562,2,-10.439,0,0.0291,0.118,0.702,0.157,0.776,124.401
4dneV7C1yDt9UtyxrQY375,Boys Don't Cry - Single Version,The Cure,Three Imaginary Boys (Deluxe Edition),0.465,0.841,11,-5.767,0,0.0633,0.00486,0.0,0.109,0.689,168.743
41mVbwPB5Gq9yfMdM9zPbb,A Pillar Of Salt,The Thermals,"The Body, The Blood, The Machine",0.218,0.982,11,-3.067,1,0.161,0.0015,0.0,0.42,0.224,171.099
150NSrON3DeZM1aLyz3MoM,Born to Lose,Johnny Thunders & The Heartbreakers,L.A.M.F. - The Lost '77 Mixes,0.395,0.892,11,-8.07,1,0.0537,0.0797,0.0,0.706,0.67,148.43
7lRlq939cDG4SzWOF4VAnd,I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722
6ptzEN5p1hdSxFiLfArq3G,Tony's Theme - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),0.479,0.692,2,-11.988,1,0.179,0.0206,0.0,0.231,0.584,165.307
