Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
04S2P8Gey35cemIoXpm5dq,Hadley,"Papo2oo4, DJ Lucas, Subjxct 5, Finesse Fresco",Continuous Improvement,0.773,0.676,1.0,-3.898,0.0,0.26,0.238,0.0,0.144,0.745,143.233
05lNdqc6FhcsxCfS8lJzyE,Seamus,Pink Floyd,Meddle,0.536,0.087,2.0,-22.912,1.0,0.0384,0.807,0.116,0.102,0.358,71.764
0FTmJYcJZxx9QYhNLEQHHy,Check My Machine - Edit / Remastered 2011,Paul McCartney,McCartney II (Archive Edition),0.663,0.711,0.0,-8.435,0.0,0.0322,0.275,0.0106,0.566,0.9,81.721
0YX1KQpkI2Y2jFbYhhkASg,Fiddle About,The Who,Tommy,0.577,0.391,0.0,-10.81,1.0,0.05,0.778,0.0,0.0837,0.907,112.968
0xxZY5C9xxij3D1HkzbnfC,Monster Mash,"Bobby ""Boris"" Pickett, The Crypt-Kickers",The Original Monster Mash,0.541,0.504,11.0,-14.191,0.0,0.457,0.375,0.0,0.421,0.707,68.482
1AyfLdcECHCAThbj46yF3i,Beep! Beep!,"Louis Prima, Sam Butera & The Witnesses",The Call Of The Wildest (Expanded Edition),0.636,0.489,0.0,-11.162,1.0,0.0974,0.526,0.0,0.122,0.864,79.045
1IWR45a70faZVTduyIRpG9,Put On Your Sunday Clothes,"Jerry Herman, Michael Crawford, Barbra Streisand, Ernest Lehman, Lionel Newman","Hello, Dolly!",0.509,0.368,0.0,-9.836,1.0,0.0454,0.773,0.0,0.261,0.655,94.166
1P8T5xYdASwK4Sfibni85p,Beedle Um Bum,"Jim Kweskin, Maria Muldaur",Acoustic Swing And Jug,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1QFPI3slA71XOdiBV5qti1,The Cruel Angel's Thesis,Yoko Takahashi,Evangelion Finally,0.682,0.793,0.0,-4.388,0.0,0.0527,0.0221,0.000497,0.12,0.464,128.137
1U0JgQRSufNmWPvD9aklZt,A Child of a Few Hours Is Burning to Death,The West Coast Pop Art Experimental Band,A Child's Guide To Good And Evil,0.738,0.474,9.0,-13.625,1.0,0.0401,0.201,0.0788,0.0422,0.819,105.965
1gEEQixCme0QCVju9aP4gQ,Stay Trippy Weirdo,The Baxbys,Meet The Baxbys,0.681,0.56,0.0,-6.556,1.0,0.0339,0.00117,0.136,0.106,0.699,120.036
1sul54EgmdNHBnjKksB187,Sheik of Araby,Leon Redbone,Double Time,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
29Pj4JiHwsQm6d7g5ne5Aw,Vow of Silence,Lemon Demon,Dinosaurchestra,0.722,0.644,0.0,-6.633,1.0,0.0577,0.438,0.0,0.403,0.932,174.981
2MLuFz9Y3Vg3PF0Yf93M5c,800 db cloud,"100 gecs, Laura Les, Dylan Brady",1000 gecs,0.399,0.754,5.0,-5.283,0.0,0.374,0.205,0.0,0.742,0.36,130.475
2NkYE8xCJEe3zJDDMfNejp,Huggin' Chalkin',Hoagy Carmichael,Gonna Get a Girl,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2VTy9WNfs1bG9OvNu4ybn0,"Help, I'm A Rock",The Mothers Of Invention,Freak Out!,0.654,0.607,2.0,-13.63,1.0,0.0428,0.0237,0.0175,0.282,0.927,120.493
2tnPurkbUEOUxLiEBH3bTa,"Ha Ha Ha - 7""",Flipper,Sex Bomb Baby,0.499,0.979,0.0,-7.425,1.0,0.0904,0.000339,0.000504,0.519,0.507,131.122
31NyS3IrW68tX8VeWjJzOl,What Goes On,The Charles River Valley Boys,Beatle Country,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
39sBfuwdqu18LGirpL7jK2,Indiana Jones,Yuno Miles,Indiana Jones,0.537,0.445,9.0,-10.266,1.0,0.311,0.0796,0.0,0.214,0.141,88.912
3JWiDGQX2eTlFvKj3Yssj3,Closed On Sunday,Kanye West,JESUS IS KING,0.799,0.291,11.0,-7.353,0.0,0.0318,0.873,0.000641,0.139,0.406,97.984
3ZvYhbTmbpyyYAXtJKYu4I,Car Song,Woody Guthrie,"The Asch Recordings, Vol. 1-4",0.713,0.201,4.0,-16.61,1.0,0.275,0.923,0.00293,0.12,0.719,122.727
3gLNrBvicuPFGZyLPrOJbz,Old Salty Dog Blues,"Lester Flatt, Earl Scruggs, The Foggy Mountain Boys",Flatt & Scruggs - The Complete Mercury Recordings,0.574,0.549,3.0,-10.442,1.0,0.0287,0.65,0.00406,0.168,0.976,126.22
4LXMraOugzPbV5vMCtbic2,Bogey Wobble - Remastered 2011,Paul McCartney,McCartney II (Archive Edition),0.556,0.444,1.0,-11.509,1.0,0.357,0.942,0.376,0.118,0.397,170.889
4MZyEFyYr3feWTONqH5Lsl,Maxwell's Silver Hammer - Take 12,The Beatles,Abbey Road (Super Deluxe Edition),0.787,0.319,2.0,-13.836,1.0,0.146,0.237,0.000506,0.251,0.702,129.09
4OfYFaToe6L9zhOe6c9npn,Western Mass,Zebu!,Owsley,0.638,0.437,7.0,-20.465,1.0,0.0775,0.777,0.132,0.407,0.746,87.738
4auHEWex4OzZEd7ZHIvW91,Temporary Secretary - Remastered 2011,Paul McCartney,McCartney II (Archive Edition),0.861,0.662,1.0,-9.375,1.0,0.0555,0.572,0.021,0.0382,0.702,132.422
4dEnvGBsGjtfPJEBUSWsq8,Working for the Corporation,"M, Robin Scott",The Official Secrets Act,0.649,0.719,7.0,-9.367,1.0,0.0289,0.693,0.645,0.117,0.96,148.002
4tSTpnw8UYNlroCEo774tm,Bobby Brown Goes Down,Frank Zappa,Sheik Yerbouti,0.594,0.565,0.0,-10.249,1.0,0.175,0.245,0.0,0.123,0.755,136.507
5DAW2q6DYyfNe4npGYKaHt,Stay up Late - 2005 Remaster,Talking Heads,Little Creatures (Deluxe Version),0.604,0.697,11.0,-5.81,0.0,0.0543,0.00829,0.000238,0.0356,0.88,111.277
5KRJutqJJzG6NmtcRCJALY,"Help, I'm a Rock",The West Coast Pop Art Experimental Band,Part One,0.443,0.708,8.0,-10.643,1.0,0.0871,0.297,0.00278,0.0989,0.546,129.307
5U5k9RioW2s5hCU3sT8pP7,I Need Help Immediately,"100 gecs, Laura Les, Dylan Brady",1000 gecs,0.729,0.321,7.0,-9.194,1.0,0.249,0.193,0.0233,0.0941,0.352,91.736
5dZ8PeKKZJLIQAWNTdp8WX,Revolution 9 - Remastered 2009,The Beatles,The Beatles (Remastered),0.208,0.615,2.0,-15.297,0.0,0.342,0.769,0.118,0.824,0.101,91.158
5jK6XaIttAMcsvWCdt5zSA,Greatest Song About Amherst,The Guy Who Sings Songs About Cities & Towns,"Massachusetts Is a Great Commonwealth State, Yes!",0.543,0.511,7.0,-10.029,1.0,0.0708,0.296,0.0,0.152,0.665,122.209
5lFz1vKgbl9f2zK7UDKavf,My Gummie Just Kicked In,Jimmy Buffett,Equal Strain On All Parts,0.54,0.845,4.0,-7.239,0.0,0.0634,0.0275,0.0,0.0813,0.662,173.697
6Jub05dvpbF4Im83NqMCUg,United States Of Whatever,Liam Lynch,Fake Songs,0.452,0.817,7.0,-2.27,1.0,0.273,0.00383,0.0,0.138,0.867,161.362
6WvbMOjKf5y3CAHn4ubwlp,"Yummy, Yummy, Yummy",Ohio Express,The Best of the Ohio Express,0.7,0.718,0.0,-6.967,1.0,0.0296,0.592,0.0022,0.0999,0.967,131.48
6WxcOtGXQ6tWgTbpX6pVKS,Walking on the Moon,Lucia Pamela,Into Outer Space with Lucia Pamela,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6XS1ZQRraiXCIvpE62MibU,Anniversary of World War III,The West Coast Pop Art Experimental Band,A Child's Guide To Good And Evil,--,--,--,--,--,--,--,--,--,--,--
6nUJnuKvGXf1UDk79zSNsq,The Big Apple,"Tommy Dorsey & His Clambake Seven, Edythe Wright",The Seventeen Number Ones,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6vGhb95Ef6uce35WDiYFSH,Darkroom - Remastered 2011,Paul McCartney,McCartney II (Archive Edition),0.627,0.495,1.0,-12.327,1.0,0.14,0.0241,0.041,0.416,0.796,75.186
7Hr2XoaGpIMKbNXCZDZ3le,Awful Things,"Lil Peep, Lil Tracy","Come Over When You're Sober, Pt. 1",0.366,0.797,1.0,-4.923,0.0,0.0812,0.0157,0.0,0.0694,0.181,169.986
7tSdd3PcOqxGo0sXNpcIFC,My Computer,Prince,Emancipation,0.805,0.717,11.0,-5.309,0.0,0.0508,0.089,1.91e-05,0.0786,0.801,90.004
7zPfvP2sFsLxrKqezlvVm4,Don't Worry About the Government - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),0.855,0.575,2.0,-8.68,1.0,0.0343,0.0244,1.64e-06,0.135,0.806,120.705
