Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
3bMc9oRaUWnojCrYTUXXcQ,BRASILIAN SKIES,Masayoshi Takanaka,BRASILIAN SKIES,0.598,0.716,1,-13.154,0,0.037,0.0602,0.537,0.0628,0.876,121.987
0O2o8bVHMlmxtrOBNGHdtv,Heroes And Villains,The Beach Boys,Smile Sessions,0.433,0.451,1,-9.94,1,0.0455,0.378,1.96e-06,0.102,0.351,117.491
0GML1aXwt0GJH8XRvcH7Fl,Corporal Clegg,Pink Floyd,A Saucerful of Secrets,0.202,0.746,2,-7.967,1,0.0659,0.318,0.00281,0.138,0.53,175.804
6Z0Ys3aZD6qPewi2KJi1Yk,Premonitions - The Fantasy,Bobb Trimble,Harvest Of Dreams,0.513,0.675,9,-7.956,1,0.0301,0.386,7.72e-06,0.0864,0.567,97.128
2xRjPWOgR2qXP05crY4QMh,Amazing Air,The Lovin' Spoonful,Revelation: Revolution '69,0.258,0.678,9,-6.256,1,0.0356,0.000741,0.0,0.161,0.0818,141.097
5rxGMcN6GRJmvyRAZ71chn,Steppin' Out - Single Version,Chuck Mangione,The Best Of Chuck Mangione,0.553,0.589,5,-9.178,1,0.0289,0.448,0.623,0.0923,0.714,118.041
3td69vL9Py7Ai9wfXYnvji,When You Die,MGMT,Little Dark Age,0.645,0.938,11,-4.557,0,0.0391,0.0946,0.0226,0.159,0.495,140.886
2wNK1PjIS9NbBIchakaL7k,Siberian Breaks,MGMT,Congratulations,0.305,0.77,2,-6.694,1,0.0276,0.062,0.203,0.0976,0.374,107.367
0SMM9gTpeJqaOE9iUwH3F8,Ride Into the Sun,Lou Reed,Lou Reed,0.33,0.855,2,-7.194,1,0.0447,0.344,0.184,0.0808,0.961,177.901
7xTj9dkCaNL7gIIHVTi8i3,The Battle Of The Locusts,Aphrodite's Child,6 6 6,0.532,0.87,1,-10.757,1,0.0595,0.00877,0.957,0.166,0.774,109.391
5IyL3XOaRPpTgxVjRIAxXU,Ziggy Stardust - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),0.515,0.554,7,-11.616,1,0.0784,0.0478,0.0,0.219,0.509,80.146
6b37xrsNCWYIUphFBazqD6,Me Gustas Tu,Manu Chao,Próxima Estación: Esperanza,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949
12UzVR0M7asW2MHAZRJk0I,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - 1998 Remastered,"Dawn, Tony Orlando",Tuneweaving,0.559,0.615,5,-12.27,1,0.0473,0.283,0.0,0.0957,0.68,87.601
