Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
010ALbbh5KlQ4fKWgSdhRd,Look On Down From The Bridge,Mazzy Star,Among My Swan,0.37,0.0772,0.0,--,1.0,0.0414,0.642,0.69,0.112,0.0954,119.942
01zsHDuDiClVCroMKf9BEv,Gimme The Car,Violent Femmes,Violent Femmes (Deluxe Edition),0.421,0.685,2.0,--,1.0,0.0626,0.474,0.0,0.102,0.583,106.881
02HV4UpfRe7m2szyrs5Mmm,Change - 2005 Digital Remaster,Killing Joke,Killing Joke,0.709,0.685,0.0,--,0.0,0.0897,0.00652,0.541,0.145,0.763,138.018
02Ix5AUiLv1MBl0UP83bE2,Fit and Working Again,The Fall,Slates,0.498,0.974,0.0,--,1.0,0.0602,0.253,0.0169,0.485,0.766,111.741
03wlAd64RaWy8M2iX4pMZm,Forgettable Noise,Hauzu,Hauzu,0.378,0.638,9.0,--,1.0,0.038,0.000118,0.888,0.112,0.0624,119.871
041M2yTQ2Tk4As8O63kF2T,Flipside,The Breeders,Last Splash,0.0952,0.767,6.0,--,1.0,0.0472,0.0132,0.82,0.117,0.489,164.801
04tV3faH3MWBzaNuS8yIy3,Go Man Go,The Breeders,Last Splash (30th Anniversary Edition),0.382,0.638,9.0,--,1.0,0.0308,0.000352,0.254,0.141,0.323,102.633
05RfSYQfBHuzG6g2k3V3yr,Scuba,Bubble Scary,Bubble Scary,0.398,0.773,7.0,--,0.0,0.0296,0.00164,0.153,0.0754,0.322,143.62
06QU2gNnrfU6PaGu2Hiji8,Doe,The Breeders,Pod,0.691,0.434,0.0,--,1.0,0.0392,0.058,0.85,0.0815,0.436,136.711
075m5JKJVuEhXyVBKNdhhz,Deep One Perfect Morning,The Jesus and Mary Chain,Darklands,0.591,0.37,8.0,--,1.0,0.0292,0.344,0.343,0.0913,0.436,93.301
093N3AMhUnOeE4wgNRsBOO,Drunk Walk Home,Mitski,Bury Me At Makeout Creek,0.331,0.357,9.0,--,1.0,0.0339,0.00167,--,0.189,0.322,172.695
0CWLdVMRAmEdrqWG8TR2iZ,Suck,The Jesus and Mary Chain,Never Understand (3 Track EP),0.287,0.729,0.0,--,1.0,0.0467,0.00189,0.00264,0.12,0.155,137.65
0DeSoeQsftHn0kEku7wtRb,Confessions,Violent Femmes,Violent Femmes (Deluxe Edition),0.466,0.36,7.0,--,1.0,0.0709,0.0355,0.00211,0.0899,0.43,119.375
0DwE47YiqMWvReTPtbEaQK,Tell Me So,Bikini Kill,Pussy Whipped,--,--,--,--,--,--,--,--,--,--,--
0E6AHfUAXz6ZqWvVN3AMxU,Fortunately Gone,The Breeders,Pod,0.769,0.379,4.0,--,1.0,0.0406,0.0604,0.109,0.128,0.735,136.432
0G6sYXJ9WiSrteHucEz7sZ,Love Offering,Meat Puppets,Meat Puppets,0.383,0.969,5.0,--,1.0,0.0886,0.011,0.0312,0.388,0.306,117.524
0GHyMTNSkHPmJRBomMcFcQ,Fall,The Jesus and Mary Chain,Darklands,0.401,0.831,3.0,--,1.0,0.0459,0.0608,0.0214,0.142,0.103,129.093
0GyzCMXElXA9zCGRoov3yB,Freedom Rock,Frank Black,Teenager of the Year,0.334,0.852,7.0,--,1.0,0.0325,0.00012,0.00402,0.28,0.592,141.98
0H1iptang6BJiLhp6pvvkT,Bite,Bubble Scary,Bubble Scary,0.489,0.739,7.0,--,1.0,0.0435,0.00404,0.0193,0.15,0.223,108.382
0H9T6kLU7ofoejKdaKlv3v,Prole Art Threat,The Fall,Slates,0.314,0.955,2.0,--,1.0,0.18,0.0154,0.00462,0.33,0.387,94.481
0IUAugkLGELvtFJfzPn2vi,Drunk Girls,LCD Soundsystem,This Is Happening,0.599,0.878,4.0,--,1.0,0.0387,0.000259,0.0258,0.0829,0.814,144.029
0JkicWA5ZqI6T3zZRR4yb6,R.O.D.,The Fall,Bend Sinister,0.445,0.744,9.0,--,0.0,0.0297,0.0121,0.733,0.0531,0.884,139.338
0LmTJN6QFKQ0APV8CV1ebB,Not Too Soon,Throwing Muses,The Real Ramona,0.447,0.915,4.0,--,1.0,0.0367,0.00404,0.848,0.17,0.906,154.121
0PGPZlYEvliR1Or0JC7XpZ,Up on the Sun,Meat Puppets,Up on the Sun,0.477,0.527,4.0,--,1.0,0.0299,0.623,0.851,0.122,0.647,88.054
