Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
72TFWvU3wUYdUuxejTTIzt,Work,"Rihanna, Drake",ANTI (Deluxe),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4B0JvthVoAAuygILe3n4Bs,What Do You Mean_,Justin Bieber,Purpose (Deluxe),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0NTMtAO2BV4tnGvw9EgBVq,Bitch Better Have My Money,Rihanna,Bitch Better Have My Money,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",7/27 (Deluxe),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,"Ariana Grande, The Weeknd",My Everything (Deluxe),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3lSDIJ2abCrOdDJ6pshUap,Close,"Nick Jonas, Tove Lo",Last Year Was Complicated,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2GyA33q5rti5IxkMQemRDH,I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",Handwritten,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4frLb7nWtsz2ymBE6k2GRP,Earned It (Fifty Shades Of Grey),The Weeknd,Beauty Behind The Madness,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5zUQZjVB6bfewBXWqsP9PY,Here,Alessia Cara,Know-It-All,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6LoQHIo74tOzQ8EsLEkhgF,Come & Get It,Selena Gomez,Stars Dance (Bonus Track Version),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7yNX3ZFBWZoR52pbeU4Mcl,Gold,Kiiara,lil kiiwi,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
