Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
0B6xHxWg4g7C9174Cx1d0m,Letters,@,Mind Palace Music,0.417,0.293,11,-14.198,1,0.0277,0.851,2.13e-05,0.113,0.479,96.464
0ClDL3UrFy6vXhuGPKlNMJ,"You Turn Me On, I'm a Radio",Joni Mitchell,For the Roses,0.672,0.444,8,-9.805,1,0.0299,0.783,0.0,0.103,0.652,112.606
0DoSZEwisKRZIsVwyIbdNG,I Got Stung,Bonnie Dobson,Bonnie Dobson,0.613,0.502,10,-9.263,1,0.0306,0.0594,3.36e-05,0.207,0.237,111.63
0EbwESgcK6ilox8ya5E96l,First Journal,@,Mind Palace Music,0.389,0.327,4,-13.611,1,0.0295,0.833,0.273,0.131,0.563,66.793
0HBB3IsqrRDwPkXFcN3Ko0,You Shouldn't Do That,Sleepy John Estes,Presenting Sleepy John Estes,0.749,0.663,8,-5.503,1,0.102,0.952,4.06e-06,0.334,0.8,96.658
0PFDMdp2CkIUrYm2JiYiRG,Loving You,Mad Anthony,The Lost Tapes,0.378,0.584,6,-7.45,1,0.0327,0.953,0.873,0.117,0.48,75.789
0PpmycayWd0U0gN35SUL7d,Oh babe it ain't no lie,Elizabeth Cotten,Freight Train and Other North Carolina Folk Songs and Tunes,0.485,0.146,4,-18.318,0,0.034,0.967,0.058,0.106,0.376,114.175
0TqmaiPcxOILAOhKPppiF2,Copper Kettle,Joan Baez,In Concert,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0p9kp28VdoiuIxgzkzhZLU,Ain't Got No / I Got Life,Nina Simone,Feeling Good: Her Greatest Hits And Remixes,0.551,0.722,7,-3.225,1,0.0311,0.55,0.0,0.101,0.678,113.979
0vlD6vTcdjXOt2eBwBFhRm,Identity,X-Ray Spex,Germ Free Adolescents,0.458,0.944,2,-4.607,1,0.0366,0.0181,4.46e-06,0.0764,0.797,154.855
0xiXl491h3Sb2bsR7KO4W1,I Choose You,Chicago Gangsters,I Choose You (formerly Blind Over You),0.502,0.929,9,-2.069,0,0.0756,0.237,0.000324,0.152,0.456,85.795
1AamIZhVIGxqC7ymapmIai,"Baby, You Gotta Change Your Mind",Blind Boy Fuller,Blind Boy Fuller Vol. 1 1935 - 1936,0.661,0.303,0,-12.922,1,0.194,0.964,0.0661,0.0882,0.725,102.164
