Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
1GRafxm1wx4A31ULSBhKRt,The White Lady Loves You More,Elliott Smith,Elliott Smith,0.358,0.194,2,-18.357,1,0.0381,0.0842,0.000693,0.133,0.305,156.524
7xMklu8GE39dYZBWJMxrBU,L.A.,Elliott Smith,Figure 8,0.439,0.793,9,-5.66,1,0.0349,0.0279,7.09e-05,0.0558,0.396,173.898
4HqRhdpxH9zFUkf1kzbr3H,Ballad Of Big Nothing,Elliott Smith,Either/Or,0.652,0.509,0,-10.244,1,0.0284,0.336,0.00418,0.139,0.666,109.254
4NZTQN3IYbb44aYw0XwOa6,Last Call,Elliott Smith,Roman Candle,0.442,0.448,6,-7.032,0,0.0337,0.231,0.0,0.103,0.213,146.702
040SAslpJAljYm1TANiQJ2,Coming Up Roses,Elliott Smith,Elliott Smith,0.535,0.299,0,-13.52,0,0.0306,0.169,0.0,0.244,0.252,94.112
68BexTzq0mONrcgGqJnkEF,Black Monk Theme - Part 2,The Fall,Extricate (Expanded Edition),0.596,0.817,2,-13.046,1,0.0707,0.0082,0.105,0.271,0.952,134.908
34X9XeLp4NNtOQZXJIEfmx,Divine Hammer,The Breeders,Last Splash,0.344,0.561,3,-13.642,1,0.032,0.089,0.814,0.132,0.632,143.698
0SMM9gTpeJqaOE9iUwH3F8,Ride Into the Sun,Lou Reed,Lou Reed,0.33,0.855,2,-7.194,1,0.0447,0.344,0.184,0.0808,0.961,177.901
7AG284RTvcDG9uHt1NQIbu,"Oh Well, OK",Elliott Smith,XO,0.516,0.353,3,-11.456,1,0.0279,0.444,0.0,0.129,0.321,91.646
4sxVoAf7uvxCSgTCRNDohP,Please Do Not Go,Violent Femmes,Violent Femmes,0.651,0.449,0,-8.412,1,0.0399,0.234,0.0,0.0963,0.832,85.433
1KdwPeY1WRWQGHCmRJTveb,Cannonball,The Breeders,Last Splash,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499
3mVDEFsbVMqfvhssxr5We4,All My Ghosts,Frank Black & The Catholics,Frank Black & The Catholics,0.495,0.827,3,-5.393,1,0.0538,0.00239,0.0,0.354,0.504,113.485
2AqFIGyQtszt9poExltU59,No Name #3,Elliott Smith,Roman Candle,0.573,0.31,9,-12.714,0,0.0287,0.354,0.00213,0.156,0.284,79.438
7nDdOteeLpysxhVjpZsptm,Beginning To See The Light,The Velvet Underground,The Velvet Underground (45th Anniversary),0.591,0.562,2,-10.439,0,0.0291,0.118,0.702,0.157,0.776,124.401
3kMTqc2WNl8ufebsOU2RCb,Bill Is Dead,The Fall,Extricate (Expanded Edition),0.392,0.619,7,-10.963,0,0.0364,3.66e-05,0.792,0.087,0.278,78.933
5ZFcrd1XARxa2MjeZF6t2q,STREET PUNK,TARGET SCAMMERS,TARGET SCAMMERS,0.28,0.995,9,-2.71,1,0.152,0.000127,0.957,0.362,0.159,120.266
1eDfnmvAgfetD1Sdbk0kcG,No Name #1,Elliott Smith,Roman Candle,0.496,0.389,0,-9.802,1,0.0326,0.28,0.0244,0.0532,0.312,72.148
34iOH7LY3vme5rQxsVILZ4,Love Will Tear Us Apart - 2020 Remaster,Joy Division,Love Will Tear Us Apart,0.527,0.923,2,-7.458,1,0.0379,0.000541,0.765,0.127,0.899,146.924
0vwl2Eb9vbY151F7rS4eR7,Totally Wired,The Fall,Totally Wired - The Rough Trade Anthology,0.456,0.558,7,-11.748,1,0.0798,9.84e-05,0.798,0.0993,0.675,167.568
0d7eDUx6JccGdigSPtRiLL,LONG BEACH ALL-STARS,TARGET SCAMMERS,TARGET SCAMMERS,0.386,0.998,4,-2.265,0,0.0882,0.000261,0.963,0.334,0.193,106.169
2c7AnyxXkbemyTEpzprQVx,Bottle Up And Explode!,Elliott Smith,XO,0.59,0.474,4,-9.428,1,0.0323,0.35,0.000389,0.668,0.235,116.926
6BT7qiDY4A5tOyklohjQuW,Monkey Gone to Heaven,Pixies,Doolittle,0.654,0.39,6,-10.638,0,0.0307,0.00418,0.0069,0.271,0.566,116.572
1W0ZDYcuJaxtaV1Fz9zJdn,Lisa Says,Lou Reed,Lou Reed,0.514,0.677,5,-7.369,1,0.207,0.703,0.171,0.108,0.565,80.586
0Ca2mDERpTFmnttcSt9UcR,The Lovely Linda - Remastered 2011,Paul McCartney,McCartney (Archive Collection),0.561,0.272,5,-15.31,1,0.0325,0.323,0.0113,0.24,0.928,119.241
15Iczlf2Xl2s4EiLFrkYeg,Say Yes - Remastered 2017,Elliott Smith,Either/Or (Expanded Edition),0.506,0.107,5,-18.932,1,0.0482,0.861,0.000232,0.103,0.447,153.506
6a43kw0x2xspqwvAlVLNP3,C.R.E.E.P.,The Fall,The Wonderful And Frightening World Of....,0.438,0.639,9,-13.437,1,0.0913,0.0176,5.54e-06,0.0707,0.656,161.875
74D87XkpPozTefTJaGs1oH,Forever - Remastered 2009,The Beach Boys,Sunflower,0.432,0.35,0,-9.852,0,0.0266,0.672,0.000847,0.0932,0.263,73.411
3ZP4DVUDzC2oGJAqd1vhsy,Anything,Suburban Lawns,Suburban Lawns,0.643,0.803,7,-7.703,1,0.0414,0.0358,1.16e-05,0.229,0.966,123.283
6M1NSKQGdJyfWlp0h2eYHD,No Name #2,Elliott Smith,Roman Candle,0.438,0.346,7,-10.006,1,0.0349,0.154,0.0197,0.0626,0.346,148.655
3NYCaxkggl0Hh8vQptSUvV,Enola Gay - Remastered 2003,Orchestral Manoeuvres In The Dark,Organisation,0.559,0.764,2,-7.058,0,0.0348,0.00441,0.0299,0.0807,0.932,143.319
1MQhdLXEHmUWLF0bu7uVff,Child Of Nature - Esher Demo,The Beatles,The Beatles,0.477,0.32,6,-10.596,1,0.0294,0.67,0.0,0.132,0.437,72.062
3wrvcbqlvFU1aT8MZOAQ7t,TARGET SCAMMERS,TARGET SCAMMERS,TARGET SCAMMERS,0.205,0.981,6,-2.882,1,0.0864,2.29e-05,0.956,0.341,0.38,107.377
4Tz0TCqxlpMDDMQWMycyEF,Condor Ave,Elliott Smith,Roman Candle,0.523,0.311,8,-11.204,1,0.0435,0.204,0.0,0.122,0.495,92.502
4cen5a0z9D3ryLbCte2tCQ,All of Me,Willie Nelson,Stardust,0.594,0.481,7,-11.496,1,0.0655,0.47,0.0655,0.168,0.521,144.119
1c8NFAQd29gXd8wdAgK42T,Kute,Alex G,Trick,0.628,0.8,0,-4.04,1,0.0445,0.57,1.43e-06,0.105,0.981,170.3
4B5A7ZCTJQYHCrIUjjnooI,Berlin,Lou Reed,Lou Reed,0.518,0.416,2,-10.357,0,0.0455,0.863,0.402,0.105,0.249,85.28
432cZXiWQjsN8GJgVBFemM,Roman Candle,Elliott Smith,Roman Candle,0.46,0.332,7,-13.977,1,0.0357,0.237,0.002,0.141,0.164,118.183
05RfSYQfBHuzG6g2k3V3yr,Scuba,Bubble Scary,Bubble Scary,0.398,0.773,7,-6.501,0,0.0296,0.00164,0.153,0.0754,0.322,143.62
67gNdta1qUt62Q2heUbKsK,Not Too Soon,Throwing Muses,The Real Ramona,0.446,0.906,4,-13.128,1,0.0353,0.00231,0.889,0.151,0.899,154.177
5ibzGJgUhqJId3IMgzhufM,Hobo's Blues,Paul Simon,Paul Simon,0.589,0.504,10,-12.588,1,0.0584,0.6,0.0,0.0797,0.543,84.216
5vLNdJbLEb1sDdxMEWS4Zn,Rose Parade - Remastered 2017,Elliott Smith,Either/Or (Expanded Edition),0.749,0.447,2,-11.71,1,0.029,0.352,0.772,0.357,0.273,102.39
4a4GUIjeimOUlmwHG0vDfI,Lost in Music,The Fall,The Infotainment Scan,0.47,0.884,7,-6.217,1,0.0727,0.0179,0.0343,0.865,0.528,125.006
4DU4GFHXVgP5FEdc5WO98C,She's My Best Friend,The Velvet Underground,VU,0.583,0.442,0,-16.194,1,0.0331,0.163,5.64e-06,0.38,0.897,133.616
3ixURE8mZsyQuSGH06n9qr,CHLOE,TARGET SCAMMERS,TARGET SCAMMERS,0.261,0.995,4,-3.567,0,0.203,0.00375,0.96,0.443,0.0717,101.174
5s8bUG0uAxrhnZXfudLSPH,Pictures Of Me - Remastered 2017,Elliott Smith,Either/Or (Expanded Edition),0.608,0.493,2,-7.329,0,0.0281,0.0931,3.13e-05,0.119,0.328,134.703
7nkTtw9MYXVKooU8sz2SXH,In Your Walls,Bubble Scary,Bubble Scary,0.324,0.721,0,-7.31,0,0.0411,0.00358,0.0428,0.101,0.144,112.723
5xWXNoxBbZd0p0NWOn7YCX,Black Monk Theme - Part 1,The Fall,Extricate (Expanded Edition),0.544,0.765,6,-9.662,1,0.0657,0.149,0.0268,0.0434,0.654,116.459
3DEPs22WbdCx2jaVaGUNRJ,Australia - Mono Mix,The Kinks,Arthur (Super Deluxe Edition),0.35,0.909,8,-4.735,1,0.0834,0.0234,0.0102,0.132,0.682,98.785
6tPiCU4LFsXUQPRIykOAnl,Son Of Sam,Elliott Smith,Figure 8,0.522,0.79,9,-6.242,1,0.0252,0.00581,0.00102,0.288,0.244,96.062
0iqT2oJeUmrBQDxLi9oKOb,Look Away,Bubble Scary,Bubble Scary,0.308,0.733,3,-7.14,1,0.0626,0.00305,0.131,0.21,0.343,171.461
3XyBbqSu3kAV6osmplX4UC,Evie (I'm Losing You),Stevie Wright,Hard Road,0.476,0.869,6,-4.724,0,0.0452,0.00138,0.0,0.0888,0.529,125.309
5pT6ORhZsIq14smtQp3POM,Tame,Pixies,Doolittle,0.567,0.588,0,-11.872,1,0.0749,0.000302,0.788,0.276,0.918,137.546
