Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
02KpkaZbiutsR0ucxce4Sh,This Will Be Our Year,The Zombies,Odessey and Oracle,0.535,0.424,9,-7.491,1,0.0314,0.626,0.0,0.191,0.539,97.506
05lNdqc6FhcsxCfS8lJzyE,Seamus,Pink Floyd,Meddle,0.536,0.087,2,-22.912,1,0.0384,0.807,0.116,0.102,0.358,71.764
05uGBKRCuePsf43Hfm0JwX,Brain Damage,Pink Floyd,The Dark Side of the Moon,0.324,0.265,2,-13.398,1,0.0302,0.0732,0.341,0.366,0.208,133.568
06YcuDoEZvMcxgzvtzJTz4,Did You Ever Have to Make up Your Mind_,The Lovin' Spoonful,Do you Believe In Magic,0.789,0.5,7,-9.064,1,0.0342,0.761,0.0,0.181,0.945,120.214
077OhUjy58qkjscrXjW696,The Show Must Go On,Pink Floyd,The Wall,0.571,0.198,7,-16.919,1,0.0294,0.435,0.125,0.262,0.326,129.024
07KYQySlrmE94gaLbhvp4X,Over Under Sideways Down - The Mono Album,The Yardbirds,Roger the Engineer,0.529,0.861,11,-10.581,1,0.0784,0.292,0.225,0.314,0.387,96.52
0AXPeNSKbgKNQvSGtctShh,Onie,The Electric Prunes,Electric Prunes,0.407,0.147,5,-19.775,1,0.0454,0.818,0.00501,0.166,0.148,112.365
0BbygF1OvASFc7iF3mk9x4,Jug Of Wine,The Lovin' Spoonful,Revelation: Revolution '69,0.562,0.294,0,-12.908,1,0.0397,0.344,0.00618,0.148,0.233,82.739
0DQqzCHlPyKQXfF8uL01SI,Sunny Afternoon,The Kinks,Face to Face (Deluxe),0.595,0.462,2,-8.414,0,0.0259,0.102,0.0,0.0641,0.526,124.991
0ESdtt9cjGZUkUbaubSrv2,Goodbye Blue Sky,Pink Floyd,The Wall,0.638,0.0811,7,-22.646,1,0.0335,0.879,0.00313,0.314,0.0503,109.154
0EaLRxrtnq7Mqhdf8q9txr,Run Like Hell,Pink Floyd,The Wall,0.717,0.499,9,-15.449,1,0.0354,0.0233,0.445,0.86,0.419,116.974
0HLIhUYvZdxemJ5vHJsSBy,Tommy Can You Hear Me_,The Who,Tommy,0.632,0.366,0,-10.555,1,0.0322,0.297,0.0,0.0974,0.882,125.714
0JKWRYAxDyWqS14WmtLFOf,"Wharf Rat - Live at Fillmore East, New York, NY, April 26, 1971",Grateful Dead,Grateful Dead (Skull & Roses) [Live],0.401,0.561,2,-10.432,1,0.0297,0.118,0.0711,0.0985,0.459,120.117
0Ly4wvpmDlFjh0h2CsmpVh,Sparks,The Who,Tommy,0.513,0.455,11,-13.004,1,0.0427,0.461,0.905,0.121,0.0366,140.41
0NkqCdYDySVdBoeGs4Nywe,Wear Your Love Like Heaven,Donovan,A Gift From A Flower To A Garden,0.619,0.557,7,-10.715,0,0.0351,0.404,0.0,0.181,0.831,116.065
0SWDyeULu38YyMnyf6DZw6,Me About You,The Lovin' Spoonful,Revelation: Revolution '69,0.414,0.31,2,-12.418,1,0.0286,0.271,0.119,0.0988,0.353,63.711
0UxXocASq2ToyrRGFfjEUx,Ogre Battle - Remastered 2011,Queen,Queen II,0.279,0.822,2,-9.657,1,0.0923,0.418,0.00573,0.618,0.266,108.544
0YX1KQpkI2Y2jFbYhhkASg,Fiddle About,The Who,Tommy,0.577,0.391,0,-10.81,1,0.05,0.778,0.0,0.0837,0.907,112.968
0YveezON7jpiaHA8fnUHxN,Roundabout - 2003 Remaster,Yes,Fragile (Deluxe Edition),0.41,0.761,4,-9.453,0,0.0687,0.0685,0.00772,0.0758,0.392,132.923
0ZXkKRO789QKBR6ME7pIDF,Goodbye Cruel World,Pink Floyd,The Wall,0.472,0.0118,2,-31.734,1,0.0397,0.783,0.799,0.247,0.0698,102.949
