Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
6NkzKmPgDTG8zHL7PtydBh,Satellite of Love - Demo Version; 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,0.478,0.567,5,-8.855,1,0.0485,0.335,0.0,0.127,0.536,128.924
4MNxOR2Fu4NqJ892UdYx0h,Bob Dylan's Dream,Bob Dylan,The Freewheelin' Bob Dylan,0.48,0.247,7,-15.929,1,0.0311,0.747,2.86e-06,0.0745,0.422,109.646
2lkwyf1LLKLyWP0kVmxf5e,Lookin' At Tomorrow (A Welfare Song) - Remastered 2009,The Beach Boys,Surf's Up,0.493,0.153,5,-19.809,0,0.0613,0.801,2.24e-05,0.157,0.134,135.884
4Dgus4Z1Dtbkv3BOnuwFf5,"This Is Not a Song, It's an Outburst: Or, the Establishment Blues",Rodríguez,Cold Fact,0.625,0.684,4,-6.494,1,0.195,0.684,0.0,0.115,0.833,119.779
39FFlqltctkj6vkIcVgkec,You And Me,Penny & The Quarters,Penny & the Quarters EP,0.578,0.178,5,-7.812,1,0.033,0.946,8.65e-06,0.121,0.256,111.555
2TM24qZOOgsmA94g6Ovy48,Nobody Knows,Pastor T.L. Barrett and the Youth for Christ Choir,Like a Ship (Without a Sail),0.372,0.817,8,-9.294,1,0.0586,0.0588,0.000589,0.105,0.741,186.122
0WAEGVylZjbe2mQ6Or6HxY,Cannock Chase,Labi Siffre,"Crying, Laughing, Loving, Lying",0.381,0.484,6,-11.858,0,0.0334,0.861,0.931,0.129,0.492,123.7
4KROoGIaPaR1pBHPnR3bwC,Pink Moon,Nick Drake,Pink Moon,0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344
4QxDOjgpYtQDxxbWPuEJOy,L-O-V-E,Nat King Cole,L-O-V-E,0.425,0.373,4,-7.543,1,0.0801,0.686,0.0,0.077,0.663,78.231
3KzgdYUlqV6TOG7JCmx2Wg,Beyond the Sea,Bobby Darin,That's All,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483
2kyVQg00pphEufGT59M2XH,(They Long To Be) Close To You,Carpenters,Close To You,0.528,0.233,8,-15.362,1,0.0346,0.726,0.000108,0.122,0.208,89.044
3spdoTYpuCpmq19tuD0bOe,My Way,Frank Sinatra,My Way (Expanded Edition),0.401,0.381,2,-7.458,1,0.0274,0.7,0.0,0.122,0.229,75.454
3GgvAt2Cyp7GRhYy9Luus1,Sittin On Top Of The World,Doc Watson,Doc Watson,0.547,0.127,3,-21.435,1,0.0373,0.892,1.58e-05,0.112,0.73,89.404
30jEnUWPJIt6zh25s2Kbh0,Little Green Apples - Single Version,Roger Miller,A Tender Look At Love,0.507,0.18,0,-18.607,1,0.0529,0.867,0.037,0.13,0.42,102.275
6vqmpTineKzSlk75E7nrHf,Mississippi Heavy Water Blues,Roscoe Holcomb,Close To Home,0.66,0.136,1,-22.069,1,0.0425,0.851,0.00317,0.084,0.625,123.333
