Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
00R0fEFZGb5hyTgF1nrRCq,Look Over Your Shoulder (feat. Kendrick Lamar),"Busta Rhymes, Kendrick Lamar",Extinction Level Event 2: The Wrath of God,0.6,0.887,0.0,-4.345,1.0,0.311,0.0438,0.0,0.68,0.681,77.896
011ZwIM48eD8ee2UBpG8nK,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)","Childish Gambino, 21 Savage, Ink, Kadhja Bonet",3.15.20,0.691,0.524,5.0,-9.718,1.0,0.16,0.197,4.29e-05,0.488,0.41,164.047
01z2fBGB8Hl3Jd3zXe4IXR,Come Back to Earth,Mac Miller,Swimming,0.272,0.238,2.0,-12.148,0.0,0.0349,0.89,0.00925,0.275,0.119,83.507
02LAK7qT1wya0klSeNO96f,RoboCop,Kanye West,808s & Heartbreak,0.698,0.447,5.0,-8.04,0.0,0.102,0.157,0.00564,0.405,0.407,133.776
03ImchswSXPA2KzLrc9hAL,Backpackers,Childish Gambino,Camp,0.547,0.865,5.0,-5.778,0.0,0.446,0.29,0.0,0.0874,0.528,170.651
03MWa1FMygR3RrQoQytsjS,Cudi Zone,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),0.706,0.691,9.0,-5.86,0.0,0.0338,0.546,1.3e-06,0.366,0.599,134.751
04S2P8Gey35cemIoXpm5dq,Hadley,"Papo2oo4, DJ Lucas, Subjxct 5, Finesse Fresco",Continuous Improvement,0.773,0.676,1.0,-3.898,0.0,0.26,0.238,0.0,0.144,0.745,143.233
05zd5Nv0e02ZqrlC8A2cwx,United In Grief,Kendrick Lamar,Mr. Morale & The Big Steppers,0.529,0.845,8.0,-8.142,1.0,0.404,0.244,0.0,0.143,0.331,85.63
06WD650Zt5MQ55kFMP2f3r,Fire Fly,Childish Gambino,Camp,0.624,0.881,11.0,-3.696,0.0,0.282,0.16,0.0,0.27,0.529,87.268
078C2jXg7XsMgW78Gfx1JA,SMUCKERS (feat. Lil Wayne & Kanye West),"Tyler, The Creator, Lil Wayne, Kanye West",Cherry Bomb,0.427,0.849,7.0,-2.945,1.0,0.348,0.015,0.00373,0.153,0.55,79.155
08kB9HSfrcIi83rymwgjMz,Weapon of Choice,Fatboy Slim,The Greatest Hits: Why Try Harder,0.626,0.947,8.0,-4.608,0.0,0.057,0.136,0.78,0.209,0.959,195.972
09IOPhEh1OMe0HD9b36FJk,Over Now,Post Malone,beerbongs & bentleys,0.569,0.777,4.0,-4.041,0.0,0.0834,0.137,0.0,0.132,0.181,164.029
09xpQPfKWdio1wx6v17dGa,SAFARI,"Tyler, The Creator",CALL ME IF YOU GET LOST,0.471,0.71,1.0,-6.462,0.0,0.213,0.0618,1.7e-06,0.338,0.599,80.453
0AOvNRgl0SMfOibWA5bP8o,Money Trees,"Kendrick Lamar, Jay Rock","good kid, m.A.A.d city (Deluxe)",0.716,0.531,7.0,-7.355,1.0,0.157,0.0709,0.0,0.22,0.335,71.972
0AYJ0EyS83IPvrPwuV7KoQ,Man In The Hat,Mac Miller,Blue Slide Park,0.777,0.788,7.0,-8.025,1.0,0.203,0.545,0.0,0.0997,0.546,128.218
0BiK5BbYNFLb88CCOxBFJe,LUMBERJACK,"Tyler, The Creator",CALL ME IF YOU GET LOST,0.386,0.762,9.0,-6.341,1.0,0.564,0.122,0.0,0.527,0.433,170.691
0CokSRCu5hZgPxcZBaEzVE,Glorious (feat. Skylar Grey),"Macklemore, Skylar Grey",GEMINI,0.731,0.794,0.0,-5.126,0.0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994
0Etjx0wbI3vCJAA054J5ZY,Diamonds & Gold,Mac Miller,Blue Slide Park,0.438,0.793,5.0,-6.883,0.0,0.346,0.109,0.0,0.241,0.462,175.876
