Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
78ocJAEFOYKVjYgXZ8fggD,I Melt With You - Rerecorded,Modern English,Pillow Lips,0.53,0.647,0,-11.221,1,0.0327,0.00223,0.485,0.454,0.726,154.818
4dneV7C1yDt9UtyxrQY375,Boys Don't Cry - Single Version,The Cure,Three Imaginary Boys (Deluxe Edition),0.465,0.841,11,-5.767,0,0.0633,0.00486,0.0,0.109,0.689,168.743
76GlO5H5RT6g7y0gev86Nk,Just like Heaven,The Cure,"Kiss Me, Kiss Me, Kiss Me",0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219
1xaTREM89RbIxkcjlpf4Uw,Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,Hatful of Hollow,0.609,0.759,6,-4.862,1,0.0276,0.028,0.0,0.183,0.774,114.045
1FvDJ9KGxcqwv1utyPL3JZ,This Charming Man - 2011 Remaster,The Smiths,The Smiths,0.611,0.846,11,-5.9,1,0.0436,0.00509,0.0,0.0784,0.751,103.912
4dk40nfaQav6b4ZsJ9OYUo,Love My Way,The Psychedelic Furs,Forever Now,0.637,0.85,0,-5.054,1,0.0351,0.00487,0.00018,0.152,0.52,126.106
7mX1juiy9zR3MM2K39Sa7r,Marlboro Nights,Lonely God,Marlboro Nights,0.497,0.825,2,-6.772,1,0.278,0.00166,0.000284,0.361,0.812,87.943
263aNAQCeFSWipk896byo6,Friday I'm in Love,The Cure,Wish,0.526,0.762,0,-12.437,0,0.0342,0.000972,0.000116,0.338,0.505,136.203
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067
0SMkzFGJOBFDI9KfYD55L0,There She Goes,The La's,The La's (Deluxe Edition),0.536,0.854,7,-6.907,1,0.0298,0.0129,0.743,0.156,0.905,122.733
7BvuV4c1BGhaRapcXvRu5z,You Might Think,The Cars,Heartbeat City,0.71,0.774,2,-9.335,1,0.0333,0.141,0.0136,0.0348,0.966,133.924
4alHo6RGd0D3OUbTPExTHN,Just What I Needed,The Cars,The Cars,0.62,0.579,4,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.691,127.215
0odIT9B9BvOCnXfS0e4lB5,Bette Davis Eyes,Kim Carnes,Mistaken Identity,0.675,0.649,5,-10.271,1,0.0319,0.0204,0.0,0.0959,0.596,116.62
4aWn4NHlELpOehxsBaQeoe,Don't You (Forget About Me),Simple Minds,Once Upon A Time (Deluxe),0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346
3OM0cHwmJv6ZpsCgrEzXPh,Dance Hall Days,Wang Chung,Points On The Curve,0.663,0.588,0,-14.416,1,0.0405,0.259,0.00626,0.221,0.537,102.738
3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,Who's Next - Deluxe Edition,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292
4S1VYqwfkLit9mKVY3MXoo,Forever Young,Alphaville,Forever Young,0.489,0.482,9,-9.466,0,0.0275,0.417,0.00227,0.235,0.33,136.803
4ByEFOBuLXpCqvO1kw8Wdm,(I Just) Died In Your Arms,Cutting Crew,Broadcast,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945
7fJnj6rso7N95oztvsxrWD,Dancing with Myself - 2001 Remaster,"Billy Idol, Generation X",Anthology,0.387,0.886,4,-6.981,1,0.0617,5.83e-05,0.275,0.219,0.757,176.426
00QWoDi7GDuDstFq07HylN,I'm So Sorry,"Beeef, Sidney Gish",Bull in the Shade,0.554,0.743,10,-9.978,1,0.0297,0.023,0.00541,0.259,0.706,137.059
7jeOETwLUP84mPQzxlD5nh,Then He Kissed Me,The Crystals,Da Doo Ron Ron: The Very Best of The Crystals,0.431,0.678,4,-7.945,1,0.0365,0.7,6.37e-06,0.199,0.633,135.919
39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,Duran Duran,Rio (Collector's Edition),0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568
