Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
007mKIn7XPKaX4XtBDSOSP,The Void,The Raincoats,The Raincoats,0.374,0.675,2,-8.016,1,0.0401,0.055,0.0164,0.0732,0.267,105.273
01E4LxSBkicxbOlPQKu98Z,Stinker,The Chats,High Risk Behaviour,0.279,0.92,11,-5.847,0,0.167,0.00296,2.12e-06,0.327,0.762,188.91
01S0r3t4tcHPkNyll414mT,Even In His Youth - B-Side,Nirvana,Nevermind (Super Deluxe Edition),0.443,0.975,7,-4.082,1,0.0751,4.21e-05,0.0106,0.358,0.33,142.763
041M2yTQ2Tk4As8O63kF2T,Flipside,The Breeders,Last Splash,0.0952,0.767,6,-7.232,1,0.0472,0.0132,0.82,0.117,0.489,164.801
06QU2gNnrfU6PaGu2Hiji8,Doe,The Breeders,Pod,0.691,0.434,0,-19.263,1,0.0392,0.058,0.85,0.0815,0.436,136.711
07aj67H7LBe0oRakh3YBeh,Guilty Of Being White,Minor Threat,First Two Seven Inches,0.338,0.98,2,-5.693,1,0.0677,0.155,2.59e-06,0.257,0.35,92.894
0Coz1qPuvT860fwTCAFga2,Downer,Nirvana,Bleach (Deluxe Edition),0.345,0.932,4,-6.109,0,0.112,0.000401,0.546,0.185,0.508,100.961
0DSzVr2600Pc0TLXwF48wB,Words Come Back,The Hated,The Best Piece of Shit Vol. 3,0.227,0.993,0,-4.213,1,0.0912,0.000112,0.00391,0.224,0.113,142.273
0DwE47YiqMWvReTPtbEaQK,Tell Me So,Bikini Kill,Pussy Whipped,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0E6AHfUAXz6ZqWvVN3AMxU,Fortunately Gone,The Breeders,Pod,0.769,0.379,4,-19.204,1,0.0406,0.0604,0.109,0.128,0.735,136.432
0KqJ382ViEljiCYchfGwlK,Panic Attack,The Chats,Get Fucked,0.674,0.897,0,-4.37,1,0.116,0.0275,0.00206,0.0603,0.627,120.524
0MLliNQoGVuYmjkrLVORhC,Halloween 3.5,Rozwell Kid,Too Shabby,0.151,0.723,10,-5.826,1,0.0638,0.00163,0.000188,0.133,0.254,92.265
0PFRTA04YOjj4VT3O6MpgP,Old World,The Modern Lovers,The Modern Lovers (Expanded Version),0.528,0.796,9,-8.668,0,0.0294,0.0104,0.00251,0.115,0.889,136.418
0QVOp4pk3QuADsg1Atroe2,Cut,The Cure,Wish,0.427,0.866,4,-10.822,0,0.051,0.0402,0.0,0.482,0.498,134.134
0R0m9mTXa81zp1qtcU3dSR,Regular John,Queens of the Stone Age,Queens of the Stone Age,0.342,0.938,5,-6.368,1,0.0325,0.0187,0.125,0.272,0.757,145.547
0R4l2uRfvKmalvsl6XJtrm,Kracked,Dinosaur Jr.,You're Living All Over Me,0.166,0.969,0,-5.324,1,0.096,0.0598,0.0201,0.947,0.312,164.24
0TxnjSeZXBJkojjHV9GEhq,She Cracked,The Modern Lovers,The Modern Lovers (Expanded Version),0.518,0.831,2,-6.823,1,0.0292,0.000149,2.96e-05,0.202,0.506,146.322
0UQHlRhFOUsoCzh2BqpLvk,Cabaret,FRAUD,FRAUD,0.0691,0.953,1,-3.394,1,0.0871,0.0,0.899,0.212,0.147,183.262
0WIbzDVEpmOyBnqqdtqIL9,Teen Age Riot (Album Version),Sonic Youth,Daydream Nation (Deluxe Edition),0.286,0.907,7,-9.67,1,0.0374,0.000277,0.202,0.0837,0.746,156.395
0WtFmCcUzJwfz0xpwziODV,Graveyard,Dead Moon,In the Graveyard,0.358,0.956,4,-5.782,0,0.0826,0.00111,8.53e-06,0.25,0.251,150.165
0YJ9FWWHn9EfnN0lHwbzvV,Jigsaw Falling Into Place,Radiohead,In Rainbows,0.462,0.832,11,-6.085,0,0.0479,0.108,0.00416,0.0741,0.807,165.653
0YvYEHmWryyMRoCznrkm9p,So Ya Wanna Be a Cop_,Leftöver Crack,Leftöver Leftöver Crack,0.331,0.956,9,-7.324,1,0.168,0.00298,7.68e-06,0.373,0.233,105.12
0aHSNMugqIGHxc1G1haX8B,No Life Singed Her,Pavement,Slanted & Enchanted,0.403,0.902,7,-5.209,1,0.0728,0.000907,0.0854,0.297,0.0731,131.766
0brL7VMo7onJJTGMSdajic,Molly's Lips - BBC John Peel Session 1990,Nirvana,Incesticide,0.311,0.895,7,-9.401,1,0.0476,1.91e-05,0.195,0.0584,0.681,167.107
0gql41c0VDulEy6oRGtnuc,Foolish Americans,Fearless Iranians From Hell,Die For Allah/Foolish Americans,0.479,0.939,2,-13.127,1,0.0607,0.0103,1.02e-06,0.291,0.156,123.54
0jmKzJmUEKNbC7eU8YfOiA,Mayonaise - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),0.482,0.528,10,-10.426,1,0.0272,0.000107,0.543,0.0839,0.0882,146.043
0k9tUFpXZg7TvMZk4l6OTa,(New Wave) Polly - BBC Mark Goodier Session,Nirvana,Incesticide,0.333,0.926,0,-11.385,1,0.185,6.8e-06,9.07e-05,0.144,0.482,194.839
0kbYm57pZ3V3VEjcXQzHAq,I Ran Away,Dinosaur Jr.,Sweep It Into Space,0.366,0.887,7,-6.592,1,0.102,0.0692,1.48e-05,0.136,0.669,152.601
0lBO2VOhlNNx879Fjd9XY3,Velouria,Pixies,Bossanova,0.488,0.634,6,-12.596,1,0.0329,0.00181,0.245,0.0819,0.508,124.624
0lDoG5fQ9cmpvpenwR7Jln,Incinerate,Sonic Youth,Rather Ripped,0.446,0.866,8,-8.016,1,0.0342,0.0794,0.543,0.137,0.455,152.172
0lWSwb3y9pqMQ4AcaMbs7x,Forget The Swan,Dinosaur Jr.,Dinosaur,0.346,0.944,9,-3.733,0,0.0934,0.0022,0.00922,0.0548,0.709,75.872
0nH4OFO4PasjNGvQv1Z36s,About A Girl,Nirvana,Bleach (Deluxe Edition),0.413,0.875,6,-7.48,0,0.031,5.13e-06,0.00058,0.209,0.575,131.951
0oPnyCLqcn2ZNzwy5pLKDR,"Holy Fucking Shit: 40,000",Have A Nice Life,Deathconsciousness,0.427,0.388,0,-11.005,0,0.0332,0.89,0.96,0.268,0.139,122.274
0p6zIp0G0Or5QSdJX7cLhk,Temperature,The Chats,Get This In Ya,0.441,0.678,2,-7.935,1,0.141,0.103,0.00011,0.11,0.188,175.753
0rcLhYRihks3t4lFPtHhQV,She's Lost Control - 2007 Remaster,Joy Division,Unknown Pleasures (Collector's Edition),0.485,0.846,11,-7.63,0,0.0528,0.0157,0.0287,0.0766,0.743,144.246
0s3HklFRJdU1HgxQbLOo2k,"Small Man, Big Mouth",Minor Threat,First Two Seven Inches,0.41,0.9,0,-7.486,1,0.0566,0.00941,0.00268,0.353,0.875,98.437
0u5aO1GYsIhAWCPuXdwnak,Today - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),0.456,0.826,8,-7.611,1,0.0268,3.35e-05,0.57,0.0548,0.415,82.539
0vNHCXmNzVa8h54SE3JDm7,"Endless, Nameless",Nirvana,Nevermind (Remastered),0.271,0.959,7,-5.866,1,0.125,0.000256,0.854,0.0858,0.0642,131.846
0vlD6vTcdjXOt2eBwBFhRm,Identity,X-Ray Spex,Germ Free Adolescents,0.458,0.944,2,-4.607,1,0.0366,0.0181,4.46e-06,0.0764,0.797,154.855
0wHAqXzMjoAeOC2aAFNVAS,What's Important,Beat Happening,Beat Happening,0.324,0.95,4,-5.213,1,0.0731,0.168,0.0341,0.324,0.76,68.63
