Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
7Hr2XoaGpIMKbNXCZDZ3le,Awful Things,"Lil Peep, Lil Tracy","Come Over When You're Sober, Pt. 1",0.366,0.797,1,-4.923,0,0.0812,0.0157,0.0,0.0694,0.181,169.986
6VrCmhRBFnuGKmtNfk4jDs,Spotlight,"Marshmello, Lil Peep",Spotlight,0.546,0.822,7,-4.483,1,0.151,0.0145,0.0,0.742,0.615,150.06
3H2JThgdBxezwj1wwafQS8,All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989
3RWM7z6BF8C6z9ypLtxz4M,Lean Wit Me,Juice WRLD,Goodbye & Good Riddance,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,?,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,17,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,?,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009
4H7WNRErSbONkM06blBoGc,Stay,Post Malone,beerbongs & bentleys,0.506,0.48,5,-5.418,1,0.0266,0.449,0.0,0.147,0.351,86.042
0X8DcetL926BYiPJYstJTc,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903
4vaxvNDaLSoD36iZX515ug,Betrayed,Lil Xan,TOTAL XANARCHY,0.821,0.434,10,-9.194,0,0.118,0.434,0.0,0.128,0.241,120.012
7hf89cT5FEmLV5E9fjrjG7,beamer boy,"Lil Peep, Nedarb",beamer boy,0.743,0.732,8,-4.511,1,0.104,0.0509,1.77e-05,0.227,0.339,123.994
27oFpFktCq9JIXjJQRuv7a,GOTTI,6ix9ine,Day69: Graduation Day,0.728,0.584,10,-7.255,0,0.176,0.0524,0.0,0.0658,0.365,161.9
0Dn40gxVCMo5TkgS8Ik18Q,Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",Falling Down (Bonus Track),0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013
1Cx37RLHtu6ZWA0W1uGkai,Avoid,"Lil Peep, Wicca Phase Springs Eternal, døves",Avoid,0.56,0.531,8,-6.14,0,0.0484,0.396,0.0,0.103,0.289,79.789
5gFmgXPCLu9xIfMUXSbRru,YEAH RIGHT,Joji,YEAH RIGHT,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033
0UyljEbX9dqI1K0sqdv6B6,SLOW DANCING IN THE DARK,Joji,SLOW DANCING IN THE DARK,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964
3PjjsUGnolHBjJuQqrp82y,Crybaby,Lil Peep,Crybaby,0.313,0.469,3,-12.731,1,0.0642,0.314,0.0,0.522,0.199,96.849
3kBD2xHIqKWXjLAGidDTSz,Benz Truck (gelik),Lil Peep,"Come Over When You're Sober, Pt. 1",0.602,0.762,2,-6.149,0,0.0347,0.0498,0.00819,0.121,0.113,92.02
195tLQNU9PVyMnGnK1BsSq,Drive By,"Lil Peep, Xavier Wulf",Hellboy,0.455,0.602,10,-9.308,0,0.0349,0.000298,1.52e-05,0.0904,0.518,133.995
3Bo3lNVQTtZYMCoItX8dKW,P.S Fuck You Cunt (feat. Lil Peep),"Fat Nick, Lil Peep",When the Lean Runs Out,0.723,0.459,11,-10.259,1,0.239,0.00096,0.0,0.11,0.313,139.972
6YpeAOTnjcpT1KjEtFGMi9,Driveway,Lil Peep,Cry Baby,0.501,0.416,11,-11.787,1,0.0443,0.0182,0.0,0.137,0.212,135.84
1DMEzmAoQIikcL52psptQL,TEST DRIVE,Joji,BALLADS 1,0.646,0.648,3,-8.602,1,0.0372,0.71,0.00316,0.108,0.466,75.004
7wvwXi9Z66dcH5t202vVkN,Will He,Joji,In Tongues (Deluxe),0.618,0.217,10,-15.372,1,0.0515,0.836,0.000163,0.538,0.0872,116.014
7ewESHEg3P3JN66IcWwDho,CAN'T GET OVER YOU (feat. Clams Casino),"Joji, Clams Casino",CAN'T GET OVER YOU (feat. Clams Casino),0.9,0.316,9,-8.797,1,0.332,0.684,0.0771,0.0853,0.844,129.914
5aqu5xhPqoOWqF71PkfgM8,ATTENTION,Joji,BALLADS 1,0.787,0.312,7,-12.401,1,0.0383,0.895,0.0224,0.115,0.425,119.899
435yU2MvEGfDdmbH0noWZ0,worldstar money (interlude),Joji,In Tongues,0.577,0.387,7,-8.607,1,0.274,0.964,0.705,0.208,0.459,146.565
606F3qdYCXtDVtKN53YsuW,I'LL SEE YOU IN 40,Joji,BALLADS 1,0.411,0.377,3,-9.553,1,0.0296,0.347,0.765,0.222,0.0321,139.881
5xwKCPdE3kyU0XwqfbyQsx,Pills,Joji,In Tongues (Deluxe),0.454,0.407,11,-10.733,1,0.0739,0.582,0.774,0.117,0.242,81.401
72Qo3U5apeuv91j9BEqJBM,I Don't Wanna Waste My Time,Joji,In Tongues (Deluxe),0.403,0.234,4,-17.865,1,0.0531,0.761,0.0618,0.123,0.13,144.226
