Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
4hZfyDrxwiuQpfGOt3qCis,Soft Lamp / Palm Reader,Monster Rally,Coral,0.336,0.843,0,-11.031,1,0.0394,0.702,0.864,0.164,0.578,172.87
5BaQAjSexNiraT4MJbO9cR,Stairway To Heaven,"Tiny Tim, Brave Combo",Girl,0.605,0.327,11,-15.001,0,0.0422,0.795,0.0,0.32,0.771,113.686
0ScgmigVOJr2mFsAtwFQmz,Fight Test,The Flaming Lips,Yoshimi Battles the Pink Robots,0.49,0.985,9,-2.386,1,0.0639,0.0404,1.77e-05,0.304,0.886,82.043
52SCT6ImFklqEhH21lgErO,Sweet City Woman,Stampeders,Against the Grain,0.696,0.736,7,-7.283,1,0.048,0.255,0.0,0.117,0.917,88.133
4hZfyDrxwiuQpfGOt3qCis,Soft Lamp / Palm Reader,Monster Rally,Coral,0.336,0.843,0,-11.031,1,0.0394,0.702,0.864,0.164,0.578,172.87
1L5tZi0izXsi5Kk5OJf4W0,Rehab,Amy Winehouse,Back To Black,0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83e-06,0.396,0.732,71.515
1aOzDhi5a1RWWRy5dmYA8I,Revolution 1 - Remastered 2009,The Beatles,The Beatles (Remastered),0.386,0.626,9,-9.451,1,0.0377,0.0785,0.00164,0.621,0.695,98.425
5Ss6DqCldgTmIo6BekVOJT,You Say I'm in Love,Banes World,You Say I'm in Love,0.625,0.285,1,-16.686,0,0.0537,0.438,0.00279,0.192,0.357,140.02
4bN43jYf41eIjJZ3UXQpuA,Hold On - Remastered 2010,John Lennon,Plastic Ono Band,0.684,0.21,1,-18.204,0,0.0841,0.538,0.031,0.143,0.681,83.383
5piJiL6aRhvrKBa9YuEfS9,Peace Frog,The Doors,Morrison Hotel,0.641,0.725,7,-7.376,1,0.039,0.16,0.00321,0.648,0.808,112.529
4hZfyDrxwiuQpfGOt3qCis,Soft Lamp / Palm Reader,Monster Rally,Coral,0.336,0.843,0,-11.031,1,0.0394,0.702,0.864,0.164,0.578,172.87
4vB6BLIED6YvrDlgV63Uiz,Night Life,Willie Nelson,Country Willie,0.636,0.314,5,-11.708,1,0.05,0.867,0.015,0.102,0.376,85.886
