Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
5Mi2nbkabMbZAPtrWHYwjW,About Time,Zoot,Zoot Out,0.599,0.732,7,-5.813,1,0.0359,0.00873,1.48e-05,0.244,0.973,136.517
5HyHsZCOo92xkIqwGZzqmM,Monty & Me,Zoot,Zoot Out,0.433,0.697,1,-6.305,0,0.0482,0.0314,0.0,0.111,0.628,83.136
2TLHD1z32lcNydQdMsoRIK,Strange Things,Zoot,Zoot Out,0.412,0.527,6,-5.965,0,0.0352,0.302,1.17e-05,0.29,0.207,135.342
195BSMZC1sjaNqt8NziMh5,Eleanor Rigby,Zoot,Zoot Out,0.238,0.669,3,-5.008,1,0.0588,0.402,6.03e-05,0.0843,0.301,75.873
25acZHUELpJpPS00IwPWaX,Universal,Sons Of Bacchus,"Upside Down, VOL. 5: Coloured Dreams from the Underworld 1966 - 1971",0.461,0.643,7,-7.293,0,0.0498,0.00291,1.7e-05,0.103,0.565,84.188
0Jh0IqRtR34uqZYd6jR2Rz,Sailing,Zoot,Archaeology,0.582,0.792,5,-6.308,1,0.0665,0.729,0.0,0.152,0.595,120.126
33UHORQ2f7b78SXl17ZeTx,Evie (I'm Losing You),Stevie Wright,Hard Road,0.478,0.828,6,-5.539,0,0.0451,0.00172,0.0,0.361,0.547,125.36
6nIEHGbxwL5qJI61up1NiU,Silver Lizard,Tumbleweed,Return To Earth,0.534,0.79,9,-7.646,0,0.0309,7.84e-06,0.917,0.108,0.97,135.661
2EoKhQD4Qz5Ghs02WX4sDA,Berlin Chair - Remastered 2013,You Am I,Sound As Ever (Superunreal Edition),0.256,0.94,7,-4.396,1,0.0675,0.032,0.00116,0.0774,0.437,143.209
4TMIi2pweQzuxG1UDFjGXk,Dont It Get You Down,Deadstar,Milk,0.44,0.88,7,-6.484,1,0.0435,0.0372,7.33e-05,0.23,0.477,124.331
376QwtHvmpIQ27yQVEEoLz,You're Not The Only One Who Feels This Way,Ammonia,Eleventh Avenue,0.332,0.659,5,-8.211,0,0.0455,0.00334,0.00329,0.063,0.307,123.196
6qWG7dpOSs5dfgJ7d35am5,Calypso,Spiderbait,Ivy & The Big Apples,0.383,0.739,9,-6.841,1,0.0345,0.0034,0.218,0.1,0.306,92.879
2WheuVAKcZsQOZREbYtMvm,Apartment,Custard,Wisenheimer,0.454,0.93,0,-5.986,1,0.0472,8.65e-05,0.054,0.0843,0.932,169.648
2vmsqXnxL8UTx5s79sJr5C,Just Ace,Grinspoon,Guide To Better Living,0.586,0.858,2,-6.83,1,0.0254,6.77e-05,0.00894,0.318,0.82,100.244
5ztnzBtXLZBSjZu5sk8fcI,My Girl - Remaster 2005,Hoodoo Gurus,Stoneage Romeos,0.573,0.862,4,-3.9,1,0.0583,0.0119,0.0,0.21,0.777,111.266
4r2zqSABrEZUTqDpqHeKfm,Victoria - 2019 Remaster,The Kinks,Arthur or the Decline and Fall of the British Empire (Deluxe),0.506,0.752,7,-9.016,1,0.0389,0.0711,0.00712,0.06,0.778,142.239
6w7nfriuQ06F7BVLUyfJ36,Some Mother's Son - 2019 Remaster,The Kinks,Arthur or the Decline and Fall of the British Empire (Deluxe),0.23,0.596,2,-8.567,0,0.0387,0.581,0.0,0.155,0.249,162.03
1JcK9HW92JOEWntbBaFh4L,Drivin' - 2019 Remaster,The Kinks,Arthur or the Decline and Fall of the British Empire (Deluxe),0.572,0.621,2,-9.402,1,0.0365,0.193,3.59e-06,0.467,0.545,118.543
5jqasTlmERm4xXg22iN9Ii,Australia - 2019 Remaster,The Kinks,Arthur or the Decline and Fall of the British Empire (Deluxe),0.325,0.79,8,-8.776,1,0.0526,0.0307,0.00612,0.0908,0.639,97.965
