Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
6cA1usDL8nTHeSgFewQat3,After Hours,The Velvet Underground,The Velvet Underground (45th Anniversary),0.608,0.152,7,-20.989,0,0.172,0.836,0.0,0.182,0.472,120.834
6zGFOp6rJZbYSp9DQO5AHY,Wot's...Uh the Deal,Pink Floyd,Obscured by Clouds,0.479,0.324,7,-16.001,1,0.0255,0.204,0.0,0.0675,0.57,86.75
0byOqNZN9ailhoORv5Ps0Z,I Am a Rock,Simon & Garfunkel,Sounds Of Silence,0.66,0.611,0,-10.309,1,0.0392,0.423,1.11e-05,0.107,0.749,113.898
4pfuHQ4hdkUyDEYsMhgXHm,Free Four,Pink Floyd,Obscured by Clouds,0.695,0.388,7,-12.85,1,0.0326,0.0105,0.00213,0.0583,0.639,124.412
1ITQbrueGLl581a25XXm9c,Rocky Raccoon - Remastered 2009,The Beatles,The Beatles (Remastered),0.599,0.363,7,-11.728,1,0.0315,0.333,0.0,0.243,0.648,79.456
3kbUFmLV5SHVQonfOpNgkd,San Tropez,Pink Floyd,Meddle,0.691,0.324,0,-15.366,1,0.0446,0.171,0.0223,0.0674,0.543,121.664
7DDvRmOSP2Yx28CfL6W7aw,Green Is the Colour,Pink Floyd,More,0.503,0.148,7,-18.267,1,0.0349,0.807,0.706,0.119,0.521,74.868
51pshtuYkgUQnt5huMPbKL,The Spins,Mac Miller,K.I.D.S.,0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.007
2ylCrFiBu98SC0vFfaCent,I'm Only Sleeping - Remastered 2009,The Beatles,Revolver (Remastered),0.494,0.47,8,-9.599,0,0.0301,0.21,0.0,0.28,0.698,103.477
5y788ya4NvwhBznoDIcXwK,The Sound of Silence - Acoustic Version,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",0.525,0.216,6,-13.551,1,0.0301,0.837,0.0,0.107,0.328,106.761
5DJzQBU5R8g5tDUBtHRPf9,"Ob-La-Di, Ob-La-Da - Take 3",The Beatles,The Beatles,0.765,0.815,9,-8.903,1,0.0376,0.348,0.0,0.326,0.962,121.962
0cKk8BKEi7zXbdrYdyqBP5,Behind Blue Eyes,The Who,Who's Next - Deluxe Edition,0.394,0.622,4,-8.258,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844
4p9NsrEWOGReSmSzlx9X2g,Run That Body Down,Paul Simon,Paul Simon,0.68,0.313,2,-15.051,1,0.0387,0.784,0.0101,0.144,0.453,104.655
