Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
00SmB7n85SKROGjybsyq5i,Bongo Bong,Manu Chao,Clandestino,0.755,0.545,9.0,-10.027,0.0,0.0646,0.944,0.000118,0.144,0.964,149.807
00aVA0Wd0ES81TEpVuunGq,I'm Worried,Elmore James,Shake Your Money Maker: The Best of the Fire Sessions,0.59,0.721,2.0,-6.253,1.0,0.0395,0.61,0.000572,0.225,0.904,105.757
00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,4 (Expanded),0.357,0.653,9.0,-5.554,1.0,0.0654,0.0828,0.0,0.0844,0.522,176.647
00s8dO3RWrFkBqC9JIy6ag,Right Back Where We Started From,Maxine Nightingale,Right Back Where We Started From,0.692,0.653,5.0,-5.715,1.0,0.0392,0.49,0.00707,0.455,0.901,148.018
01NLtgUCEmwcCF7JbP1ZRd,Medley,Pastor T.L. Barrett and the Youth for Christ Choir,Like a Ship (Without a Sail),0.487,0.64,10.0,-8.734,1.0,0.0396,0.0567,1.54e-05,0.454,0.697,90.863
01UYpHuzHi4eB9PAbDoPY2,Summer Breeze,Seals and Crofts,Seals & Crofts' Greatest Hits,0.49,0.581,5.0,-6.566,1.0,0.0387,0.553,0.0177,0.0764,0.318,88.719
01qyoYVrrXnpqt40Xz14mG,Be Here In The Mornin' - Remastered 2001,The Beach Boys,Friends (Remastered),0.609,0.311,9.0,-9.189,1.0,0.0302,0.13,0.00355,0.116,0.363,133.278
01xMiErR26kH1KCif6uEYI,I'll Cry Instead - Remastered 2009,The Beatles,A Hard Day's Night (Remastered),0.643,0.73,7.0,-6.859,1.0,0.0347,0.0917,0.0,0.253,0.96,96.711
01zsHDuDiClVCroMKf9BEv,Gimme The Car,Violent Femmes,Violent Femmes (Deluxe Edition),0.421,0.685,2.0,-10.786,1.0,0.0626,0.474,0.0,0.102,0.583,106.881
028r3igL3M00VdRCe2Ga7Q,Maneater - Radio Edit,Daryl Hall & John Oates,80s 100 Hits - Volume 2,0.728,0.519,11.0,-11.114,0.0,0.038,0.0153,4.14e-05,0.103,0.833,88.709
02KpkaZbiutsR0ucxce4Sh,This Will Be Our Year,The Zombies,Odessey and Oracle,0.535,0.424,9.0,-7.491,1.0,0.0314,0.626,0.0,0.191,0.539,97.506
02jECioOImAWCtlw5NTuk7,Most Exclusive Residence for Sale,The Kinks,Face to Face (Deluxe),0.572,0.849,4.0,-4.253,1.0,0.0417,0.245,0.0,0.0901,0.638,124.846
03By6gD02qhtvIQiK8KidK,Back Door Man,The Doors,The Doors,0.476,0.612,9.0,-7.01,1.0,0.0335,0.287,0.000252,0.0877,0.909,177.233
03HUTPHpK8CJkBlIXTNvVL,The Lady Don't Mind - 2005 Remaster,Talking Heads,Little Creatures (Deluxe Version),0.75,0.88,4.0,-5.947,0.0,0.0307,0.271,0.0506,0.0657,0.976,127.981
03JDmyMH2gex3IaY3msZPy,Just About the Same,The Millennium,Begin,0.764,0.674,9.0,-10.458,1.0,0.0986,0.211,0.0,0.0788,0.907,113.496
03VXrViYqJpdhuBEV0p0ak,Homeward Bound,Simon & Garfunkel,"Parsley, Sage, Rosemary And Thyme",0.485,0.38,3.0,-11.773,1.0,0.034,0.829,0.0,0.103,0.531,92.933
03c6s6VTKDsCU1R5bclNii,Walk On the Wild Side,Lou Reed,The Best Year Of My Life: 1973,0.543,0.272,0.0,-19.497,1.0,0.106,0.711,0.000467,0.102,0.382,104.792
03xLfJFy99mdr7qhmQNVgB,Wordy Rappinghood,Tom Tom Club,Tom Tom Club,0.85,0.527,4.0,-14.764,0.0,0.0784,0.0461,0.481,0.454,0.957,122.032
03yOjwHoOPDlTUg0NRxN6t,Cemetry Gates - 2011 Remaster,The Smiths,The Queen Is Dead,0.55,0.796,7.0,-7.007,1.0,0.0306,0.151,0.0,0.222,0.622,105.354
042v1NacbKJzCyi6nBme7T,Mr. Soul,Buffalo Springfield,Buffalo Springfield Again,0.674,0.706,9.0,-9.012,1.0,0.0384,0.108,6.48e-06,0.114,0.961,133.789
