Track ID,Track Name,Artist(s),Album,Danceability Rating,Energy Rating,Key Rating,Loudness Rating,Mode Rating,Speechiness Rating,Acousticness Rating,Instrumentalness Rating,Liveness Rating,Valence Rating,Tempo Rating
02Y2yrA0t2ztPwY3HS4yFx,PRAY2GOD,dialog talk,S/2003 J 2,0.774,0.52,10,-13.576,0,0.173,8.14e-05,0.848,0.0777,0.337,113.476
03wlAd64RaWy8M2iX4pMZm,Forgettable Noise,Hauzu,Hauzu,0.378,0.638,9,-9.246,1,0.038,0.000118,0.888,0.112,0.0624,119.871
05RfSYQfBHuzG6g2k3V3yr,Scuba,Bubble Scary,Bubble Scary,0.398,0.773,7,-6.501,0,0.0296,0.00164,0.153,0.0754,0.322,143.62
09tuM4AYODPai6Uw3F1AJA,OUT OF TIME,DISHPIT,S/T,0.448,0.701,7,-5.67,1,0.108,0.00028,0.897,0.0672,0.38,94.055
0H1iptang6BJiLhp6pvvkT,Bite,Bubble Scary,Bubble Scary,0.489,0.739,7,-6.787,1,0.0435,0.00404,0.0193,0.15,0.223,108.382
0UwzNccjohK9sY8Trahrak,Dirt (Soil),Letters of Marque,I,0.211,0.891,4,-8.262,0,0.0832,3.4e-06,0.952,0.21,0.0586,121.796
0bSOeCgKYzUISNogFXvJuS,As One As Many,SKUD,DEMO,0.294,0.954,11,-5.703,1,0.0832,0.00011,0.438,0.163,0.5,96.792
0d7eDUx6JccGdigSPtRiLL,LONG BEACH ALL-STARS,TARGET SCAMMERS,TARGET SCAMMERS,0.386,0.998,4,-2.265,0,0.0882,0.000261,0.963,0.334,0.193,106.169
0iqT2oJeUmrBQDxLi9oKOb,Look Away,Bubble Scary,Bubble Scary,0.308,0.733,3,-7.14,1,0.0626,0.00305,0.131,0.21,0.343,171.461
189ioAAJoGHF2Qq9BeMnJy,City Hall,Film and Gender,Fruit and Dairy,0.481,0.647,0,-13.093,1,0.0333,0.452,0.00123,0.0859,0.852,94.755
1JLgKEyRsoGdx9vPmLsj3K,Hydrophobia,Letters of Marque,I,0.397,0.747,10,-13.61,0,0.616,0.0058,0.844,0.208,0.177,109.963
1N7r7fPohhNLeC5F2WSOMF,RICS (our I can't stand it),TARGET SCAMMERS,TARGET SCAMMERS,0.425,0.987,7,-2.848,1,0.0799,0.000306,0.922,0.109,0.51,106.693
1guIPtSit7gBXE9x2ekVah,Ceaseless Wavering,Hauzu,Hauzu,0.262,0.498,1,-6.927,0,0.0556,7.51e-05,0.866,0.279,0.197,116.798
218lubFbnNXNU9G0ryCobJ,Concrete,Dash Cam,Dash Cam,0.345,0.961,8,-6.125,0,0.256,0.0233,0.0,0.133,0.206,98.602
26GQYlEeDxV4JP6RcReCUV,Falling Idol (Live at Dud's Dungeon),"Film and Gender, Dud's Dungeon",Film and Gender (Live at Dud's Dungeon),0.32,0.967,9,-3.325,1,0.121,0.00738,0.59,0.0972,0.251,86.264
2Ah20i45ZQlawfAugQMEgC,I WANT MY PHONE,TARGET SCAMMERS,TARGET SCAMMERS,0.344,0.959,7,-3.081,1,0.0681,0.000183,0.938,0.137,0.602,116.144
2BWjNIN2q9ekiW7CVkq2vL,City Hall (Live at Dud's Dungeon),"Film and Gender, Dud's Dungeon",Film and Gender (Live at Dud's Dungeon),0.442,0.839,0,-3.659,1,0.0554,0.0563,0.0926,0.115,0.798,95.154
2CWCtz7UFQgGLoJgU5suLv,Peace,Dash Cam,Break This Wall / Peace,0.438,0.91,6,-6.26,1,0.0617,0.208,0.0,0.0907,0.142,138.075
2UnRqOIUZdftZ9LYDolneV,Break This Wall,Dash Cam,Break This Wall / Peace,0.326,0.994,11,-4.897,1,0.133,7.05e-05,3.88e-05,0.117,0.225,139.998
2Yus0btblImuAI5R6SMHFR,Sex with My Car,Film and Gender,Fruit and Dairy,0.302,0.707,7,-12.39,1,0.0335,0.2,0.145,0.314,0.604,91.769
2bKbT6V0N17XUHTWqxYvsn,Sex with My Car (Live at Dud's Dungeon),"Film and Gender, Dud's Dungeon",Film and Gender (Live at Dud's Dungeon),0.35,0.925,4,-4.424,0,0.102,0.00812,0.143,0.627,0.379,91.427
2eGcdoXGfO5HRr3OPByvK4,Inbound (SKUD INTRO),SKUD,DEMO,0.314,0.92,6,-5.886,0,0.0791,4.33e-06,0.936,0.0976,0.331,100.132
2f4LS9fleWq95TF6Nuadki,Funny Cars,Film and Gender,Fruit and Dairy,0.584,0.793,6,-13.721,1,0.0588,0.508,0.000387,0.278,0.485,83.495
2j2s0CcW26dN3bIq13s2Ea,Fetishize Me (Live at Dud's Dungeon),"Film and Gender, Dud's Dungeon",Film and Gender (Live at Dud's Dungeon),0.323,0.872,1,-3.356,1,0.0803,0.0409,0.423,0.326,0.874,95.82
2jYHRrgK0w4AUD8GbFh1Jt,I Can Be Honest,Bubble Scary,Featherweight,-99.0,-99.0,-99,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2mSvsXvsTcAqXAA5pftrjE,STEVE-O (bank underwater),TARGET SCAMMERS,TARGET SCAMMERS,0.227,0.997,4,-2.673,0,0.112,2.59e-05,0.932,0.45,0.112,108.601
